Date,Open,High,Low,Close,Volume
23-Oct-14,64.62,64.62,64.51,64.58,58436
22-Oct-14,64.70,64.74,64.63,64.72,17879
21-Oct-14,64.76,64.82,64.70,64.78,44470
20-Oct-14,64.82,64.88,64.78,64.82,56742
17-Oct-14,64.80,64.83,64.70,64.74,17784
16-Oct-14,65.29,65.29,64.79,64.84,83590
15-Oct-14,65.31,65.67,64.95,65.00,38328
14-Oct-14,64.76,64.76,64.64,64.73,46004
13-Oct-14,64.62,64.69,64.46,64.67,37858
10-Oct-14,64.39,64.45,64.32,64.45,36411
9-Oct-14,64.36,64.42,64.28,64.33,56204
8-Oct-14,64.21,64.40,64.06,64.40,35581
7-Oct-14,64.07,64.17,64.03,64.17,43015
6-Oct-14,63.88,64.00,63.85,63.92,21762
3-Oct-14,63.78,63.84,63.71,63.84,12423
2-Oct-14,63.95,64.05,63.89,63.91,56245
1-Oct-14,63.80,64.02,63.80,64.02,68918
30-Sep-14,63.74,63.79,63.68,63.75,16464
29-Sep-14,63.79,63.80,63.74,63.78,21965
26-Sep-14,63.70,63.70,63.60,63.65,14058
25-Sep-14,63.66,63.76,63.66,63.76,12152
24-Sep-14,63.62,63.66,63.54,63.58,9797
23-Sep-14,63.65,63.69,63.59,63.66,33852
22-Sep-14,63.56,63.61,63.52,63.61,6489
19-Sep-14,63.49,63.49,63.41,63.48,11024
18-Sep-14,63.39,63.43,63.37,63.40,8983
17-Sep-14,63.60,63.71,63.45,63.45,53292
16-Sep-14,63.60,63.67,63.57,63.58,27688
15-Sep-14,63.58,63.58,63.53,63.55,24543
12-Sep-14,63.52,63.55,63.46,63.47,14293
11-Sep-14,63.67,63.68,63.58,63.58,10073
10-Sep-14,63.58,63.66,63.58,63.61,124030
9-Sep-14,63.72,63.75,63.65,63.71,175551
8-Sep-14,63.88,63.98,63.77,63.81,19781
5-Sep-14,63.96,63.99,63.85,63.86,25357
4-Sep-14,63.97,63.97,63.79,63.85,16543
3-Sep-14,63.86,63.96,63.81,63.93,35936
2-Sep-14,64.01,64.01,63.90,63.92,19794
29-Aug-14,64.18,64.27,64.18,64.24,5366
28-Aug-14,64.14,64.21,64.13,64.21,12857
27-Aug-14,64.14,64.14,64.08,64.08,14676
26-Aug-14,64.08,64.08,63.99,64.01,8452
25-Aug-14,64.02,64.03,63.97,64.03,13083
22-Aug-14,64.01,64.03,63.91,64.01,9940
21-Aug-14,63.99,64.09,63.99,64.06,7794
20-Aug-14,64.13,64.13,64.00,64.00,14155
19-Aug-14,64.25,64.27,64.13,64.17,154369
18-Aug-14,64.22,64.24,64.18,64.20,15287
15-Aug-14,64.19,64.37,64.16,64.31,107646
14-Aug-14,64.23,64.55,64.14,64.20,10306
13-Aug-14,64.09,64.15,64.06,64.13,9801
12-Aug-14,64.04,64.06,63.98,64.02,29114
11-Aug-14,64.04,64.08,64.00,64.04,14780
8-Aug-14,64.17,64.18,64.02,64.03,10218
7-Aug-14,63.94,64.09,63.88,64.08,25566
6-Aug-14,63.97,63.97,63.88,63.91,14330
5-Aug-14,63.86,63.93,63.80,63.84,10649
4-Aug-14,63.91,63.93,63.86,63.89,34623
1-Aug-14,63.72,63.87,63.68,63.87,18576
31-Jul-14,63.50,63.68,63.50,63.60,15410
30-Jul-14,63.67,63.67,62.04,63.60,30051
29-Jul-14,63.90,63.90,63.81,63.88,10666
28-Jul-14,63.87,63.87,63.78,63.79,13821
25-Jul-14,63.85,63.89,63.79,63.89,12851
24-Jul-14,63.82,63.82,63.73,63.77,12780
23-Jul-14,63.97,63.97,63.91,63.91,11063
22-Jul-14,63.93,63.93,63.85,63.90,22560
21-Jul-14,63.91,63.94,63.84,63.86,39375
18-Jul-14,63.94,63.94,63.82,63.87,6209
17-Jul-14,63.88,63.99,63.82,63.99,10155
16-Jul-14,63.74,63.76,63.71,63.76,8686
15-Jul-14,63.78,63.80,63.73,63.76,11785
14-Jul-14,63.83,63.83,63.76,63.80,13344
11-Jul-14,63.89,63.91,63.87,63.90,7711
10-Jul-14,63.95,63.95,63.81,63.85,6077
9-Jul-14,63.60,63.77,63.55,63.76,21052
8-Jul-14,63.70,63.75,63.65,63.65,8118
7-Jul-14,63.56,63.60,63.54,63.55,11397
3-Jul-14,63.43,63.55,63.43,63.54,11481
2-Jul-14,63.69,63.69,63.58,63.60,30847
1-Jul-14,63.83,63.83,63.77,63.80,162679
30-Jun-14,63.99,64.02,63.92,64.00,16306
27-Jun-14,63.99,64.01,63.93,63.96,12530
26-Jun-14,63.90,63.95,63.87,63.87,4870
25-Jun-14,63.90,63.90,63.80,63.82,4065
24-Jun-14,63.69,63.76,63.62,63.76,14127
23-Jun-14,63.72,63.72,63.65,63.65,23673
20-Jun-14,63.58,63.68,63.58,63.68,9273
19-Jun-14,63.76,63.80,63.58,63.67,14141
18-Jun-14,63.56,63.68,63.50,63.68,6284
17-Jun-14,63.53,63.54,63.50,63.50,11367
16-Jun-14,63.67,63.69,63.61,63.65,12224
13-Jun-14,63.58,63.71,63.58,63.71,9171
12-Jun-14,63.65,63.78,63.63,63.78,25724
11-Jun-14,63.60,63.66,63.57,63.64,14642
10-Jun-14,63.60,63.63,63.52,63.58,16538
9-Jun-14,63.66,63.68,63.61,63.67,20676
6-Jun-14,63.87,63.87,63.71,63.73,24787
5-Jun-14,63.74,63.82,63.74,63.80,17883
4-Jun-14,63.83,63.83,63.68,63.73,12974
3-Jun-14,63.87,63.87,63.70,63.70,10541
2-Jun-14,63.94,64.03,63.87,63.89,14548
30-May-14,64.17,64.22,64.10,64.17,11979
29-May-14,64.26,64.37,64.17,64.22,14219
28-May-14,64.17,64.30,64.17,64.24,15647
27-May-14,64.05,64.10,64.00,64.09,9841
23-May-14,64.06,64.11,64.05,64.06,9636
22-May-14,64.02,64.02,63.95,63.98,10575
21-May-14,63.97,64.04,63.97,64.04,6575
20-May-14,63.96,64.10,63.96,64.10,7198
19-May-14,64.03,64.09,63.98,64.00,5469
16-May-14,64.01,64.03,63.98,64.00,7300
15-May-14,63.96,64.10,63.96,64.05,12097
14-May-14,63.84,64.00,63.84,63.92,9109
13-May-14,63.74,63.76,63.68,63.74,20500
12-May-14,63.63,63.66,63.58,63.62,8245
9-May-14,63.71,63.99,63.67,63.74,9379
8-May-14,63.70,63.77,63.68,63.75,14570
7-May-14,63.58,63.69,63.54,63.63,14009
6-May-14,63.52,63.59,63.52,63.59,5873
5-May-14,63.58,63.60,63.51,63.53,22205
2-May-14,63.40,63.63,63.40,63.55,39297
1-May-14,63.43,63.52,63.41,63.51,9844
30-Apr-14,63.50,63.59,63.50,63.59,3210
29-Apr-14,63.35,63.41,63.31,63.40,11225
28-Apr-14,63.39,63.48,63.33,63.45,5085
25-Apr-14,63.43,63.52,63.43,63.46,13522
24-Apr-14,63.33,63.39,63.33,63.38,14899
23-Apr-14,63.37,63.44,63.35,63.40,11145
22-Apr-14,63.27,63.30,63.23,63.30,16530
21-Apr-14,63.37,63.39,63.31,63.32,6282
17-Apr-14,63.50,63.50,63.25,63.27,10127
16-Apr-14,63.56,63.57,63.51,63.52,7851
15-Apr-14,63.58,63.71,63.53,63.62,17224
14-Apr-14,63.87,64.00,63.61,63.65,20192
11-Apr-14,63.70,63.74,63.67,63.73,20678
10-Apr-14,63.55,63.71,63.55,63.67,2908
9-Apr-14,63.33,63.49,63.30,63.48,7805
8-Apr-14,63.35,63.42,63.32,63.42,6943
7-Apr-14,63.32,63.42,63.32,63.37,20634
4-Apr-14,63.14,63.28,63.14,63.25,14588
3-Apr-14,63.01,63.06,63.00,63.02,17871
2-Apr-14,63.06,63.06,62.97,63.00,18000
1-Apr-14,63.19,63.20,63.13,63.18,11301
31-Mar-14,63.21,63.30,63.21,63.30,18023
28-Mar-14,63.36,63.36,63.25,63.27,5578
27-Mar-14,63.25,63.40,63.25,63.34,9885
26-Mar-14,63.24,63.38,63.21,63.38,3615
25-Mar-14,63.18,63.26,63.18,63.21,5875
