Date,Open,High,Low,Close,Volume
23-Oct-14,61.13,61.14,61.11,61.13,124079
22-Oct-14,61.14,61.16,61.12,61.13,96605
21-Oct-14,61.17,61.19,61.13,61.16,51613
20-Oct-14,61.16,61.19,61.14,61.16,54280
17-Oct-14,61.13,61.17,61.12,61.13,8473
16-Oct-14,61.18,61.23,61.13,61.18,67593
15-Oct-14,61.26,61.33,61.16,61.21,227213
14-Oct-14,61.16,61.16,61.12,61.14,130589
13-Oct-14,61.12,61.44,61.05,61.09,108176
10-Oct-14,61.05,61.08,61.05,61.08,48279
9-Oct-14,61.04,61.08,61.01,61.05,53077
8-Oct-14,61.00,61.09,60.98,61.08,61619
7-Oct-14,60.99,60.99,60.97,60.98,63592
6-Oct-14,60.95,60.96,60.92,60.96,26179
3-Oct-14,60.92,60.94,60.89,60.91,41840
2-Oct-14,60.99,60.99,60.95,60.96,31815
1-Oct-14,60.96,60.99,60.94,60.96,49569
30-Sep-14,60.93,60.95,60.91,60.93,53603
29-Sep-14,60.95,60.96,60.91,60.95,312789
26-Sep-14,60.92,60.96,60.90,60.93,34695
25-Sep-14,60.92,60.96,60.90,60.95,97898
24-Sep-14,60.92,60.92,60.88,60.92,152990
23-Sep-14,60.91,60.92,60.88,60.91,28377
22-Sep-14,60.87,60.91,60.87,60.89,109770
19-Sep-14,60.85,60.88,60.84,60.86,41804
18-Sep-14,60.85,60.89,60.84,60.88,71309
17-Sep-14,60.92,60.93,60.86,60.87,188331
16-Sep-14,60.92,60.93,60.91,60.92,19101
15-Sep-14,60.91,60.92,60.88,60.92,72418
12-Sep-14,60.89,60.90,60.85,60.87,84085
11-Sep-14,60.92,60.92,60.88,60.90,61778
10-Sep-14,60.88,60.90,60.86,60.86,53706
9-Sep-14,60.90,60.94,60.87,60.90,36045
8-Sep-14,60.98,60.98,60.94,60.94,69190
5-Sep-14,60.97,60.97,60.93,60.95,41402
4-Sep-14,60.94,60.95,60.92,60.94,20008
3-Sep-14,60.92,60.94,60.89,60.93,24823
2-Sep-14,60.95,60.95,60.91,60.93,54952
29-Aug-14,60.95,60.99,60.93,60.98,28458
28-Aug-14,60.93,60.96,60.93,60.96,14198
27-Aug-14,60.95,60.95,60.91,60.95,56644
26-Aug-14,60.94,60.94,60.91,60.92,622208
25-Aug-14,60.92,60.95,60.90,60.90,37058
22-Aug-14,60.91,60.94,60.90,60.92,47259
21-Aug-14,60.95,60.96,60.91,60.94,89455
20-Aug-14,60.97,60.98,60.91,60.92,124273
19-Aug-14,61.00,61.01,60.97,60.98,182098
18-Aug-14,61.01,61.04,60.96,60.96,139512
15-Aug-14,61.00,61.04,60.98,61.01,173249
14-Aug-14,61.00,61.06,60.98,61.00,62553
13-Aug-14,60.97,61.02,60.96,61.01,174601
12-Aug-14,61.00,61.03,60.95,60.98,79429
11-Aug-14,60.95,61.00,60.95,60.99,16156
8-Aug-14,61.00,61.04,60.94,60.97,34881
7-Aug-14,60.94,60.99,60.94,60.96,59152
6-Aug-14,61.00,61.02,60.94,60.94,199452
5-Aug-14,60.97,61.01,60.95,61.00,110261
4-Aug-14,60.99,61.00,60.94,60.94,138313
1-Aug-14,60.93,60.99,60.89,60.99,244068
31-Jul-14,60.87,60.92,60.86,60.92,175280
30-Jul-14,60.87,60.90,60.83,60.89,71152
29-Jul-14,60.91,60.91,60.88,60.90,27496
28-Jul-14,60.90,60.94,60.90,60.91,40384
25-Jul-14,60.91,60.93,60.90,60.91,16893
24-Jul-14,60.91,60.93,60.89,60.90,14882
23-Jul-14,60.92,60.93,60.91,60.93,46382
22-Jul-14,60.91,60.93,60.90,60.93,57602
21-Jul-14,60.90,60.92,60.89,60.92,141053
18-Jul-14,60.91,60.94,60.88,60.92,18580
17-Jul-14,60.93,60.94,60.88,60.94,14367
16-Jul-14,60.90,60.91,60.87,60.90,22356
15-Jul-14,60.89,60.92,60.87,60.88,131542
14-Jul-14,60.94,60.95,60.90,60.90,18938
11-Jul-14,60.95,60.95,60.92,60.92,18191
10-Jul-14,60.89,60.95,60.89,60.94,53578
9-Jul-14,60.86,60.89,60.82,60.87,49661
8-Jul-14,60.87,60.89,60.86,60.87,28221
7-Jul-14,60.86,60.87,60.83,60.84,38033
3-Jul-14,60.87,60.88,60.85,60.88,15107
2-Jul-14,60.91,60.92,60.87,60.87,95444
1-Jul-14,60.93,60.95,60.91,60.92,113058
30-Jun-14,60.96,60.96,60.94,60.94,171420
27-Jun-14,60.91,60.96,60.91,60.94,89252
26-Jun-14,60.92,60.96,60.92,60.93,14635
25-Jun-14,60.94,60.94,60.92,60.92,14701
24-Jun-14,60.92,60.92,60.88,60.89,73474
23-Jun-14,60.93,60.93,60.88,60.90,17742
20-Jun-14,60.94,60.94,60.87,60.89,87620
19-Jun-14,60.91,60.92,60.88,60.91,121892
18-Jun-14,60.91,60.92,60.87,60.91,13500
17-Jun-14,60.88,60.89,60.85,60.87,74420
16-Jun-14,60.92,60.92,60.87,60.90,183064
13-Jun-14,60.89,60.92,60.89,60.92,16992
12-Jun-14,60.94,60.96,60.91,60.95,32819
11-Jun-14,60.90,60.93,60.90,60.90,22645
10-Jun-14,60.89,60.93,60.87,60.89,61005
9-Jun-14,60.93,60.95,60.91,60.94,9862
6-Jun-14,60.96,60.98,60.93,60.93,72991
5-Jun-14,60.97,60.99,60.94,60.98,74996
4-Jun-14,60.94,60.98,60.94,60.97,36468
3-Jun-14,60.95,60.98,60.94,60.96,17854
2-Jun-14,61.01,61.01,60.95,60.96,177117
30-May-14,61.04,61.04,61.00,61.00,134374
29-May-14,61.07,61.07,61.03,61.05,30796
28-May-14,60.99,61.06,60.99,61.05,59157
27-May-14,61.04,61.04,61.01,61.03,135722
23-May-14,61.04,61.05,61.01,61.05,14042
22-May-14,61.03,61.03,61.00,61.03,23683
21-May-14,61.03,61.04,61.02,61.04,11874
20-May-14,61.03,61.05,60.97,61.05,77909
19-May-14,61.01,61.03,60.99,61.02,67921
16-May-14,60.97,61.01,60.97,61.01,12617
15-May-14,60.99,61.02,60.96,61.02,111379
14-May-14,60.98,60.98,60.95,60.98,24784
13-May-14,60.96,60.97,60.94,60.96,60493
12-May-14,60.95,60.96,60.92,60.96,22974
9-May-14,60.97,60.97,60.93,60.96,32392
8-May-14,60.91,60.97,60.91,60.97,40263
7-May-14,60.92,60.95,60.91,60.91,186003
6-May-14,60.93,60.93,60.90,60.92,25220
5-May-14,60.91,60.95,60.91,60.94,78114
2-May-14,60.92,60.95,60.88,60.93,80681
1-May-14,60.92,60.95,60.91,60.92,53258
30-Apr-14,60.93,60.95,60.91,60.93,11909
29-Apr-14,60.89,60.93,60.89,60.92,43482
28-Apr-14,60.92,60.93,60.89,60.91,22954
25-Apr-14,60.89,60.93,60.89,60.91,29829
24-Apr-14,60.90,60.91,60.89,60.90,25191
23-Apr-14,60.92,60.93,60.89,60.89,226222
22-Apr-14,60.87,60.91,60.87,60.88,54141
21-Apr-14,60.88,60.93,60.88,60.91,84590
17-Apr-14,60.91,60.94,60.89,60.93,21549
16-Apr-14,60.93,60.94,60.91,60.91,40000
15-Apr-14,60.93,60.96,60.93,60.95,72347
14-Apr-14,60.97,60.98,60.93,60.94,63906
11-Apr-14,60.95,60.98,60.93,60.94,19748
10-Apr-14,60.96,60.98,60.95,60.95,15327
9-Apr-14,60.86,60.95,60.85,60.93,175225
8-Apr-14,60.91,60.91,60.86,60.90,25715
7-Apr-14,60.88,60.91,60.88,60.91,173955
4-Apr-14,60.83,60.88,60.83,60.88,41607
3-Apr-14,60.80,60.83,60.79,60.81,54879
2-Apr-14,60.83,60.83,60.79,60.79,70222
1-Apr-14,60.88,60.88,60.82,60.83,143569
31-Mar-14,60.86,60.89,60.86,60.86,18742
28-Mar-14,60.87,60.87,60.83,60.85,28754
27-Mar-14,60.87,60.88,60.83,60.84,82977
26-Mar-14,60.86,60.88,60.84,60.88,53652
25-Mar-14,60.85,60.86,60.82,60.85,27992
24-Mar-14,60.79,60.84,60.79,60.80,142849
21-Mar-14,60.82,60.85,60.81,60.84,21792
20-Mar-14,60.85,60.85,60.81,60.84,22836
19-Mar-14,60.92,60.95,60.78,60.84,84992
18-Mar-14,60.90,60.94,60.90,60.94,31669
17-Mar-14,60.94,60.94,60.90,60.93,176839
14-Mar-14,60.93,60.95,60.92,60.95,36338
13-Mar-14,60.86,60.95,60.86,60.93,55117
12-Mar-14,60.89,60.92,60.89,60.92,42527
11-Mar-14,60.89,60.90,60.86,60.90,93644
10-Mar-14,60.86,60.91,60.86,60.88,112273
7-Mar-14,60.87,60.90,60.86,60.87,93772
6-Mar-14,60.92,60.94,60.91,60.94,83659
5-Mar-14,60.93,60.95,60.89,60.94,108246
4-Mar-14,60.95,60.96,60.93,60.93,29828
3-Mar-14,60.97,60.99,60.95,60.98,104358
28-Feb-14,60.96,60.97,60.93,60.97,68935
27-Feb-14,60.98,61.00,60.96,61.00,19260
26-Feb-14,60.95,60.97,60.93,60.96,61064
25-Feb-14,60.94,60.95,60.91,60.94,30138
24-Feb-14,60.94,60.94,60.88,60.92,102182
21-Feb-14,60.94,60.97,60.92,60.93,23112
20-Feb-14,60.90,60.95,60.89,60.92,44965
19-Feb-14,60.96,60.96,60.91,60.94,121623
18-Feb-14,60.94,60.95,60.92,60.95,115704
14-Feb-14,60.93,60.93,60.88,60.93,138043
13-Feb-14,60.90,60.92,60.89,60.92,135048
12-Feb-14,60.92,60.92,60.88,60.89,67838
11-Feb-14,60.90,60.92,60.88,60.91,162272
