Date,Open,High,Low,Close,Volume
23-Oct-14,71.04,71.98,70.76,71.74,47051
22-Oct-14,71.88,72.22,70.45,70.45,16057
21-Oct-14,69.60,72.20,69.51,71.92,39405
20-Oct-14,69.42,69.42,68.66,69.39,27114
17-Oct-14,69.38,70.02,68.72,69.41,39041
16-Oct-14,67.23,68.66,66.11,68.30,153303
15-Oct-14,68.28,69.19,67.00,68.25,62143
14-Oct-14,69.00,69.95,68.77,69.08,36750
13-Oct-14,70.44,70.55,68.36,68.42,34548
10-Oct-14,71.84,72.73,70.69,70.70,50806
9-Oct-14,74.41,74.54,71.86,72.17,56971
8-Oct-14,73.83,75.07,73.31,74.61,13010
7-Oct-14,74.43,74.65,73.92,73.92,18996
6-Oct-14,75.37,75.65,74.69,74.76,12776
3-Oct-14,74.94,75.92,74.87,75.30,22804
2-Oct-14,75.40,75.40,73.21,74.85,32160
1-Oct-14,76.48,76.48,75.11,75.39,46764
30-Sep-14,77.00,77.50,76.78,77.01,12537
29-Sep-14,76.92,77.15,76.65,76.81,23299
26-Sep-14,77.20,77.48,76.75,77.34,13139
25-Sep-14,78.00,78.38,76.97,77.27,11022
24-Sep-14,77.42,78.31,76.87,78.18,18472
23-Sep-14,79.25,79.33,77.47,77.60,38318
22-Sep-14,80.55,80.79,79.39,79.63,13388
19-Sep-14,81.01,81.16,80.77,80.96,21230
18-Sep-14,79.71,80.53,79.59,80.48,19765
17-Sep-14,80.01,80.06,79.40,79.58,15279
16-Sep-14,79.32,80.48,79.32,80.01,12517
15-Sep-14,79.44,79.56,79.12,79.32,8097
12-Sep-14,80.00,80.01,79.18,79.70,31187
11-Sep-14,79.95,80.20,79.59,79.98,40694
10-Sep-14,79.05,80.54,78.99,80.24,26427
9-Sep-14,80.51,80.51,79.20,79.33,15884
8-Sep-14,81.27,81.27,80.64,80.99,15657
5-Sep-14,81.38,81.45,81.03,81.34,18985
4-Sep-14,81.04,81.49,81.00,81.18,13860
3-Sep-14,81.97,81.97,80.96,80.96,13755
2-Sep-14,80.85,81.87,80.85,81.45,17807
29-Aug-14,80.80,81.24,80.50,81.03,12276
28-Aug-14,80.47,81.26,80.47,80.81,28678
27-Aug-14,80.67,80.99,80.45,80.99,68771
26-Aug-14,80.45,80.87,80.38,80.54,24538
25-Aug-14,81.46,81.46,80.51,80.62,27934
22-Aug-14,80.85,81.10,80.77,81.00,8192
21-Aug-14,81.29,81.37,80.74,80.90,10466
20-Aug-14,81.29,81.64,81.24,81.24,9052
19-Aug-14,82.19,82.19,81.23,81.25,12628
18-Aug-14,82.22,82.36,81.98,82.16,13666
15-Aug-14,81.36,81.57,80.85,81.52,10478
14-Aug-14,80.66,81.02,80.66,81.02,9099
13-Aug-14,80.89,80.89,80.27,80.31,8698
12-Aug-14,81.16,81.16,80.28,80.61,13362
11-Aug-14,81.04,81.27,80.48,81.19,16662
8-Aug-14,80.07,80.70,80.05,80.53,9757
7-Aug-14,80.40,81.12,79.40,79.74,27214
6-Aug-14,81.00,81.33,79.78,80.39,80578
5-Aug-14,82.14,82.65,81.62,82.06,23214
4-Aug-14,82.99,82.99,82.29,82.97,15412
1-Aug-14,82.97,82.98,82.37,82.56,17930
31-Jul-14,84.93,84.93,82.88,83.14,16089
30-Jul-14,85.59,86.55,84.92,85.29,13170
29-Jul-14,86.48,86.48,85.62,85.62,8547
28-Jul-14,86.37,86.37,85.45,86.17,11906
25-Jul-14,85.54,87.80,85.54,86.15,14529
