Date,Open,High,Low,Close,Volume
23-Oct-14,1.41,1.41,1.33,1.40,16430
22-Oct-14,1.50,1.50,1.41,1.41,4733
21-Oct-14,1.52,1.52,1.43,1.43,6844
20-Oct-14,1.53,1.53,1.47,1.51,18656
17-Oct-14,1.44,1.54,1.44,1.44,8952
16-Oct-14,1.40,1.44,1.40,1.43,11440
15-Oct-14,1.43,1.47,1.41,1.43,4060
14-Oct-14,1.48,1.50,1.45,1.45,14384
13-Oct-14,1.51,1.59,1.48,1.49,7877
10-Oct-14,1.61,1.61,1.51,1.51,5874
9-Oct-14,1.65,1.65,1.50,1.50,13748
8-Oct-14,1.60,1.60,1.59,1.60,19589
7-Oct-14,1.62,1.67,1.58,1.60,20806
6-Oct-14,1.59,1.69,1.58,1.58,8205
3-Oct-14,1.55,1.63,1.55,1.61,17226
2-Oct-14,1.69,1.69,1.50,1.61,15009
1-Oct-14,1.63,1.65,1.49,1.64,44052
30-Sep-14,1.71,1.71,1.51,1.51,61261
29-Sep-14,1.47,1.86,1.45,1.71,263228
26-Sep-14,1.60,1.61,1.46,1.48,79705
25-Sep-14,1.65,1.77,1.60,1.60,24967
24-Sep-14,1.67,1.69,1.62,1.66,5595
23-Sep-14,1.70,1.74,1.64,1.64,16420
22-Sep-14,1.65,1.77,1.65,1.72,17870
19-Sep-14,1.70,1.75,1.66,1.70,55095
18-Sep-14,1.89,1.90,1.70,1.74,92713
17-Sep-14,1.65,2.35,1.64,1.87,589865
16-Sep-14,1.69,1.70,1.62,1.66,12573
15-Sep-14,1.67,1.70,1.66,1.66,8434
12-Sep-14,1.72,1.76,1.67,1.67,23398
11-Sep-14,1.72,1.86,1.72,1.75,17971
10-Sep-14,1.73,2.03,1.71,1.77,9449
9-Sep-14,1.83,1.86,1.73,1.75,14689
8-Sep-14,1.81,1.89,1.81,1.83,17879
5-Sep-14,1.93,1.93,1.82,1.88,8749
4-Sep-14,2.04,2.07,1.90,1.92,29571
3-Sep-14,2.02,2.04,1.90,2.03,17468
2-Sep-14,1.96,2.16,1.95,2.05,78532
29-Aug-14,1.73,2.22,1.70,2.09,331888
28-Aug-14,1.70,1.75,1.69,1.71,17165
27-Aug-14,1.71,1.76,1.70,1.71,4147
26-Aug-14,1.75,1.75,1.70,1.70,7356
25-Aug-14,1.73,1.76,1.70,1.70,9567
22-Aug-14,1.76,1.76,1.70,1.74,4530
21-Aug-14,1.72,1.73,1.72,1.72,4793
20-Aug-14,1.70,1.73,1.70,1.72,2363
19-Aug-14,1.79,1.79,1.66,1.72,12518
18-Aug-14,1.64,1.83,1.64,1.64,8739
15-Aug-14,1.73,1.73,1.64,1.69,27150
14-Aug-14,1.70,1.77,1.64,1.68,16145
