Date,Open,High,Low,Close,Volume
23-Oct-14,61.04,61.53,60.76,61.17,352340
22-Oct-14,61.07,61.44,60.63,60.69,481462
21-Oct-14,60.05,61.29,59.79,61.09,714298
20-Oct-14,59.44,60.09,59.19,59.95,611890
17-Oct-14,59.52,60.28,59.25,59.46,895170
16-Oct-14,58.49,59.53,58.47,59.24,783756
15-Oct-14,59.44,59.48,57.97,59.17,1348979
14-Oct-14,59.45,60.05,59.30,59.63,629811
13-Oct-14,59.16,59.58,59.02,59.11,617199
10-Oct-14,59.52,60.05,59.04,59.07,792705
9-Oct-14,60.28,60.64,59.22,59.73,556772
8-Oct-14,59.95,60.60,59.85,60.48,555300
7-Oct-14,60.06,60.24,59.64,59.78,546060
6-Oct-14,60.39,60.82,60.31,60.46,431936
3-Oct-14,60.25,61.05,60.16,60.26,573750
2-Oct-14,60.18,60.35,59.54,60.18,387698
1-Oct-14,60.68,60.81,59.97,60.11,617680
30-Sep-14,61.02,61.29,60.75,60.89,563969
29-Sep-14,61.08,61.16,60.63,60.93,635717
26-Sep-14,64.19,64.19,61.08,61.34,432493
25-Sep-14,62.14,62.18,61.07,61.33,549151
24-Sep-14,62.22,62.45,61.96,62.36,585965
23-Sep-14,62.90,63.31,62.20,62.21,500898
22-Sep-14,64.01,64.13,63.10,63.15,507120
19-Sep-14,65.00,65.00,63.93,64.06,776285
18-Sep-14,64.69,64.90,64.54,64.64,493096
17-Sep-14,64.73,64.91,64.38,64.77,251059
16-Sep-14,64.28,64.68,64.03,64.50,317576
15-Sep-14,64.73,64.86,64.14,64.26,751292
12-Sep-14,64.50,64.93,64.24,64.63,719701
11-Sep-14,64.58,64.83,64.34,64.77,380683
10-Sep-14,64.26,64.77,64.11,64.68,403657
9-Sep-14,64.00,64.40,63.75,64.24,375987
8-Sep-14,64.41,64.57,64.00,64.22,257696
5-Sep-14,64.37,64.67,64.24,64.64,341893
4-Sep-14,63.98,64.66,63.98,64.28,273598
3-Sep-14,64.50,64.67,64.07,64.27,365466
2-Sep-14,64.09,64.94,64.09,64.47,440082
29-Aug-14,64.28,64.50,63.49,64.19,397298
28-Aug-14,63.76,63.98,63.57,63.88,307004
27-Aug-14,64.00,64.15,63.54,63.80,495203
26-Aug-14,63.95,64.18,63.72,64.07,639301
25-Aug-14,64.12,64.20,63.44,63.63,277460
22-Aug-14,64.27,64.33,63.39,63.80,525904
21-Aug-14,63.50,64.16,63.23,64.15,421112
20-Aug-14,63.23,63.76,63.14,63.58,396203
19-Aug-14,63.80,63.96,63.34,63.55,418949
18-Aug-14,62.83,63.80,62.83,63.77,900451
15-Aug-14,63.11,63.11,62.36,62.69,1238550
14-Aug-14,61.62,62.55,61.57,62.46,648436
13-Aug-14,60.78,61.67,60.53,61.63,700230
12-Aug-14,60.56,60.92,60.38,60.75,521328
11-Aug-14,60.26,60.83,60.00,60.75,2092072
8-Aug-14,60.29,60.55,59.94,60.17,999850
7-Aug-14,59.98,60.88,59.40,60.40,1424011
6-Aug-14,59.00,59.81,58.80,59.72,914452
5-Aug-14,59.34,59.71,58.88,59.42,1182566
4-Aug-14,59.40,59.81,59.24,59.55,646795
1-Aug-14,59.96,60.32,59.32,59.47,590899
31-Jul-14,60.63,60.75,59.90,60.04,1314203
30-Jul-14,62.37,62.41,60.49,60.79,1290269
29-Jul-14,62.61,62.74,62.07,62.19,1147413
28-Jul-14,62.88,62.94,62.14,62.66,670479
25-Jul-14,63.02,63.20,62.71,62.97,530517
24-Jul-14,62.99,63.40,62.82,63.20,424341
23-Jul-14,62.47,63.12,62.28,62.80,488247
22-Jul-14,62.40,62.96,62.36,62.52,628974
21-Jul-14,62.29,62.50,61.87,62.28,585647
18-Jul-14,61.70,62.52,61.43,62.49,703562
17-Jul-14,61.19,61.78,61.07,61.46,610385
16-Jul-14,61.65,61.91,61.30,61.50,458956
15-Jul-14,60.98,61.55,60.90,61.48,650027
14-Jul-14,61.33,61.37,60.82,61.14,476591
11-Jul-14,61.06,61.19,60.44,61.12,554168
10-Jul-14,60.56,61.07,60.28,61.02,654365
9-Jul-14,61.18,61.44,60.81,60.95,484118
8-Jul-14,61.19,61.44,60.86,61.15,541913
7-Jul-14,61.03,61.40,60.78,61.40,582587
3-Jul-14,60.88,61.15,60.63,61.15,204996
2-Jul-14,60.82,61.53,60.23,60.58,698419
1-Jul-14,60.05,61.08,60.03,60.90,892243
30-Jun-14,59.58,60.05,58.93,60.02,816472
27-Jun-14,59.13,59.83,58.87,59.67,1602326
26-Jun-14,59.17,59.28,58.75,59.15,562899
25-Jun-14,59.58,59.72,59.17,59.23,904158
24-Jun-14,60.41,60.63,59.44,59.54,1070853
23-Jun-14,60.31,60.59,59.88,60.37,719914
20-Jun-14,60.08,60.77,60.01,60.46,1016847
19-Jun-14,62.96,62.96,59.81,60.20,796958
18-Jun-14,60.46,60.67,59.81,59.99,525369
17-Jun-14,60.68,61.00,60.28,60.38,636132
16-Jun-14,60.53,61.01,60.44,60.80,653229
13-Jun-14,60.64,60.73,60.27,60.42,468907
12-Jun-14,61.07,61.19,60.47,60.60,457157
11-Jun-14,60.98,61.18,60.75,61.14,318496
10-Jun-14,61.65,61.92,61.10,61.19,374071
9-Jun-14,61.19,61.83,61.03,61.79,362263
6-Jun-14,61.61,61.85,61.24,61.34,378096
5-Jun-14,61.00,61.41,60.85,61.34,579726
4-Jun-14,59.73,61.00,59.73,60.88,1029727
3-Jun-14,59.48,60.21,59.41,59.92,501249
2-Jun-14,59.31,59.69,59.11,59.57,836209
30-May-14,61.00,61.00,59.19,59.19,3349762
29-May-14,60.55,61.02,60.49,60.81,361700
28-May-14,61.25,61.25,60.53,60.54,481153
27-May-14,61.03,61.14,60.66,61.13,437676
23-May-14,60.89,61.03,60.54,60.95,462558
22-May-14,60.89,61.32,60.55,60.63,689610
21-May-14,60.83,61.28,60.62,60.99,478106
20-May-14,61.25,61.48,60.52,60.74,584920
19-May-14,60.68,61.56,60.62,61.16,554603
16-May-14,60.26,60.98,59.78,60.97,466922
15-May-14,60.86,60.86,59.48,60.25,549331
14-May-14,60.54,61.29,60.54,60.91,348648
13-May-14,61.65,61.65,60.65,60.82,400681
12-May-14,60.73,61.68,60.37,61.45,470667
9-May-14,60.31,60.97,59.94,60.53,460269
8-May-14,59.54,60.67,59.19,60.20,586499
7-May-14,59.88,60.03,59.11,59.73,652495
6-May-14,60.10,60.36,59.70,59.85,327926
5-May-14,59.34,60.31,59.10,60.25,533934
2-May-14,60.43,60.43,59.64,59.73,552595
1-May-14,59.96,60.46,59.66,59.91,894951
30-Apr-14,60.00,61.19,58.38,60.09,1528831
29-Apr-14,57.69,58.15,57.31,57.88,453153
28-Apr-14,58.09,58.14,56.85,57.65,882401
25-Apr-14,58.18,58.41,57.60,57.81,721272
24-Apr-14,58.34,58.49,58.02,58.34,663505
23-Apr-14,57.74,58.30,57.61,58.00,673107
22-Apr-14,57.92,58.12,57.50,58.00,388410
21-Apr-14,57.50,57.76,57.17,57.59,487112
17-Apr-14,57.93,58.24,57.52,57.60,461064
16-Apr-14,57.60,58.02,57.00,57.97,596269
15-Apr-14,57.75,58.03,56.73,57.12,684296
14-Apr-14,57.10,57.83,56.52,57.78,1553634
11-Apr-14,57.74,58.21,56.37,56.55,1293088
10-Apr-14,58.86,59.15,57.85,58.08,1729246
9-Apr-14,59.14,59.29,58.70,59.00,1456093
8-Apr-14,58.38,59.20,58.08,58.90,1321918
7-Apr-14,59.34,59.86,58.30,58.34,837832
4-Apr-14,61.11,61.24,59.38,59.57,871835
3-Apr-14,60.59,61.10,60.40,60.75,1037171
2-Apr-14,59.85,60.64,59.50,60.61,2312197
1-Apr-14,59.97,60.06,59.58,59.74,1378472
31-Mar-14,60.11,60.49,59.54,59.96,1044607
28-Mar-14,60.56,60.82,59.75,59.87,1182111
27-Mar-14,61.02,61.24,60.33,60.50,819443
26-Mar-14,61.52,61.76,60.76,60.77,721795
25-Mar-14,62.12,62.36,61.19,61.22,671990
24-Mar-14,62.60,62.88,61.23,61.62,923138
21-Mar-14,62.91,63.00,62.35,62.48,1265035
20-Mar-14,62.76,63.05,62.40,62.47,515587
19-Mar-14,62.96,63.16,62.47,62.83,573581
18-Mar-14,62.89,63.45,62.74,62.94,561767
17-Mar-14,62.75,63.71,62.52,62.88,728951
14-Mar-14,62.27,62.74,62.08,62.37,731403
13-Mar-14,63.29,63.48,62.24,62.36,792643
12-Mar-14,63.39,64.02,62.92,63.29,699715
11-Mar-14,63.76,64.61,63.52,63.73,1168671
10-Mar-14,62.24,63.88,61.99,63.85,2163805
7-Mar-14,63.00,63.00,61.92,62.24,1422589
6-Mar-14,62.10,62.92,61.89,62.58,1897251
5-Mar-14,63.36,63.47,62.06,62.10,1535645
4-Mar-14,63.93,64.21,63.34,63.47,895281
3-Mar-14,63.41,63.68,62.72,63.41,751407
28-Feb-14,63.99,64.16,63.37,63.72,900633
27-Feb-14,64.13,64.13,63.55,63.79,936880
26-Feb-14,67.18,67.48,63.71,63.78,1278489
25-Feb-14,65.64,65.64,65.02,65.20,1257905
24-Feb-14,65.81,65.96,65.35,65.38,1019001
21-Feb-14,66.00,66.29,65.39,65.53,866629
20-Feb-14,65.50,66.25,65.29,66.05,620616
19-Feb-14,65.00,65.78,65.00,65.49,400733
18-Feb-14,65.86,65.86,64.93,65.21,762870
14-Feb-14,66.08,66.21,65.43,65.65,614279
13-Feb-14,63.80,66.01,63.70,65.89,1345981
12-Feb-14,62.74,63.59,62.74,63.28,877616
11-Feb-14,62.33,62.80,62.14,62.78,922799
10-Feb-14,62.32,62.56,61.80,62.30,788530
7-Feb-14,62.40,63.04,61.92,62.40,1111521
6-Feb-14,62.56,62.88,62.32,62.33,838908
5-Feb-14,62.44,63.02,62.01,62.28,619218
4-Feb-14,62.86,63.29,62.39,62.74,821625
3-Feb-14,63.79,63.99,62.62,62.78,951921
31-Jan-14,63.52,64.15,63.19,63.86,553720
30-Jan-14,63.79,64.61,63.58,64.55,551878
29-Jan-14,63.46,63.88,63.05,63.68,674608
28-Jan-14,63.40,63.97,63.35,63.86,863400
27-Jan-14,62.68,63.69,62.68,63.31,1058945
24-Jan-14,63.68,64.03,63.25,63.57,902323
23-Jan-14,63.45,64.16,63.23,64.16,717339
22-Jan-14,64.01,64.22,63.72,63.97,532330
21-Jan-14,63.84,64.27,63.54,64.02,699422
17-Jan-14,63.86,64.10,63.32,63.45,1106185
16-Jan-14,63.46,64.15,63.20,64.12,1000912
15-Jan-14,63.59,63.88,62.94,63.43,1160503
14-Jan-14,62.39,63.28,62.39,63.00,778329
13-Jan-14,62.31,63.40,62.31,62.45,951839
10-Jan-14,63.50,63.75,62.73,62.93,813451
9-Jan-14,63.59,63.65,62.97,63.14,585053
8-Jan-14,63.45,63.56,62.76,63.36,1565394
7-Jan-14,63.79,64.25,63.54,63.61,693189
6-Jan-14,65.10,65.43,63.63,63.65,889135
3-Jan-14,65.03,65.50,64.96,65.13,532119
2-Jan-14,65.27,65.57,64.75,65.12,683322
31-Dec-13,65.35,66.14,65.30,65.72,723000
30-Dec-13,65.91,66.12,65.73,65.81,374362
27-Dec-13,66.25,66.27,65.70,66.05,432369
26-Dec-13,66.19,66.42,65.74,65.98,290324
24-Dec-13,66.23,66.49,65.92,65.97,202232
23-Dec-13,66.42,66.86,65.88,66.03,440756
20-Dec-13,65.57,66.64,65.57,66.56,879072
19-Dec-13,65.51,66.08,65.51,65.85,516400
18-Dec-13,65.46,65.84,64.71,65.75,503323
17-Dec-13,65.19,65.59,64.56,65.22,665865
16-Dec-13,64.64,65.50,64.59,65.22,665794
13-Dec-13,64.60,65.17,64.36,64.63,1163782
12-Dec-13,64.64,64.80,64.04,64.19,849689
11-Dec-13,65.60,65.91,64.56,64.60,1000411
10-Dec-13,66.16,66.36,65.82,66.23,616395
9-Dec-13,67.34,67.34,66.19,66.52,1323312
6-Dec-13,66.33,67.33,65.63,67.33,1071772
5-Dec-13,65.10,65.12,64.71,65.10,975012
4-Dec-13,64.99,65.57,64.72,65.26,576913
3-Dec-13,64.92,65.22,64.73,65.13,651045
2-Dec-13,64.82,65.63,64.73,65.40,834486
29-Nov-13,65.51,65.64,64.83,65.11,333815
27-Nov-13,64.84,65.85,64.63,65.45,1604522
26-Nov-13,64.78,65.11,64.47,64.89,1047846
25-Nov-13,63.70,64.86,63.68,64.53,860687
22-Nov-13,63.18,63.96,63.17,63.91,562000
21-Nov-13,62.63,63.39,62.43,63.27,776614
20-Nov-13,63.12,63.16,62.41,62.63,1350644
19-Nov-13,63.20,63.57,62.91,63.19,436350
18-Nov-13,63.21,63.57,62.80,63.33,982302
15-Nov-13,64.00,64.43,63.31,64.37,717706
14-Nov-13,63.30,64.09,63.20,63.67,545986
13-Nov-13,62.55,63.43,62.43,63.42,711317
12-Nov-13,62.08,62.86,62.00,62.85,905408
11-Nov-13,62.57,62.75,62.17,62.31,832644
8-Nov-13,61.45,62.59,61.25,62.47,935351
7-Nov-13,61.68,64.15,61.13,61.27,1287545
6-Nov-13,61.00,62.85,60.16,62.00,5231729
5-Nov-13,67.91,68.23,67.53,67.80,799882
4-Nov-13,68.05,68.34,67.65,68.33,517171
1-Nov-13,68.79,68.79,67.26,67.98,847095
31-Oct-13,68.11,68.69,67.87,68.52,474649
30-Oct-13,68.68,69.07,67.82,68.15,415804
29-Oct-13,68.21,68.74,68.14,68.74,371381
28-Oct-13,68.51,68.94,67.90,67.94,685969
25-Oct-13,68.45,68.45,67.86,68.39,345640
24-Oct-13,68.43,69.09,67.94,68.02,658197
23-Oct-13,68.06,68.83,67.68,68.53,633266
22-Oct-13,68.74,69.03,68.25,68.35,491533
21-Oct-13,68.71,68.86,67.75,68.38,652340
18-Oct-13,68.72,68.73,68.11,68.69,718610
17-Oct-13,67.60,68.77,67.36,68.71,523046
16-Oct-13,67.43,67.99,67.11,67.77,494656
15-Oct-13,66.96,67.15,66.74,66.97,551701
14-Oct-13,66.86,67.29,66.56,67.26,519052
11-Oct-13,66.33,67.17,66.16,67.07,445221
10-Oct-13,65.35,66.66,65.35,66.45,477607
9-Oct-13,65.00,65.21,64.40,65.14,1106590
8-Oct-13,64.50,65.15,64.32,64.94,970111
7-Oct-13,64.46,64.92,63.86,64.66,625473
4-Oct-13,64.13,65.10,63.87,65.02,884675
3-Oct-13,64.34,64.47,63.28,63.97,1134895
2-Oct-13,64.86,64.86,64.28,64.37,731452
1-Oct-13,65.04,65.53,64.82,65.16,478524
30-Sep-13,64.96,65.26,64.54,64.96,578050
