Date,Open,High,Low,Close,Volume
23-Oct-14,89.63,90.10,89.63,90.10,903
22-Oct-14,89.74,89.80,89.51,89.51,3400
21-Oct-14,88.41,89.45,88.41,89.37,4398
20-Oct-14,87.01,87.72,87.01,87.72,4036
17-Oct-14,87.15,87.25,86.57,86.89,4191
16-Oct-14,84.49,86.34,84.49,85.92,3342
15-Oct-14,85.39,85.86,83.93,85.86,7891
14-Oct-14,86.54,87.10,86.22,86.71,1357
13-Oct-14,87.33,87.40,86.52,86.52,8935
10-Oct-14,88.18,88.30,87.85,88.25,3507
9-Oct-14,90.17,90.18,88.41,88.42,3802
8-Oct-14,88.87,88.87,88.62,88.71,2102
7-Oct-14,89.74,89.74,89.00,89.00,1672
6-Oct-14,90.73,90.75,90.17,90.18,1995
3-Oct-14,90.37,90.44,90.28,90.28,818
2-Oct-14,88.57,89.38,88.56,89.38,1821
1-Oct-14,90.08,90.08,89.18,89.50,9785
30-Sep-14,90.71,90.71,90.52,90.52,7821
29-Sep-14,90.36,90.93,90.36,90.93,699
26-Sep-14,90.59,91.11,90.57,91.07,2906
25-Sep-14,91.48,91.48,90.47,90.47,1219
24-Sep-14,91.15,91.59,90.94,91.58,1846
23-Sep-14,91.42,91.42,91.42,91.42,755
22-Sep-14,92.43,92.43,91.72,91.72,2728
19-Sep-14,93.29,93.29,92.75,92.76,2515
18-Sep-14,92.81,92.81,92.79,92.79,1557
17-Sep-14,92.77,93.01,92.44,93.01,2748
16-Sep-14,91.74,92.56,91.74,92.49,5475
15-Sep-14,92.22,92.22,91.73,91.84,2699
12-Sep-14,92.63,92.63,91.84,92.08,6449
11-Sep-14,92.19,92.61,92.19,92.61,1741
10-Sep-14,92.26,92.42,91.91,92.40,14275
9-Sep-14,92.60,92.61,92.12,92.12,4809
8-Sep-14,93.05,93.05,92.56,92.85,1379
5-Sep-14,92.59,92.98,92.29,92.98,853
4-Sep-14,93.14,93.14,92.42,92.42,1718
3-Sep-14,93.11,93.11,92.70,92.72,800
2-Sep-14,92.77,92.79,92.58,92.79,2469
29-Aug-14,92.75,92.75,92.75,92.75,384
28-Aug-14,92.45,92.45,92.45,92.45,196
27-Aug-14,92.63,92.64,92.63,92.64,490
26-Aug-14,92.71,92.73,92.63,92.63,2712
25-Aug-14,92.29,92.65,92.29,92.47,2635
22-Aug-14,92.13,92.15,91.95,92.15,808
21-Aug-14,92.09,92.12,92.05,92.12,1333
20-Aug-14,91.77,91.77,91.77,91.77,447
19-Aug-14,91.40,91.73,91.40,91.73,1858
18-Aug-14,90.97,91.26,90.97,91.19,901
15-Aug-14,90.05,90.30,90.05,90.30,387
14-Aug-14,90.10,90.32,90.10,90.32,637
13-Aug-14,89.79,90.10,89.69,90.07,8429
12-Aug-14,89.58,89.69,89.25,89.37,5804
11-Aug-14,89.73,89.83,89.73,89.81,3251
8-Aug-14,88.54,89.09,88.42,89.09,829
7-Aug-14,88.24,88.27,88.24,88.27,1648
6-Aug-14,88.59,88.80,88.57,88.77,1437
5-Aug-14,89.32,89.35,88.50,88.50,2053
4-Aug-14,89.09,89.47,88.85,89.47,9716
1-Aug-14,88.99,89.33,88.41,88.91,6424
31-Jul-14,90.00,90.00,89.15,89.15,15202
30-Jul-14,91.21,91.21,90.72,90.72,643
29-Jul-14,91.43,91.43,90.84,90.84,778
28-Jul-14,91.24,91.24,91.17,91.17,412
25-Jul-14,91.12,91.23,91.12,91.16,887
24-Jul-14,91.85,91.85,91.67,91.67,1144
23-Jul-14,91.71,91.71,91.58,91.68,1234
22-Jul-14,91.38,91.55,91.36,91.55,1728
21-Jul-14,90.67,91.00,90.67,91.00,1177
18-Jul-14,91.04,91.25,91.02,91.25,816
17-Jul-14,91.05,91.05,90.99,91.00,2356
16-Jul-14,91.41,91.45,91.19,91.42,2032
15-Jul-14,90.98,91.13,90.98,91.13,556
14-Jul-14,91.31,91.31,91.31,91.31,358
11-Jul-14,90.78,90.78,90.71,90.71,912
9-Jul-14,91.12,91.12,90.97,90.98,1162
8-Jul-14,91.35,91.35,90.68,90.74,1158
7-Jul-14,91.72,91.72,91.41,91.44,2917
3-Jul-14,91.80,91.80,91.78,91.78,703
2-Jul-14,91.61,91.61,91.45,91.45,872
1-Jul-14,91.18,91.76,91.18,91.54,3366
30-Jun-14,90.85,90.90,90.84,90.84,971
27-Jun-14,90.58,90.63,90.58,90.63,1870
26-Jun-14,90.25,90.61,90.25,90.56,2691
25-Jun-14,90.08,90.70,90.08,90.68,2518
24-Jun-14,90.85,91.10,90.24,90.24,1557
23-Jun-14,91.04,91.12,90.81,90.88,2919
20-Jun-14,91.20,91.20,91.16,91.18,1722
19-Jun-14,91.12,91.12,90.74,91.00,9616
18-Jun-14,90.39,90.76,90.24,90.76,2276
17-Jun-14,89.90,90.26,89.84,90.26,3088
16-Jun-14,89.87,89.87,89.87,89.87,254
13-Jun-14,89.95,89.95,89.69,89.86,2490
12-Jun-14,89.95,89.99,89.56,89.62,1814
11-Jun-14,90.36,90.36,90.16,90.21,2441
10-Jun-14,90.38,90.53,90.35,90.53,545
9-Jun-14,90.48,90.65,90.48,90.57,3415
6-Jun-14,90.20,90.40,90.20,90.37,2475
5-Jun-14,89.54,89.97,89.39,89.97,27536
4-Jun-14,89.27,89.27,89.23,89.27,2127
3-Jun-14,88.86,89.11,88.80,89.07,3522
2-Jun-14,89.07,89.12,88.83,89.10,1911
30-May-14,88.94,89.02,88.79,89.02,5796
29-May-14,88.69,88.91,88.59,88.91,2294
28-May-14,88.58,88.70,88.55,88.70,1708
27-May-14,88.43,88.57,88.43,88.57,864
23-May-14,87.78,88.00,87.78,88.00,2652
22-May-14,87.62,87.76,87.59,87.76,880
21-May-14,86.92,86.92,86.92,86.92,744
20-May-14,87.17,87.17,86.49,86.51,2691
19-May-14,86.62,87.24,86.62,87.24,800
16-May-14,86.81,86.81,86.43,86.49,2297
15-May-14,87.06,87.06,86.12,86.40,5583
14-May-14,87.57,87.60,87.29,87.31,1806
13-May-14,87.93,87.93,87.79,87.79,1110
12-May-14,87.47,87.88,87.47,87.88,1120
9-May-14,86.62,86.62,86.53,86.53,620
8-May-14,86.90,87.30,86.71,86.71,868
7-May-14,86.57,86.75,86.50,86.60,1128
6-May-14,86.99,86.99,86.48,86.48,630
5-May-14,86.87,87.16,86.60,87.16,3257
2-May-14,87.48,87.48,87.04,87.14,1850
1-May-14,87.25,87.38,87.16,87.17,1576
30-Apr-14,86.73,87.12,86.73,87.12,1083
29-Apr-14,86.77,86.93,86.76,86.90,2482
28-Apr-14,86.84,86.84,85.84,85.84,1196
24-Apr-14,87.36,87.36,86.82,87.14,1865
23-Apr-14,87.13,87.13,87.05,87.05,1022
22-Apr-14,87.20,87.37,87.20,87.27,1768
21-Apr-14,86.59,86.71,86.59,86.65,17821
17-Apr-14,86.19,86.61,86.19,86.61,2958
16-Apr-14,85.94,86.18,85.67,86.18,1569
15-Apr-14,85.26,85.26,84.11,84.87,8721
14-Apr-14,84.95,84.97,84.14,84.27,206146
11-Apr-14,84.24,84.52,84.24,84.52,1814
10-Apr-14,86.26,86.27,85.00,85.11,4385
9-Apr-14,86.38,86.85,86.25,86.85,3356
8-Apr-14,85.66,86.20,85.66,85.96,364412
7-Apr-14,86.57,86.57,85.46,85.70,7469
4-Apr-14,88.32,88.32,86.67,86.67,5512
3-Apr-14,88.28,88.28,87.71,87.86,6287
2-Apr-14,87.93,88.21,87.81,88.10,35500
1-Apr-14,87.26,87.68,87.26,87.59,14861
31-Mar-14,86.86,87.21,86.83,87.21,7160
28-Mar-14,86.18,86.68,86.14,86.18,4633
27-Mar-14,86.13,86.13,85.90,85.93,1441
26-Mar-14,87.13,87.13,86.11,86.11,112140
25-Mar-14,86.93,87.10,86.33,86.33,2401
24-Mar-14,87.12,87.12,86.08,86.67,12393
21-Mar-14,87.75,87.75,87.75,87.75,582
20-Mar-14,87.21,87.64,87.21,87.64,3593
19-Mar-14,87.66,87.66,87.12,87.12,766
18-Mar-14,87.23,87.69,87.23,87.68,3279
17-Mar-14,86.49,87.05,86.49,87.05,1863
14-Mar-14,86.07,86.49,86.07,86.20,1379
13-Mar-14,87.43,87.43,86.22,86.22,4363
12-Mar-14,86.94,87.28,86.91,87.14,3729
11-Mar-14,87.93,88.01,87.27,87.27,4183
10-Mar-14,87.50,87.71,87.50,87.71,981
7-Mar-14,88.27,88.27,87.61,87.80,932
6-Mar-14,88.03,88.03,87.86,87.86,5198
5-Mar-14,87.75,87.77,87.68,87.72,2740
4-Mar-14,87.12,87.72,87.12,87.72,1656
3-Mar-14,86.14,86.38,86.05,86.27,4892
28-Feb-14,86.71,87.36,86.70,86.97,5494
27-Feb-14,86.22,86.22,86.22,86.22,883
26-Feb-14,86.52,86.66,86.32,86.32,1577
25-Feb-14,86.49,86.49,86.06,86.25,4544
24-Feb-14,86.08,86.62,86.08,86.56,2926
21-Feb-14,86.14,86.18,86.13,86.14,635
20-Feb-14,85.91,85.97,85.87,85.95,2792
19-Feb-14,85.87,86.03,85.56,85.69,1997
18-Feb-14,85.80,85.96,85.70,85.90,6890
14-Feb-14,85.24,85.77,85.08,85.72,2035
