Date,Open,High,Low,Close,Volume
23-Oct-14,94.34,95.84,94.34,95.26,23955
22-Oct-14,94.92,95.12,93.35,93.35,15432
21-Oct-14,93.93,94.92,93.80,94.92,25386
20-Oct-14,91.77,93.24,91.77,93.24,8402
17-Oct-14,93.19,93.53,91.70,92.11,162356
16-Oct-14,90.10,92.63,90.10,92.35,69939
15-Oct-14,88.29,90.90,88.01,90.90,11883
14-Oct-14,89.92,91.06,89.32,89.78,5399
13-Oct-14,89.55,90.00,88.74,88.74,3430
10-Oct-14,90.45,91.39,89.73,89.73,6485
9-Oct-14,93.53,93.53,91.06,91.06,8584
8-Oct-14,91.69,93.20,90.93,93.20,1532
7-Oct-14,93.01,93.20,91.89,91.89,25643
6-Oct-14,95.24,95.24,93.94,94.15,5689
3-Oct-14,94.71,95.35,94.71,95.01,14386
2-Oct-14,92.92,94.16,92.00,93.98,14621
1-Oct-14,94.37,94.37,92.59,92.59,6927
30-Sep-14,95.21,95.21,94.51,94.51,1898
29-Sep-14,94.57,96.08,94.57,95.81,4186
26-Sep-14,95.43,95.43,95.30,95.30,1899
25-Sep-14,96.23,96.23,94.88,95.10,3013
24-Sep-14,95.68,96.50,95.18,96.50,2399
23-Sep-14,95.93,96.19,95.53,95.61,7621
22-Sep-14,97.21,97.21,95.88,96.22,8980
19-Sep-14,99.33,99.33,97.38,97.38,2808
18-Sep-14,98.66,98.97,98.59,98.81,1081
17-Sep-14,98.39,98.76,98.26,98.76,3113
16-Sep-14,97.18,98.09,96.90,97.94,12344
15-Sep-14,99.08,99.08,97.36,97.76,2771
12-Sep-14,99.28,99.28,98.68,98.98,1954
11-Sep-14,99.00,99.88,99.00,99.80,3268
10-Sep-14,98.29,99.00,98.29,99.00,1014
9-Sep-14,99.00,99.28,98.38,98.38,3769
8-Sep-14,99.67,99.84,99.23,99.61,1469
5-Sep-14,99.06,99.30,98.33,99.30,3457
4-Sep-14,99.88,99.88,99.32,99.32,811
3-Sep-14,100.57,100.57,99.47,99.47,2533
2-Sep-14,100.00,100.41,99.66,100.18,7453
29-Aug-14,98.93,99.78,98.93,99.52,4287
28-Aug-14,98.64,99.28,98.62,99.04,4034
27-Aug-14,100.00,100.00,99.60,99.60,1358
26-Aug-14,99.07,100.00,98.96,99.88,3929
25-Aug-14,98.97,99.22,98.51,98.79,7568
22-Aug-14,98.17,98.40,98.12,98.37,4387
21-Aug-14,98.15,98.15,97.00,98.14,12159
20-Aug-14,98.01,98.19,97.92,98.08,4513
19-Aug-14,98.63,98.79,98.57,98.71,3115
18-Aug-14,97.68,98.23,97.55,98.08,7958
15-Aug-14,97.61,97.61,96.19,96.62,7052
14-Aug-14,96.95,96.95,96.77,96.85,3797
13-Aug-14,96.16,96.84,96.16,96.73,2286
12-Aug-14,96.43,96.59,95.64,95.90,2433
11-Aug-14,96.21,97.06,96.00,96.81,8011
8-Aug-14,94.78,95.33,94.78,95.26,2204
7-Aug-14,95.38,95.68,94.35,94.58,4468
6-Aug-14,94.96,95.69,94.96,95.17,3353
5-Aug-14,94.81,95.37,94.49,94.49,2267
4-Aug-14,94.39,95.09,94.09,95.09,9723
1-Aug-14,94.53,94.71,93.41,93.97,4778
31-Jul-14,96.20,96.23,94.50,94.51,25493
30-Jul-14,97.12,97.33,97.03,97.08,3126
29-Jul-14,96.19,96.91,96.19,96.46,6061
28-Jul-14,96.60,96.60,95.24,96.34,3680
25-Jul-14,96.96,96.96,96.31,96.49,4067
24-Jul-14,97.73,98.01,97.31,97.59,1569
23-Jul-14,97.79,98.03,97.43,97.55,1990
22-Jul-14,96.97,97.40,96.97,97.29,1361
21-Jul-14,95.47,96.34,95.38,96.14,3606
18-Jul-14,95.35,96.41,95.02,96.38,4200
17-Jul-14,95.60,96.21,94.58,94.73,18573
16-Jul-14,96.75,96.75,96.17,96.40,3443
15-Jul-14,97.82,98.15,96.26,96.74,4577
14-Jul-14,98.47,98.54,97.79,98.07,328199
11-Jul-14,97.27,97.61,97.27,97.46,2374
10-Jul-14,96.43,97.95,95.36,97.48,6616
9-Jul-14,98.46,98.59,98.43,98.44,3919
8-Jul-14,98.97,98.97,98.00,98.22,6497
7-Jul-14,101.95,101.95,100.05,100.05,7410
3-Jul-14,101.97,102.07,101.93,102.06,2222
2-Jul-14,101.99,101.99,101.52,101.52,5747
1-Jul-14,101.23,102.36,101.23,101.76,11085
30-Jun-14,100.33,100.59,99.80,100.51,4194
27-Jun-14,99.14,99.93,99.14,99.93,5527
26-Jun-14,99.52,99.52,99.08,99.41,7923
25-Jun-14,98.37,99.58,98.18,99.56,6621
24-Jun-14,99.93,100.69,99.05,99.11,4522
23-Jun-14,100.43,100.43,99.80,99.90,7399
20-Jun-14,99.85,100.16,99.51,100.16,7096
19-Jun-14,99.94,100.18,99.11,99.75,16433
18-Jun-14,99.13,99.60,98.78,99.60,2302
17-Jun-14,98.30,99.30,98.30,99.06,2747
16-Jun-14,97.42,98.15,97.38,98.08,3615
13-Jun-14,96.80,97.52,96.80,97.35,4243
12-Jun-14,97.38,97.65,97.00,97.00,7131
11-Jun-14,97.47,97.90,97.30,97.86,3657
10-Jun-14,98.17,98.17,97.48,97.89,4340
9-Jun-14,97.46,98.54,97.46,98.24,5157
6-Jun-14,96.64,97.42,96.64,97.24,4171
5-Jun-14,94.65,96.28,94.42,96.28,21451
4-Jun-14,93.65,94.42,93.60,94.33,26131
3-Jun-14,93.69,93.97,93.45,93.88,7337
2-Jun-14,94.71,94.92,93.44,94.12,355999
30-May-14,95.09,95.09,94.41,94.64,2145
29-May-14,95.16,95.42,95.16,95.42,916
28-May-14,95.54,95.54,94.89,95.35,5133
27-May-14,94.65,95.51,94.57,95.51,6223
23-May-14,93.30,94.12,93.30,94.10,3737
22-May-14,92.01,93.15,92.01,93.10,15078
21-May-14,92.04,92.08,91.21,91.86,6231
20-May-14,91.82,91.82,91.00,91.49,3823
19-May-14,91.35,93.04,91.35,92.59,5049
16-May-14,90.54,91.58,90.53,91.52,6194
15-May-14,90.91,91.11,89.83,91.08,10524
14-May-14,92.84,92.84,91.78,91.84,5298
13-May-14,93.99,93.99,93.05,93.23,6226
12-May-14,92.04,94.21,92.04,94.15,14419
9-May-14,90.45,91.57,90.00,91.57,8042
8-May-14,91.57,92.59,90.86,90.86,5742
7-May-14,92.52,92.52,90.50,91.70,3216
6-May-14,93.70,93.70,92.27,92.31,2983
5-May-14,93.47,94.10,92.86,94.10,3504
2-May-14,94.07,94.50,94.07,94.30,1760
1-May-14,93.65,94.65,92.79,93.92,9214
30-Apr-14,92.99,93.70,92.33,93.70,4893
29-Apr-14,93.02,93.67,93.02,93.29,4690
28-Apr-14,93.75,94.08,91.30,92.79,18710
25-Apr-14,95.11,95.11,93.22,93.39,7132
24-Apr-14,96.52,96.52,94.84,95.48,4040
23-Apr-14,96.69,96.69,95.78,95.80,6199
22-Apr-14,96.00,96.96,95.93,96.77,8476
21-Apr-14,95.14,95.28,94.70,95.24,5564
17-Apr-14,93.96,95.10,93.67,94.98,20525
16-Apr-14,94.00,94.32,93.20,94.32,11972
15-Apr-14,93.03,93.41,90.67,93.11,37843
14-Apr-14,93.50,93.89,91.88,92.88,163559
11-Apr-14,93.38,94.50,92.36,92.73,28397
10-Apr-14,97.54,97.54,94.00,94.41,6267
9-Apr-14,95.86,97.47,95.71,97.46,10055
8-Apr-14,95.02,95.96,94.17,95.52,421795
7-Apr-14,96.26,96.26,94.30,94.92,24922
4-Apr-14,99.85,99.85,96.36,96.75,25084
3-Apr-14,100.85,100.85,98.98,99.38,5112
2-Apr-14,100.87,100.87,100.38,100.84,8244
1-Apr-14,99.92,100.52,99.64,100.26,30120
31-Mar-14,97.73,99.14,97.49,99.07,45631
28-Mar-14,97.44,98.49,96.88,97.02,18676
27-Mar-14,97.74,97.74,96.66,96.99,13337
26-Mar-14,100.36,100.36,97.58,97.58,24867
25-Mar-14,100.47,100.83,98.83,99.62,116433
24-Mar-14,101.86,101.86,98.71,99.60,382672
21-Mar-14,103.10,103.10,101.49,101.49,2589
20-Mar-14,102.03,102.75,102.02,102.25,9156
19-Mar-14,102.96,103.00,102.50,102.50,3057
18-Mar-14,101.76,103.22,101.61,103.03,5407
17-Mar-14,101.61,102.09,101.40,101.50,6776
14-Mar-14,100.31,101.13,100.31,100.60,5397
13-Mar-14,102.35,102.38,100.00,100.57,6122
12-Mar-14,101.10,101.91,100.91,101.74,6298
11-Mar-14,103.01,103.31,101.19,101.33,8260
10-Mar-14,103.11,103.11,102.34,102.68,5094
7-Mar-14,104.12,104.12,102.75,103.10,4418
6-Mar-14,103.98,104.09,103.06,103.47,4683
5-Mar-14,103.76,103.76,103.33,103.64,7991
4-Mar-14,102.00,104.17,102.00,103.79,15202
3-Mar-14,100.30,101.20,99.80,100.68,13261
28-Feb-14,102.48,102.84,101.14,101.37,11664
27-Feb-14,101.58,102.32,101.28,102.29,6610
26-Feb-14,101.41,102.61,101.41,101.70,19351
25-Feb-14,101.25,101.55,100.71,101.11,4926
24-Feb-14,100.46,101.50,100.46,101.05,7342
21-Feb-14,100.20,100.61,100.09,100.27,7468
