Date,Open,High,Low,Close,Volume
23-Oct-14,20.92,20.99,20.56,20.61,521494
22-Oct-14,20.75,21.00,20.62,20.64,454143
21-Oct-14,20.50,20.85,20.50,20.77,569942
20-Oct-14,20.25,20.53,20.17,20.40,348414
17-Oct-14,20.61,20.61,20.23,20.36,551684
16-Oct-14,19.63,20.42,19.62,20.33,585345
15-Oct-14,19.88,20.15,19.52,19.95,844918
14-Oct-14,20.12,20.56,20.02,20.26,635007
13-Oct-14,19.76,20.20,19.60,19.94,505571
10-Oct-14,19.57,20.08,19.57,19.72,550159
9-Oct-14,20.09,20.14,19.67,19.67,1023188
8-Oct-14,19.75,20.19,19.67,20.17,556151
7-Oct-14,20.00,20.02,19.79,19.80,953564
6-Oct-14,20.01,20.22,19.79,20.08,1275822
3-Oct-14,20.20,20.21,19.90,19.99,845807
2-Oct-14,19.87,20.12,19.70,20.00,1003630
1-Oct-14,20.16,20.42,19.75,19.86,1624126
30-Sep-14,20.57,20.65,20.35,20.36,631889
29-Sep-14,20.38,20.67,20.36,20.60,342390
26-Sep-14,20.38,20.62,20.33,20.62,431315
25-Sep-14,20.64,20.70,20.28,20.36,413116
24-Sep-14,20.65,20.77,20.47,20.71,490642
23-Sep-14,20.86,20.98,20.58,20.59,564712
22-Sep-14,21.01,21.16,20.88,20.91,570796
19-Sep-14,21.38,21.46,21.01,21.08,1968426
18-Sep-14,21.29,21.45,21.17,21.37,481344
17-Sep-14,21.28,21.58,21.15,21.22,773667
16-Sep-14,21.38,21.57,21.18,21.27,523330
15-Sep-14,21.68,21.68,21.27,21.38,351413
12-Sep-14,21.72,21.87,21.41,21.64,384693
11-Sep-14,21.50,21.88,21.31,21.70,439421
10-Sep-14,21.11,21.61,20.94,21.60,793928
9-Sep-14,21.71,21.71,21.32,21.34,511549
8-Sep-14,21.76,21.93,21.64,21.80,391419
5-Sep-14,21.56,21.86,21.44,21.84,278108
4-Sep-14,21.78,21.91,21.59,21.64,217739
3-Sep-14,22.05,22.20,21.70,21.74,343936
2-Sep-14,21.86,22.13,21.72,21.99,571560
29-Aug-14,21.59,21.76,21.46,21.75,259645
28-Aug-14,21.56,21.69,21.39,21.56,224315
27-Aug-14,21.83,21.85,21.62,21.63,252853
26-Aug-14,21.71,21.93,21.67,21.86,309969
25-Aug-14,21.65,21.75,21.50,21.73,354220
22-Aug-14,21.51,23.43,21.36,21.58,356213
21-Aug-14,21.30,21.66,21.14,21.59,254376
20-Aug-14,21.32,21.40,21.13,21.33,448611
19-Aug-14,21.30,21.47,21.20,21.40,234820
18-Aug-14,21.16,21.36,21.07,21.35,279355
15-Aug-14,21.40,21.40,20.72,20.94,479527
14-Aug-14,21.14,21.30,21.09,21.22,236311
13-Aug-14,21.01,21.17,20.93,21.13,242578
12-Aug-14,21.15,21.28,20.86,20.99,338889
11-Aug-14,21.22,21.36,21.02,21.20,296448
8-Aug-14,20.83,21.11,20.81,21.05,266412
7-Aug-14,21.10,21.29,20.73,20.84,346467
6-Aug-14,20.78,21.07,20.76,20.99,335205
5-Aug-14,20.83,20.93,20.70,20.82,606005
4-Aug-14,20.96,21.16,20.70,20.87,834434
1-Aug-14,20.93,21.11,20.63,20.69,699352
31-Jul-14,21.32,21.48,20.89,20.96,667147
30-Jul-14,21.44,21.70,21.43,21.52,324630
29-Jul-14,21.32,21.56,21.27,21.34,380939
28-Jul-14,21.38,21.55,21.05,21.31,626607
25-Jul-14,21.45,21.50,21.26,21.34,498368
24-Jul-14,21.31,21.95,21.26,21.61,588859
23-Jul-14,21.56,21.56,21.29,21.37,412816
22-Jul-14,21.56,21.73,21.44,21.51,438341
21-Jul-14,21.37,21.63,21.31,21.48,496766
18-Jul-14,21.02,21.57,21.01,21.48,722993
17-Jul-14,21.19,21.43,21.02,21.05,726389
16-Jul-14,21.78,21.78,21.30,21.34,731692
15-Jul-14,21.78,22.18,21.42,21.59,848214
14-Jul-14,21.75,21.95,21.62,21.70,433212
11-Jul-14,21.54,21.74,21.41,21.58,427204
10-Jul-14,21.50,21.76,21.36,21.63,432491
9-Jul-14,21.88,22.02,21.69,21.81,345437
8-Jul-14,22.09,22.20,21.76,21.84,501770
7-Jul-14,22.40,22.40,22.14,22.16,568921
3-Jul-14,22.31,22.53,22.29,22.42,581982
2-Jul-14,22.41,22.56,22.15,22.19,503564
1-Jul-14,22.41,22.77,22.36,22.51,941963
30-Jun-14,22.71,22.75,22.23,22.43,866825
27-Jun-14,22.53,22.81,22.36,22.70,11628490
26-Jun-14,22.68,22.72,22.46,22.67,588192
25-Jun-14,22.30,22.76,22.09,22.69,685399
24-Jun-14,22.58,23.01,22.34,22.36,747380
23-Jun-14,22.17,22.66,21.98,22.65,780845
20-Jun-14,22.48,22.74,22.14,22.16,4187850
19-Jun-14,22.43,22.49,22.16,22.38,700605
18-Jun-14,22.87,22.87,22.29,22.44,566769
17-Jun-14,22.71,23.15,22.34,22.83,1075888
16-Jun-14,22.82,23.03,22.61,22.77,605339
13-Jun-14,22.93,23.03,22.70,22.89,608814
12-Jun-14,22.70,22.93,22.45,22.89,630809
11-Jun-14,22.76,22.83,22.61,22.69,381060
10-Jun-14,22.67,22.88,22.64,22.85,361099
9-Jun-14,22.60,22.96,22.60,22.68,540408
6-Jun-14,22.38,22.72,22.28,22.56,443699
5-Jun-14,21.84,22.42,21.70,22.40,377173
4-Jun-14,21.86,21.98,21.67,21.79,484259
3-Jun-14,21.38,21.94,21.23,21.89,470784
2-Jun-14,20.82,21.56,20.75,21.52,501200
30-May-14,20.70,20.94,20.70,20.83,445896
29-May-14,20.96,20.98,20.71,20.75,194041
28-May-14,20.76,20.99,20.58,20.89,342179
27-May-14,20.85,21.10,20.64,20.82,189362
23-May-14,20.67,20.85,20.64,20.76,192821
22-May-14,20.39,20.68,20.38,20.63,128209
21-May-14,20.41,20.60,20.28,20.36,156325
20-May-14,20.68,20.68,20.22,20.33,248984
19-May-14,20.30,20.83,20.16,20.69,258875
16-May-14,20.50,20.50,20.13,20.37,319372
15-May-14,20.45,20.56,20.08,20.52,319689
14-May-14,20.97,20.97,20.51,20.53,285689
13-May-14,21.36,21.36,20.94,21.02,294016
12-May-14,21.15,21.40,20.95,21.34,320260
9-May-14,20.92,21.06,20.70,21.04,560155
8-May-14,20.68,21.15,20.68,20.99,699576
7-May-14,21.09,21.18,20.68,20.77,846551
6-May-14,21.48,21.52,21.08,21.10,185163
5-May-14,21.84,21.84,21.47,21.48,286842
2-May-14,21.71,22.08,21.71,21.91,249451
1-May-14,21.66,21.81,21.39,21.72,320049
30-Apr-14,21.48,21.60,21.25,21.58,394110
29-Apr-14,21.66,21.86,21.52,21.56,297388
28-Apr-14,21.75,21.81,21.48,21.60,511102
25-Apr-14,21.84,21.96,21.64,21.66,304564
24-Apr-14,22.25,22.35,21.90,21.95,358210
23-Apr-14,21.96,22.17,21.81,22.13,350560
22-Apr-14,21.94,22.09,21.77,21.96,318110
21-Apr-14,22.02,22.09,21.82,21.97,295380
17-Apr-14,21.85,22.16,21.70,21.98,383397
16-Apr-14,21.72,21.96,21.28,21.81,551989
15-Apr-14,22.39,22.53,21.62,21.78,603297
14-Apr-14,22.34,22.43,22.11,22.34,327978
11-Apr-14,22.15,22.42,21.79,22.15,343589
10-Apr-14,22.57,22.69,22.14,22.30,384192
9-Apr-14,22.58,22.59,22.24,22.57,348321
8-Apr-14,22.39,22.70,22.28,22.49,264718
7-Apr-14,22.59,22.59,22.14,22.38,412136
4-Apr-14,23.50,23.50,22.61,22.65,300501
3-Apr-14,23.42,23.56,23.15,23.33,364191
2-Apr-14,23.32,23.48,23.25,23.40,240032
1-Apr-14,23.28,23.43,22.99,23.37,304043
31-Mar-14,22.88,23.34,22.84,23.30,295484
28-Mar-14,22.83,23.18,22.71,22.84,206599
27-Mar-14,23.33,23.33,22.73,22.80,381320
26-Mar-14,23.85,23.93,23.17,23.21,332510
25-Mar-14,23.88,23.98,23.56,23.67,277619
24-Mar-14,24.11,24.25,23.57,23.75,202264
21-Mar-14,24.12,24.53,23.86,24.03,616960
20-Mar-14,23.53,24.09,23.37,24.07,305547
19-Mar-14,23.44,23.74,23.28,23.57,205375
18-Mar-14,23.18,23.64,23.00,23.52,276474
17-Mar-14,23.22,23.38,22.98,23.25,198753
14-Mar-14,23.07,23.30,22.91,23.12,216576
13-Mar-14,23.14,23.14,22.93,23.05,216365
12-Mar-14,22.98,23.14,22.78,23.06,280829
11-Mar-14,23.19,23.25,22.97,23.06,193155
10-Mar-14,23.43,23.43,23.01,23.16,230141
7-Mar-14,23.11,23.49,22.98,23.48,305430
6-Mar-14,22.73,22.99,22.69,22.98,166109
5-Mar-14,22.64,22.72,22.38,22.71,200044
4-Mar-14,22.32,22.71,22.14,22.58,298922
3-Mar-14,22.27,22.44,21.92,22.13,293499
28-Feb-14,22.08,22.65,21.98,22.42,324273
27-Feb-14,22.16,22.23,21.98,22.11,234512
26-Feb-14,21.78,22.23,21.71,22.12,303988
25-Feb-14,21.85,21.89,21.63,21.69,278878
24-Feb-14,21.81,22.07,21.62,21.84,272892
21-Feb-14,21.84,21.95,21.55,21.77,314800
20-Feb-14,21.59,21.90,21.38,21.76,548367
19-Feb-14,21.86,21.94,21.52,21.53,393438
18-Feb-14,22.27,22.27,21.93,21.96,205239
14-Feb-14,21.73,22.26,21.68,22.22,199974
