Date,Open,High,Low,Close,Volume
23-Oct-14,14.98,14.98,14.97,14.97,376
21-Oct-14,14.98,14.98,14.98,14.98,288
20-Oct-14,15.12,15.20,14.86,15.20,1603
17-Oct-14,14.90,15.20,14.90,15.20,25939
16-Oct-14,14.80,14.86,14.80,14.86,680
15-Oct-14,14.79,14.91,14.79,14.91,2352
14-Oct-14,14.91,14.91,14.90,14.91,5385
10-Oct-14,14.91,14.91,14.89,14.90,13544
9-Oct-14,14.90,14.91,14.89,14.91,3681
8-Oct-14,15.00,15.00,14.83,14.90,3504
7-Oct-14,14.95,15.12,14.92,15.00,23980
6-Oct-14,15.01,15.04,14.88,14.96,3506
3-Oct-14,15.05,15.05,14.98,14.98,1357
2-Oct-14,15.00,15.01,14.95,15.00,3606
1-Oct-14,15.01,15.02,14.87,14.97,7526
30-Sep-14,15.07,15.15,15.00,15.05,3015
29-Sep-14,15.10,15.10,15.10,15.10,1545
26-Sep-14,15.19,15.19,15.03,15.11,2645
25-Sep-14,15.20,15.20,15.00,15.00,1436
24-Sep-14,15.00,15.20,14.79,15.20,3308
23-Sep-14,14.91,15.20,14.91,14.93,9726
22-Sep-14,15.10,15.17,14.88,15.01,13123
19-Sep-14,14.89,15.20,14.85,15.20,12893
18-Sep-14,15.18,15.18,15.01,15.03,1924
17-Sep-14,15.02,15.16,15.02,15.13,2008
16-Sep-14,15.15,15.15,15.05,15.05,1153
15-Sep-14,15.19,15.19,15.02,15.09,6361
12-Sep-14,15.20,15.20,15.06,15.16,4723
11-Sep-14,15.07,15.19,15.06,15.19,3243
10-Sep-14,15.04,15.15,15.04,15.06,1867
9-Sep-14,15.05,15.07,15.04,15.06,6692
8-Sep-14,15.10,15.10,15.03,15.04,1213
5-Sep-14,15.10,15.19,15.10,15.19,1497
4-Sep-14,15.20,15.20,15.15,15.16,2960
3-Sep-14,15.16,15.17,15.15,15.15,717
2-Sep-14,15.23,15.23,15.23,15.23,182
29-Aug-14,15.15,15.15,15.15,15.15,4647
28-Aug-14,15.06,15.15,15.06,15.15,2854
27-Aug-14,15.13,15.13,15.05,15.05,6822
26-Aug-14,15.13,15.13,15.13,15.13,112
25-Aug-14,15.21,15.21,15.13,15.13,5217
22-Aug-14,15.11,15.12,15.11,15.12,1319
21-Aug-14,15.14,15.14,15.07,15.07,760
20-Aug-14,15.20,15.20,15.07,15.07,757
19-Aug-14,15.22,15.24,15.06,15.17,27540
18-Aug-14,15.20,15.20,15.07,15.07,3908
15-Aug-14,15.07,15.22,15.06,15.06,6769
14-Aug-14,15.07,15.07,15.05,15.05,1236
13-Aug-14,15.06,15.16,15.06,15.10,15899
12-Aug-14,15.05,15.21,15.05,15.21,2222
11-Aug-14,15.24,15.24,15.15,15.22,5847
8-Aug-14,15.22,15.24,15.17,15.21,4954
7-Aug-14,15.23,15.24,15.16,15.20,41295
6-Aug-14,15.15,15.20,15.08,15.20,5965
5-Aug-14,15.18,15.23,15.11,15.23,12821
4-Aug-14,15.23,15.23,15.05,15.11,5086
1-Aug-14,15.09,15.09,15.06,15.08,4370
31-Jul-14,15.19,15.19,15.09,15.09,4160
30-Jul-14,15.20,15.20,15.17,15.17,3188
29-Jul-14,15.15,15.19,15.05,15.07,54448
28-Jul-14,15.15,15.15,15.05,15.05,6165
25-Jul-14,15.10,15.19,15.10,15.10,2651
24-Jul-14,15.08,15.15,15.08,15.12,5843
23-Jul-14,15.08,15.18,15.06,15.07,941
22-Jul-14,15.15,15.15,15.04,15.05,10110
21-Jul-14,15.15,15.20,15.08,15.08,3549
18-Jul-14,15.00,15.18,14.92,15.15,13115
17-Jul-14,14.93,15.19,14.93,15.19,11556
16-Jul-14,14.91,15.10,14.76,15.08,10701
15-Jul-14,15.00,15.10,14.90,15.10,4251
14-Jul-14,15.10,15.10,15.10,15.10,1045
11-Jul-14,14.90,15.20,14.90,15.10,20200
10-Jul-14,14.92,15.07,14.91,14.91,700
9-Jul-14,14.95,15.10,14.95,15.04,28835
8-Jul-14,15.06,15.06,15.06,15.06,300
7-Jul-14,15.12,15.15,14.97,14.97,8724
2-Jul-14,15.17,15.20,15.12,15.12,16060
1-Jul-14,15.12,15.13,15.12,15.13,361
30-Jun-14,15.13,15.20,15.11,15.11,2899
27-Jun-14,15.16,15.20,15.10,15.20,9799
26-Jun-14,15.10,15.20,15.10,15.20,8995
25-Jun-14,14.98,15.23,14.96,15.08,13387
24-Jun-14,15.14,15.19,15.08,15.16,125977
23-Jun-14,14.95,15.14,14.95,15.08,24496
20-Jun-14,14.75,14.97,14.75,14.94,14866
19-Jun-14,14.73,14.89,14.72,14.75,2521
18-Jun-14,14.79,14.87,14.72,14.72,6069
17-Jun-14,14.90,14.90,14.70,14.70,3880
16-Jun-14,14.70,14.72,14.70,14.72,2703
13-Jun-14,14.78,14.79,14.70,14.72,5242
12-Jun-14,14.94,14.94,14.70,14.70,19451
11-Jun-14,14.75,14.76,14.70,14.73,29001
10-Jun-14,14.75,14.75,14.48,14.75,32241
9-Jun-14,14.32,14.53,14.30,14.53,44210
6-Jun-14,14.32,14.32,14.28,14.30,17976
5-Jun-14,14.31,14.33,14.30,14.33,9412
4-Jun-14,14.25,14.30,14.25,14.26,4301
3-Jun-14,14.32,14.33,14.23,14.30,13800
2-Jun-14,14.28,14.35,14.25,14.30,10127
30-May-14,14.25,14.29,14.22,14.28,391298
29-May-14,14.20,14.25,14.20,14.25,1317
28-May-14,14.23,14.27,14.23,14.27,647
27-May-14,14.20,14.28,14.18,14.27,7779
23-May-14,14.01,14.29,14.01,14.28,8109
22-May-14,14.20,14.20,14.01,14.16,9638
21-May-14,14.19,14.20,14.16,14.16,1320
20-May-14,14.29,14.29,14.19,14.19,1774
19-May-14,14.30,14.33,14.25,14.30,17563
16-May-14,14.30,14.31,14.30,14.30,10443
15-May-14,14.31,14.35,14.25,14.25,3673
14-May-14,14.35,14.35,14.30,14.30,2693
13-May-14,14.34,14.34,14.33,14.33,1397
12-May-14,14.19,14.38,14.19,14.38,17541
9-May-14,14.20,14.20,14.10,14.10,792
8-May-14,14.11,14.11,14.11,14.11,334
7-May-14,14.22,14.25,14.12,14.12,6242
6-May-14,14.25,14.25,14.25,14.25,229
5-May-14,14.03,14.28,14.03,14.26,2247
2-May-14,14.34,14.34,14.10,14.27,1379
1-May-14,14.25,14.25,14.05,14.05,17699
30-Apr-14,14.29,14.30,14.22,14.22,2007
29-Apr-14,14.27,14.27,14.22,14.22,2152
28-Apr-14,14.31,14.31,14.26,14.27,5116
25-Apr-14,14.30,14.39,14.30,14.35,5680
24-Apr-14,14.33,14.33,14.33,14.33,280
23-Apr-14,14.30,14.48,14.30,14.48,9494
22-Apr-14,14.30,14.32,14.26,14.31,4533
21-Apr-14,14.31,14.31,14.24,14.30,16278
17-Apr-14,14.30,14.40,14.30,14.39,3032
16-Apr-14,14.31,14.40,14.21,14.33,19002
15-Apr-14,14.27,14.30,14.21,14.30,928
14-Apr-14,14.23,14.41,14.21,14.21,8769
11-Apr-14,14.40,14.40,14.32,14.32,864
10-Apr-14,14.38,14.38,14.38,14.38,229
9-Apr-14,14.60,14.70,14.41,14.41,550
8-Apr-14,14.30,14.63,14.30,14.63,20691
7-Apr-14,14.31,14.37,14.31,14.37,595
4-Apr-14,14.37,14.37,14.32,14.32,4063
3-Apr-14,14.38,14.38,14.36,14.36,2500
2-Apr-14,14.50,14.50,14.50,14.50,174
1-Apr-14,14.40,14.57,14.40,14.57,30891
31-Mar-14,14.64,14.69,14.60,14.64,2230
28-Mar-14,14.72,14.75,14.51,14.51,13852
27-Mar-14,14.72,14.75,14.37,14.37,981
26-Mar-14,14.34,14.34,14.32,14.32,482
25-Mar-14,14.93,14.93,14.35,14.49,6406
24-Mar-14,14.73,14.95,14.73,14.95,5556
20-Mar-14,14.75,14.75,14.75,14.75,200
19-Mar-14,14.56,14.98,14.56,14.83,10099
18-Mar-14,14.47,14.77,14.44,14.77,10598
14-Mar-14,14.39,14.44,14.39,14.43,8233
13-Mar-14,14.30,14.31,14.30,14.31,735
12-Mar-14,14.35,14.38,14.31,14.31,6553
11-Mar-14,14.32,14.37,14.27,14.37,5669
10-Mar-14,14.30,14.30,14.30,14.30,1193
