Date,Open,High,Low,Close,Volume
23-Oct-14,38.70,39.42,38.28,38.71,329156
22-Oct-14,38.55,38.96,38.15,38.30,602672
21-Oct-14,38.41,39.06,38.02,38.34,430096
20-Oct-14,37.07,38.18,37.07,38.10,308497
17-Oct-14,38.08,38.69,37.09,37.25,589847
16-Oct-14,35.75,38.25,35.75,37.49,687669
15-Oct-14,35.21,36.43,34.48,36.40,693518
14-Oct-14,35.32,35.97,34.71,35.76,828056
13-Oct-14,35.76,36.47,34.90,34.94,439251
10-Oct-14,36.97,37.87,35.65,35.71,503399
9-Oct-14,38.02,38.50,36.80,37.16,834875
8-Oct-14,37.58,38.48,37.06,38.23,752393
7-Oct-14,36.43,38.87,36.40,37.84,1236344
6-Oct-14,37.10,37.28,36.53,36.61,748048
3-Oct-14,38.05,38.35,36.55,36.78,1957042
2-Oct-14,39.20,39.47,36.61,38.17,2776974
1-Oct-14,41.91,42.04,39.84,40.25,934775
30-Sep-14,41.82,42.74,41.27,41.81,1001078
29-Sep-14,42.28,42.48,41.64,41.83,593599
26-Sep-14,42.53,42.89,42.19,42.86,407346
25-Sep-14,43.25,43.47,41.93,42.48,434083
24-Sep-14,43.02,43.73,42.91,43.30,645243
23-Sep-14,43.59,43.93,42.53,42.91,916864
22-Sep-14,45.00,45.21,43.33,43.73,852548
19-Sep-14,46.12,46.12,45.02,45.22,709278
18-Sep-14,47.08,47.32,45.43,46.03,1196708
17-Sep-14,47.17,47.71,46.89,46.94,528763
16-Sep-14,46.60,47.51,46.28,47.38,322975
15-Sep-14,47.63,47.70,46.37,46.86,394611
12-Sep-14,48.32,48.49,47.19,47.50,413940
11-Sep-14,48.74,48.91,48.19,48.19,373033
10-Sep-14,47.26,49.32,47.26,49.21,797439
9-Sep-14,48.11,48.20,47.28,47.43,741267
8-Sep-14,47.93,48.02,47.62,47.96,249028
5-Sep-14,47.76,48.12,47.59,48.00,497007
4-Sep-14,48.25,48.33,47.55,47.81,392754
3-Sep-14,48.51,48.54,47.86,48.00,482982
2-Sep-14,48.42,48.78,48.02,48.36,457615
29-Aug-14,48.30,48.38,47.93,48.35,309866
28-Aug-14,48.10,48.23,47.80,48.03,290129
27-Aug-14,48.77,48.96,48.02,48.10,317639
26-Aug-14,49.00,49.30,48.68,48.88,264943
25-Aug-14,49.43,49.49,48.46,48.99,240949
22-Aug-14,48.43,49.46,48.15,48.95,374895
21-Aug-14,48.88,48.88,48.18,48.54,251424
20-Aug-14,49.66,49.70,48.74,48.85,298702
19-Aug-14,49.25,50.47,49.22,49.75,611531
18-Aug-14,47.90,49.35,47.87,49.26,938414
15-Aug-14,47.89,48.26,47.52,47.55,492386
14-Aug-14,47.75,47.87,47.50,47.53,350758
13-Aug-14,47.61,48.16,47.61,47.74,486817
12-Aug-14,47.75,48.12,47.30,47.59,562710
11-Aug-14,48.89,48.89,47.70,47.92,875395
8-Aug-14,48.10,48.89,48.10,48.37,566070
7-Aug-14,49.09,49.21,47.65,48.11,786437
6-Aug-14,47.64,49.82,46.77,49.03,1914580
5-Aug-14,48.47,48.94,47.38,47.95,1003828
4-Aug-14,49.02,49.21,47.85,48.75,574206
1-Aug-14,49.68,50.05,48.64,48.72,349666
31-Jul-14,49.46,50.53,49.46,49.83,430778
30-Jul-14,50.00,50.70,49.87,50.03,482272
29-Jul-14,49.36,49.87,49.02,49.78,297767
28-Jul-14,49.21,49.63,48.66,49.27,251318
25-Jul-14,49.38,49.88,48.96,49.21,272163
24-Jul-14,49.93,50.44,49.21,49.72,398145
23-Jul-14,50.24,50.24,49.47,50.04,240841
22-Jul-14,50.18,50.96,49.93,50.04,639957
21-Jul-14,49.24,50.08,48.97,49.94,392909
18-Jul-14,48.53,49.78,48.42,49.50,341373
17-Jul-14,49.92,50.45,48.40,48.57,666104
16-Jul-14,51.24,51.24,49.90,50.15,644133
15-Jul-14,51.62,51.94,49.80,50.69,528440
14-Jul-14,51.81,52.27,51.31,51.50,468891
11-Jul-14,51.21,51.77,50.93,51.33,442119
10-Jul-14,50.38,51.91,50.15,51.39,400209
9-Jul-14,50.44,51.99,50.15,51.74,567472
8-Jul-14,50.99,51.32,49.63,50.44,682993
7-Jul-14,51.58,52.03,50.55,50.89,656296
3-Jul-14,52.49,52.98,51.72,51.93,430642
2-Jul-14,51.22,53.30,51.22,52.06,1450113
1-Jul-14,48.58,49.93,48.56,49.85,979823
30-Jun-14,48.36,49.21,48.20,48.30,585021
27-Jun-14,48.81,49.00,48.19,48.54,1768743
26-Jun-14,49.65,49.65,48.50,49.13,278267
25-Jun-14,48.34,49.99,48.32,49.64,466802
24-Jun-14,49.15,49.50,48.41,48.61,355234
23-Jun-14,49.00,49.58,48.73,49.35,552812
20-Jun-14,48.85,49.00,47.35,48.92,1162368
19-Jun-14,49.11,49.11,47.72,48.43,529471
18-Jun-14,48.83,49.22,47.68,49.11,527601
17-Jun-14,46.41,49.35,46.41,48.81,1239327
16-Jun-14,46.13,46.96,45.83,46.78,471215
13-Jun-14,44.85,46.38,44.47,46.14,621986
12-Jun-14,44.90,45.26,43.91,44.65,416018
11-Jun-14,44.00,45.19,44.00,44.94,480523
10-Jun-14,43.65,44.51,43.65,44.35,346642
9-Jun-14,43.45,44.10,43.10,43.72,379820
6-Jun-14,43.78,44.19,43.23,43.56,276946
5-Jun-14,42.62,43.70,42.07,43.48,348952
4-Jun-14,42.00,42.72,41.63,42.45,233255
3-Jun-14,41.80,42.51,41.76,42.29,325231
2-Jun-14,42.92,42.92,41.85,41.90,250466
30-May-14,43.47,43.47,42.16,42.80,457119
29-May-14,43.69,43.98,43.40,43.57,237566
28-May-14,42.92,43.64,42.44,43.47,454518
27-May-14,41.55,43.09,41.08,43.05,422169
23-May-14,41.72,41.87,40.95,41.25,534981
22-May-14,41.54,42.28,41.50,41.71,707661
21-May-14,40.35,41.55,40.13,41.40,516149
20-May-14,40.77,40.95,40.04,40.19,285162
19-May-14,40.00,41.18,40.00,40.90,740406
16-May-14,40.28,40.43,39.71,40.18,337362
15-May-14,41.36,41.39,39.70,40.06,854184
14-May-14,42.07,42.24,41.48,41.49,434075
13-May-14,42.33,42.72,41.68,42.03,605809
12-May-14,41.39,42.95,41.10,42.43,393646
9-May-14,40.88,41.50,40.12,41.32,517847
8-May-14,42.00,42.63,40.92,41.02,360051
7-May-14,42.48,42.50,41.10,42.14,816018
6-May-14,42.88,42.92,42.06,42.42,762150
5-May-14,42.98,43.66,42.68,43.29,351775
2-May-14,43.27,43.53,42.83,43.14,568128
