Date,Open,High,Low,Close,Volume
23-Oct-14,27.66,27.66,26.72,27.18,12148
22-Oct-14,27.06,27.57,27.06,27.28,7233
21-Oct-14,27.96,27.96,26.80,27.26,11611
20-Oct-14,27.00,27.17,26.44,26.99,18272
17-Oct-14,28.08,28.08,26.57,27.00,14105
16-Oct-14,27.26,27.94,27.17,27.71,21585
15-Oct-14,27.15,27.98,26.68,27.71,17908
14-Oct-14,27.41,27.60,26.85,27.45,18577
13-Oct-14,26.48,27.48,26.48,27.27,19685
10-Oct-14,25.73,27.26,25.73,26.03,23804
9-Oct-14,26.37,26.37,25.80,25.87,12834
8-Oct-14,25.28,26.50,25.28,26.42,20890
7-Oct-14,26.48,26.58,25.66,25.66,9506
6-Oct-14,26.12,27.04,26.12,26.54,13239
3-Oct-14,26.43,26.86,26.07,26.15,14211
2-Oct-14,25.23,26.32,24.91,26.15,13523
1-Oct-14,25.17,25.70,24.78,24.98,19778
30-Sep-14,25.83,25.95,25.02,25.11,29707
29-Sep-14,25.70,26.19,25.55,25.71,9457
26-Sep-14,25.48,25.93,25.48,25.70,9595
25-Sep-14,25.68,25.82,25.34,25.46,11106
24-Sep-14,26.05,26.05,25.22,25.69,26743
23-Sep-14,25.75,26.21,25.46,25.69,31799
22-Sep-14,25.69,26.17,25.25,25.74,45826
19-Sep-14,27.02,27.23,25.72,25.72,109838
18-Sep-14,27.54,27.54,26.21,26.93,57212
17-Sep-14,28.00,28.00,27.16,27.33,6008
16-Sep-14,27.47,27.89,27.22,27.57,10847
15-Sep-14,27.50,27.92,27.35,27.44,17129
12-Sep-14,27.16,27.94,26.86,27.77,9922
11-Sep-14,27.87,27.87,26.78,27.25,16232
10-Sep-14,27.89,28.05,27.70,27.94,10467
9-Sep-14,27.48,28.07,27.06,27.82,15227
8-Sep-14,26.92,27.49,26.74,27.40,16293
5-Sep-14,26.97,27.13,26.44,27.04,4809
4-Sep-14,27.09,27.19,25.00,27.07,2942
3-Sep-14,27.14,27.27,26.90,26.90,5241
2-Sep-14,27.08,27.25,27.07,27.18,2999
29-Aug-14,26.80,27.10,26.80,26.97,9743
28-Aug-14,27.05,27.05,26.77,26.80,6587
27-Aug-14,27.09,27.09,26.83,26.92,6211
26-Aug-14,26.91,27.05,26.90,27.04,10365
25-Aug-14,27.04,27.05,26.64,26.96,14175
22-Aug-14,27.00,27.05,26.72,26.96,10294
21-Aug-14,27.00,27.02,26.79,26.88,9356
20-Aug-14,26.75,26.94,26.74,26.87,6267
19-Aug-14,26.77,26.90,26.63,26.87,7481
18-Aug-14,27.08,27.15,26.58,27.15,7537
15-Aug-14,27.25,27.25,26.33,26.79,18114
14-Aug-14,26.93,27.17,26.65,26.92,10459
13-Aug-14,26.68,26.98,26.68,26.80,2689
12-Aug-14,26.87,26.96,26.68,26.68,6527
11-Aug-14,27.05,27.07,26.62,26.90,15631
8-Aug-14,27.39,27.39,26.94,27.08,11838
7-Aug-14,27.26,27.45,27.12,27.41,9161
6-Aug-14,26.59,27.42,26.22,27.31,8685
5-Aug-14,25.72,26.70,25.70,26.63,10705
4-Aug-14,26.00,26.27,25.67,25.74,14479
1-Aug-14,26.12,26.89,25.84,26.00,24658
31-Jul-14,26.23,26.83,25.94,25.96,21454
30-Jul-14,26.34,26.83,26.20,26.60,11461
29-Jul-14,26.66,26.95,25.65,25.99,10860
28-Jul-14,25.83,27.03,25.76,26.49,7795
25-Jul-14,26.62,26.62,25.60,25.68,7403
24-Jul-14,27.16,27.39,26.70,26.70,10766
23-Jul-14,26.77,27.36,26.77,27.07,32835
22-Jul-14,26.71,27.08,26.70,26.73,6284
21-Jul-14,25.84,26.61,25.67,26.60,7568
18-Jul-14,25.10,26.25,25.04,26.12,19231
17-Jul-14,25.39,25.89,25.00,25.16,27892
16-Jul-14,25.50,25.59,25.18,25.46,9634
15-Jul-14,25.38,25.79,25.23,25.34,10529
14-Jul-14,25.90,26.12,25.17,25.27,14654
11-Jul-14,26.34,26.34,25.33,25.61,21378
10-Jul-14,27.14,27.14,26.28,26.39,13509
9-Jul-14,27.30,27.69,27.25,27.48,10470
8-Jul-14,27.41,27.48,27.11,27.25,10131
7-Jul-14,27.75,27.85,27.60,27.68,5241
3-Jul-14,27.64,28.01,27.59,28.01,4755
2-Jul-14,27.63,28.02,27.42,27.57,4790
1-Jul-14,27.60,27.97,27.20,27.57,12576
30-Jun-14,27.49,28.10,27.02,27.41,12491
27-Jun-14,27.17,28.24,27.17,28.00,36177
26-Jun-14,27.61,27.61,26.90,27.40,6079
25-Jun-14,27.40,27.90,27.26,27.72,4266
24-Jun-14,27.61,28.19,27.46,27.53,8892
23-Jun-14,27.63,27.63,27.41,27.52,3509
20-Jun-14,27.69,27.79,27.14,27.58,20984
19-Jun-14,27.35,27.80,26.31,27.49,5455
18-Jun-14,27.50,27.88,26.90,27.73,12776
17-Jun-14,26.72,27.48,26.65,27.47,13730
16-Jun-14,26.75,27.12,26.07,27.07,9173
13-Jun-14,27.30,27.60,26.57,26.80,11808
12-Jun-14,27.07,27.63,27.02,27.20,11617
11-Jun-14,27.15,27.52,27.01,27.20,9385
10-Jun-14,27.20,27.90,27.12,27.78,7060
9-Jun-14,27.23,27.65,27.23,27.53,6729
6-Jun-14,27.80,27.95,27.36,27.95,13221
5-Jun-14,26.71,27.84,26.66,27.79,14728
4-Jun-14,26.40,26.53,26.11,26.53,14619
3-Jun-14,26.29,27.08,26.29,26.65,12206
2-Jun-14,26.80,27.47,26.80,27.09,11797
