Date,Open,High,Low,Close,Volume
23-Oct-14,9.85,9.85,9.82,9.83,500
22-Oct-14,9.82,9.84,9.82,9.84,1210
21-Oct-14,9.81,9.83,9.76,9.83,701
20-Oct-14,9.75,9.81,9.66,9.81,1663
17-Oct-14,9.76,9.79,9.66,9.79,12562
16-Oct-14,9.79,9.79,9.17,9.70,119519
15-Oct-14,9.85,9.86,9.80,9.85,103793
14-Oct-14,9.91,9.98,9.85,9.85,4601
13-Oct-14,9.96,9.96,9.86,9.86,8461
10-Oct-14,9.90,9.90,9.87,9.90,4800
9-Oct-14,9.90,9.90,9.87,9.87,3900
8-Oct-14,9.93,9.93,9.87,9.90,17900
7-Oct-14,9.94,9.94,9.87,9.87,11750
6-Oct-14,10.00,10.00,9.86,9.87,98580
3-Oct-14,9.91,10.00,9.91,9.93,136480
2-Oct-14,9.90,9.90,9.87,9.87,35902
1-Oct-14,9.89,9.89,9.89,9.89,350
30-Sep-14,9.89,9.89,9.89,9.89,200
29-Sep-14,9.85,9.87,9.85,9.87,601
26-Sep-14,9.87,9.93,9.86,9.90,18851
24-Sep-14,9.88,9.88,9.86,9.87,7040
23-Sep-14,10.00,10.00,9.91,9.91,5300
22-Sep-14,9.90,9.92,9.90,9.92,1851
19-Sep-14,9.90,9.92,9.90,9.92,4804
18-Sep-14,9.99,9.99,9.85,9.95,20314
17-Sep-14,9.86,9.98,9.85,9.87,494201
16-Sep-14,9.88,9.89,9.86,9.86,4800
15-Sep-14,9.90,9.92,9.87,9.88,5600
12-Sep-14,9.90,9.92,9.89,9.90,7100
11-Sep-14,9.94,9.96,9.88,9.90,42526
10-Sep-14,9.94,9.94,9.89,9.89,2715926
9-Sep-14,9.97,9.97,9.88,9.90,112218
8-Sep-14,10.35,10.35,9.90,9.90,3741
5-Sep-14,9.94,9.94,9.86,9.86,20693
4-Sep-14,9.90,9.90,9.88,9.88,11946
3-Sep-14,9.94,9.94,9.87,9.90,6650
2-Sep-14,9.95,9.95,9.92,9.93,11344
29-Aug-14,9.95,9.95,9.89,9.94,49142
28-Aug-14,9.85,9.94,9.85,9.94,18010
27-Aug-14,9.89,10.01,9.84,9.84,14120
26-Aug-14,9.89,9.89,9.83,9.85,22780
25-Aug-14,11.65,11.65,9.80,9.90,1043316
22-Aug-14,9.81,9.91,9.80,9.85,14675
21-Aug-14,9.75,10.19,9.61,9.75,14750
20-Aug-14,9.70,9.70,9.60,9.65,3550
18-Aug-14,9.61,9.61,9.61,9.61,500
15-Aug-14,9.60,9.60,9.60,9.60,2350
14-Aug-14,9.60,9.65,9.60,9.60,2398
13-Aug-14,9.61,9.61,9.60,9.60,11811
12-Aug-14,9.65,9.66,9.60,9.60,7300
11-Aug-14,9.65,9.65,9.63,9.65,4800
7-Aug-14,9.65,9.65,9.65,9.65,8325
5-Aug-14,9.60,9.60,9.60,9.60,4500
