Date,Open,High,Low,Close,Volume
23-Oct-14,6.35,6.36,6.00,6.06,11925
22-Oct-14,7.25,7.40,6.15,6.26,38924
21-Oct-14,6.80,7.01,6.41,6.64,41200
20-Oct-14,6.08,6.70,6.08,6.60,4639
17-Oct-14,6.05,6.74,6.04,6.20,5871
16-Oct-14,6.06,6.06,6.01,6.04,4910
15-Oct-14,5.75,6.07,5.55,6.07,14366
14-Oct-14,6.09,6.10,6.01,6.04,10165
13-Oct-14,6.56,6.56,5.81,5.96,30359
10-Oct-14,6.97,7.30,6.56,6.57,11522
9-Oct-14,7.26,7.26,6.95,6.95,7340
8-Oct-14,6.98,6.98,6.98,6.98,100
7-Oct-14,7.37,7.37,7.00,7.00,2869
6-Oct-14,7.20,7.20,7.12,7.13,1995
3-Oct-14,7.15,7.21,7.12,7.12,3584
2-Oct-14,7.13,7.13,7.12,7.13,1452
1-Oct-14,7.25,7.25,7.13,7.13,5675
30-Sep-14,7.30,7.30,7.30,7.30,1004
29-Sep-14,7.42,7.42,7.42,7.42,202
26-Sep-14,7.42,7.42,7.08,7.08,313
25-Sep-14,7.33,7.33,7.04,7.04,475
24-Sep-14,7.28,7.28,7.21,7.28,550
23-Sep-14,7.16,7.16,7.16,7.16,257
22-Sep-14,7.22,7.30,7.20,7.21,7300
19-Sep-14,7.29,7.43,7.29,7.41,2887
18-Sep-14,7.20,7.20,7.20,7.20,445
17-Sep-14,7.23,7.23,7.20,7.20,1750
16-Sep-14,7.29,7.45,7.23,7.23,21556
15-Sep-14,7.23,7.25,7.23,7.25,743
12-Sep-14,7.15,7.36,7.15,7.23,3218
11-Sep-14,7.35,7.35,7.10,7.27,12810
10-Sep-14,7.27,7.42,7.25,7.27,10552
9-Sep-14,7.15,7.25,7.03,7.25,1896
8-Sep-14,7.13,7.25,7.04,7.04,2655
5-Sep-14,7.11,7.27,7.01,7.01,10026
4-Sep-14,7.35,7.45,6.97,6.99,23978
3-Sep-14,7.58,7.65,7.42,7.45,2723
2-Sep-14,7.53,7.61,7.39,7.40,3019
29-Aug-14,7.59,7.71,7.58,7.60,1500
27-Aug-14,7.55,7.80,7.55,7.60,1181
26-Aug-14,7.75,7.75,7.55,7.58,1432
25-Aug-14,7.54,7.88,7.54,7.80,1866
22-Aug-14,7.45,7.47,7.40,7.46,4558
21-Aug-14,7.76,7.79,7.43,7.45,21902
20-Aug-14,7.89,7.89,7.73,7.87,2245
19-Aug-14,7.88,7.88,7.80,7.83,8753
18-Aug-14,7.97,7.97,7.88,7.90,8715
15-Aug-14,7.79,7.95,7.79,7.94,1755
14-Aug-14,7.80,7.96,7.64,7.78,12943
13-Aug-14,7.63,7.97,7.60,7.85,37098
12-Aug-14,7.59,7.94,7.59,7.71,3451
11-Aug-14,7.62,7.85,7.48,7.82,18087
8-Aug-14,7.74,7.80,7.40,7.46,34204
7-Aug-14,7.57,7.67,7.40,7.48,4470
6-Aug-14,7.80,7.80,7.44,7.50,1533
5-Aug-14,7.50,7.88,7.42,7.46,6961
4-Aug-14,7.35,7.78,7.20,7.48,11106
1-Aug-14,7.80,7.80,7.25,7.25,11677
31-Jul-14,7.72,7.96,7.28,7.75,3016
30-Jul-14,7.52,7.85,7.43,7.72,2640
29-Jul-14,7.40,7.55,7.23,7.52,13806
28-Jul-14,7.87,7.87,7.45,7.45,19817
25-Jul-14,8.00,8.00,7.92,7.98,501
24-Jul-14,7.95,8.00,7.91,8.00,9102
23-Jul-14,7.91,8.00,7.86,7.91,8107
22-Jul-14,7.97,8.00,7.88,7.99,19981
21-Jul-14,8.15,8.19,7.79,7.89,17247
18-Jul-14,7.96,8.25,7.95,8.06,11343
17-Jul-14,8.21,8.25,7.78,7.95,3239
16-Jul-14,8.12,8.22,7.83,8.22,3653
15-Jul-14,8.33,8.35,7.74,8.12,28777
14-Jul-14,8.26,8.35,8.25,8.30,3179
11-Jul-14,8.23,8.40,8.23,8.26,667
10-Jul-14,8.38,8.44,8.29,8.36,1889
9-Jul-14,8.67,8.67,8.38,8.45,4898
8-Jul-14,8.48,8.71,8.29,8.61,12901
7-Jul-14,8.78,8.78,8.45,8.77,13738
3-Jul-14,8.41,8.74,8.03,8.68,12538
2-Jul-14,8.36,8.50,8.22,8.25,1905
1-Jul-14,8.49,8.50,8.32,8.44,4060
30-Jun-14,8.46,8.60,8.36,8.36,10928
27-Jun-14,8.35,8.51,8.29,8.29,7894
26-Jun-14,8.31,8.39,8.10,8.34,1217
25-Jun-14,8.55,8.55,8.25,8.50,8925
24-Jun-14,8.76,8.78,8.50,8.50,4756
23-Jun-14,8.88,8.88,8.55,8.69,7125
20-Jun-14,8.31,9.00,7.25,8.85,118552
19-Jun-14,8.95,8.95,8.70,8.91,2900
18-Jun-14,8.73,8.75,8.56,8.73,7070
17-Jun-14,8.99,8.99,8.50,8.75,5798
16-Jun-14,8.38,8.99,8.38,8.99,7804
13-Jun-14,7.21,8.99,7.13,8.52,9628
12-Jun-14,8.70,8.99,8.54,8.70,11543
11-Jun-14,8.72,9.00,8.41,8.62,17087
10-Jun-14,9.15,9.15,8.80,8.80,18871
9-Jun-14,9.03,9.25,9.03,9.17,14806
6-Jun-14,9.16,9.25,9.03,9.04,16789
5-Jun-14,8.80,9.23,8.78,9.09,46108
4-Jun-14,8.61,8.85,8.55,8.84,14403
3-Jun-14,8.62,8.62,8.36,8.55,6250
2-Jun-14,7.89,8.71,7.89,8.62,27873
30-May-14,7.77,8.04,7.77,7.94,9029
29-May-14,7.75,7.93,7.65,7.85,5103
28-May-14,7.75,7.75,7.65,7.75,696
27-May-14,8.04,8.04,7.94,8.00,3171
23-May-14,7.85,8.00,7.80,8.00,14470
22-May-14,7.90,7.95,7.73,7.78,7298
21-May-14,7.79,8.04,7.73,7.73,8848
20-May-14,7.71,7.72,7.70,7.72,2678
19-May-14,7.60,7.72,7.52,7.55,7508
16-May-14,7.78,7.78,7.51,7.57,4052
15-May-14,7.64,7.90,7.62,7.72,14343
14-May-14,7.49,7.77,7.49,7.68,4456
13-May-14,7.53,7.78,7.15,7.70,10024
12-May-14,7.18,7.64,7.18,7.51,2551
9-May-14,7.32,7.47,7.15,7.24,6706
8-May-14,7.44,7.44,7.30,7.30,3627
7-May-14,7.56,7.56,7.20,7.42,1958
6-May-14,7.55,7.55,7.16,7.46,2090
5-May-14,7.48,7.51,7.23,7.41,5836
2-May-14,7.10,7.50,7.10,7.44,4480
1-May-14,7.23,7.23,7.07,7.07,1145
30-Apr-14,6.98,7.24,6.85,7.24,7649
29-Apr-14,6.95,6.95,6.95,6.95,561
28-Apr-14,7.07,7.07,6.94,6.94,661
25-Apr-14,7.20,7.27,7.11,7.24,609
24-Apr-14,7.13,7.35,7.00,7.20,7476
23-Apr-14,6.90,7.30,6.90,7.13,9551
22-Apr-14,6.90,7.09,6.90,6.90,4141
21-Apr-14,7.10,7.10,6.84,6.89,7574
17-Apr-14,6.93,7.11,6.93,7.05,521
16-Apr-14,6.96,6.99,6.81,6.98,9237
15-Apr-14,7.15,7.15,6.94,6.94,7723
14-Apr-14,7.03,7.37,7.03,7.06,5450
11-Apr-14,7.49,7.49,7.00,7.09,9631
10-Apr-14,7.38,7.38,7.20,7.22,1329
9-Apr-14,7.19,7.50,7.11,7.36,9814
8-Apr-14,7.00,7.37,7.00,7.37,985
7-Apr-14,7.34,7.34,7.01,7.04,3541
4-Apr-14,7.64,7.76,7.27,7.27,14374
3-Apr-14,7.66,7.66,7.31,7.64,9505
2-Apr-14,7.21,7.50,7.21,7.46,4654
1-Apr-14,7.48,7.50,7.33,7.35,7654
31-Mar-14,7.33,7.51,7.11,7.38,5873
28-Mar-14,7.89,7.90,7.22,7.27,16183
27-Mar-14,8.00,8.00,7.75,7.75,9799
26-Mar-14,8.10,8.10,7.82,8.00,40449
25-Mar-14,7.95,8.15,7.64,7.95,80518
24-Mar-14,7.40,7.65,7.26,7.50,16729
21-Mar-14,7.35,7.40,6.80,7.38,14577
20-Mar-14,6.84,7.74,6.84,7.33,34071
19-Mar-14,6.73,6.84,6.67,6.84,1646
18-Mar-14,6.85,6.85,6.70,6.84,9459
17-Mar-14,6.85,6.90,6.80,6.82,10831
14-Mar-14,6.48,6.85,6.48,6.85,25717
13-Mar-14,6.50,6.51,6.40,6.50,9700
12-Mar-14,6.46,6.61,6.46,6.50,5207
11-Mar-14,6.62,6.62,6.55,6.60,10326
10-Mar-14,6.60,6.62,6.60,6.61,2819
7-Mar-14,6.58,6.68,6.56,6.56,1250
6-Mar-14,6.55,6.68,6.54,6.54,1775
5-Mar-14,6.51,6.51,6.51,6.51,600
4-Mar-14,6.43,6.50,6.43,6.50,7235
3-Mar-14,6.44,6.50,6.44,6.46,2801
28-Feb-14,6.57,6.60,6.44,6.44,2391
27-Feb-14,6.52,6.55,6.52,6.55,2266
26-Feb-14,6.51,6.51,6.40,6.47,16123
25-Feb-14,6.52,6.58,6.46,6.56,3407
24-Feb-14,6.53,6.60,6.53,6.59,3223
21-Feb-14,6.51,6.53,6.42,6.53,1670
20-Feb-14,6.50,6.53,6.50,6.53,5696
19-Feb-14,6.50,6.50,6.40,6.41,2559
18-Feb-14,6.50,6.50,6.40,6.50,12994
14-Feb-14,6.48,6.55,6.48,6.50,17420
13-Feb-14,6.44,6.50,6.44,6.50,1800
12-Feb-14,6.40,6.50,6.40,6.50,2755
11-Feb-14,6.50,6.50,6.41,6.41,345
10-Feb-14,6.50,6.51,6.49,6.50,10011
7-Feb-14,6.41,6.50,6.41,6.49,1622
6-Feb-14,6.50,6.50,6.40,6.40,5272
5-Feb-14,6.50,6.60,6.40,6.49,2000
4-Feb-14,6.41,6.50,6.41,6.50,5167
3-Feb-14,6.36,6.48,6.35,6.44,9478
31-Jan-14,6.50,6.50,6.48,6.49,10599
30-Jan-14,6.48,6.50,6.48,6.50,5640
29-Jan-14,6.36,6.36,6.36,6.36,1000
28-Jan-14,6.49,6.49,6.42,6.42,529
27-Jan-14,6.54,6.54,6.40,6.45,4926
24-Jan-14,6.59,6.59,6.50,6.50,3975
23-Jan-14,6.31,6.57,6.31,6.55,36217
22-Jan-14,6.28,6.31,6.27,6.31,21222
21-Jan-14,6.15,6.26,6.15,6.25,7308
17-Jan-14,6.28,6.28,6.25,6.27,7308
16-Jan-14,6.25,6.26,6.25,6.26,5981
15-Jan-14,6.24,6.25,6.19,6.25,4459
14-Jan-14,6.25,6.26,6.25,6.25,601
13-Jan-14,6.23,6.28,6.23,6.28,6599
10-Jan-14,6.25,6.30,6.22,6.22,2559
9-Jan-14,6.25,6.29,6.25,6.29,6004
8-Jan-14,6.30,6.30,6.24,6.29,2600
7-Jan-14,6.29,6.30,6.15,6.30,13841
6-Jan-14,6.10,6.10,6.05,6.10,3471
3-Jan-14,6.15,6.15,6.10,6.15,3883
2-Jan-14,6.05,6.13,6.05,6.10,3128
31-Dec-13,6.15,6.15,5.96,6.07,3947
30-Dec-13,6.15,6.15,5.90,6.15,308
27-Dec-13,5.95,6.16,5.95,6.16,20606
26-Dec-13,6.16,6.16,5.61,5.95,14675
24-Dec-13,6.10,6.12,6.10,6.12,464
23-Dec-13,6.09,6.18,6.05,6.05,5206
20-Dec-13,6.25,6.25,5.96,5.96,5851
19-Dec-13,6.32,6.32,6.24,6.24,5474
18-Dec-13,5.85,6.44,5.81,6.11,72592
17-Dec-13,5.85,5.99,5.85,5.99,2488
16-Dec-13,6.00,6.00,5.86,5.96,7362
13-Dec-13,5.95,6.00,5.78,5.85,7070
12-Dec-13,5.91,5.91,5.91,5.91,500
11-Dec-13,6.00,6.00,6.00,6.00,200
10-Dec-13,5.99,5.99,5.90,5.96,2375
9-Dec-13,5.99,5.99,5.99,5.99,400
6-Dec-13,5.96,5.96,5.96,5.96,100
5-Dec-13,5.97,5.98,5.90,5.94,1720
4-Dec-13,5.99,6.00,5.90,5.92,4304
3-Dec-13,5.99,5.99,5.99,5.99,500
2-Dec-13,5.99,5.99,5.90,5.99,6924
29-Nov-13,5.95,5.95,5.95,5.95,200
27-Nov-13,5.94,6.00,5.91,5.94,1308
26-Nov-13,5.99,6.00,5.99,5.99,1800
25-Nov-13,6.00,6.00,6.00,6.00,3083
22-Nov-13,6.00,6.00,5.90,5.99,800
21-Nov-13,5.99,5.99,5.99,5.99,1243
20-Nov-13,5.93,5.99,5.92,5.99,4100
19-Nov-13,5.80,5.98,5.80,5.93,10701
18-Nov-13,5.77,5.86,5.72,5.79,4578
15-Nov-13,5.93,5.93,5.77,5.86,1726
14-Nov-13,5.89,5.91,5.77,5.89,8164
13-Nov-13,5.85,5.85,5.73,5.77,1545
12-Nov-13,5.88,5.88,5.73,5.80,12049
11-Nov-13,5.90,5.90,5.87,5.88,3300
8-Nov-13,5.86,5.95,5.86,5.90,5427
7-Nov-13,5.95,5.99,5.94,5.99,6410
6-Nov-13,5.93,5.95,5.90,5.95,7696
5-Nov-13,5.95,5.99,5.95,5.97,5899
4-Nov-13,5.97,5.99,5.90,5.93,5243
1-Nov-13,5.90,6.03,5.90,6.02,1572
31-Oct-13,6.00,6.00,5.91,5.97,1784
30-Oct-13,6.00,6.00,5.94,6.00,9108
29-Oct-13,6.02,6.05,5.90,6.03,3355
28-Oct-13,5.93,6.08,5.93,6.08,1900
25-Oct-13,5.96,6.04,5.90,6.01,3020
24-Oct-13,6.03,6.09,6.03,6.06,12149
23-Oct-13,6.03,6.12,6.00,6.05,3320
22-Oct-13,6.01,6.15,6.01,6.05,2604
21-Oct-13,6.02,6.05,6.01,6.05,6100
18-Oct-13,6.07,6.07,6.04,6.06,4900
17-Oct-13,5.85,6.14,5.85,6.11,13776
16-Oct-13,6.44,6.44,6.00,6.06,40933
15-Oct-13,6.31,6.45,6.31,6.45,2450
14-Oct-13,6.44,6.50,6.35,6.35,3400
11-Oct-13,6.41,6.50,6.28,6.40,7211
10-Oct-13,6.47,6.48,6.22,6.44,1300
9-Oct-13,6.50,6.50,6.18,6.49,4100
8-Oct-13,6.50,6.50,6.50,6.50,2101
7-Oct-13,6.24,6.49,6.24,6.45,4720
4-Oct-13,5.82,6.57,5.32,6.49,19875
3-Oct-13,6.51,6.55,6.45,6.51,6827
2-Oct-13,6.56,6.56,6.50,6.53,7967
1-Oct-13,6.48,6.53,6.47,6.47,4249
30-Sep-13,6.51,6.58,6.44,6.47,5600
27-Sep-13,6.51,6.54,6.34,6.42,2110
26-Sep-13,6.47,6.47,6.45,6.45,400
25-Sep-13,6.58,6.58,6.51,6.51,2210
24-Sep-13,6.50,6.51,6.48,6.50,1633
23-Sep-13,6.58,6.58,6.50,6.50,1800
20-Sep-13,6.67,6.67,6.67,6.67,343
19-Sep-13,6.67,6.67,6.60,6.60,300
18-Sep-13,6.50,6.58,6.50,6.53,8246
17-Sep-13,6.59,6.59,6.54,6.59,4555
16-Sep-13,6.52,6.68,6.50,6.52,3900
13-Sep-13,6.63,6.68,6.50,6.60,8800
12-Sep-13,6.63,6.68,6.50,6.63,6204
11-Sep-13,6.68,6.68,6.52,6.58,2050
10-Sep-13,6.51,6.69,6.50,6.69,11298
9-Sep-13,6.43,6.50,6.41,6.45,4100
6-Sep-13,6.33,6.51,6.33,6.51,7450
5-Sep-13,6.63,6.63,6.32,6.43,9730
4-Sep-13,6.39,6.64,6.39,6.64,7998
3-Sep-13,6.69,6.69,6.40,6.42,1532
30-Aug-13,6.69,6.69,6.40,6.66,5750
29-Aug-13,6.43,6.80,6.40,6.69,11985
28-Aug-13,6.18,6.38,6.18,6.38,6415
27-Aug-13,6.18,6.18,6.16,6.16,1189
26-Aug-13,6.16,6.25,6.16,6.24,8911
23-Aug-13,6.16,6.25,6.10,6.20,5196
22-Aug-13,6.16,6.16,6.16,6.16,199
20-Aug-13,6.15,6.21,6.11,6.16,7453
19-Aug-13,6.10,6.12,6.10,6.12,600
16-Aug-13,6.00,6.12,6.00,6.12,15796
15-Aug-13,6.01,6.01,6.01,6.01,400
14-Aug-13,6.05,6.07,6.05,6.07,1500
13-Aug-13,6.00,6.07,5.99,6.06,3200
12-Aug-13,5.96,6.05,5.96,5.96,2180
9-Aug-13,5.96,6.00,5.95,5.95,8850
8-Aug-13,6.10,6.13,5.95,5.98,6699
7-Aug-13,6.00,6.10,6.00,6.06,1960
6-Aug-13,5.95,6.00,5.95,6.00,725
5-Aug-13,5.89,6.00,5.83,6.00,11545
2-Aug-13,5.85,5.86,5.81,5.81,4669
1-Aug-13,5.80,5.85,5.80,5.85,3091
31-Jul-13,5.73,5.88,5.73,5.80,300
30-Jul-13,5.76,5.86,5.75,5.85,8426
29-Jul-13,5.88,5.88,5.69,5.77,4860
26-Jul-13,5.80,5.85,5.80,5.84,6826
25-Jul-13,5.79,5.81,5.79,5.80,2243
24-Jul-13,5.75,5.81,5.65,5.79,7066
23-Jul-13,5.66,5.66,5.66,5.66,1500
22-Jul-13,5.56,5.76,5.55,5.65,4417
18-Jul-13,5.79,5.79,5.79,5.79,100
17-Jul-13,5.51,5.84,5.51,5.57,3349
16-Jul-13,5.75,5.83,5.66,5.83,6574
15-Jul-13,5.81,5.84,5.52,5.65,7625
12-Jul-13,5.84,5.84,5.71,5.83,7070
11-Jul-13,5.57,5.83,5.48,5.82,11882
10-Jul-13,5.31,5.56,5.31,5.55,7341
9-Jul-13,5.39,5.39,5.39,5.39,1152
8-Jul-13,5.42,5.49,5.33,5.43,9565
5-Jul-13,5.44,5.44,5.32,5.32,2215
3-Jul-13,5.47,5.47,5.42,5.42,2800
2-Jul-13,5.35,5.43,5.25,5.25,4303
1-Jul-13,5.28,5.28,5.21,5.21,600
28-Jun-13,5.45,5.47,5.20,5.26,2400
27-Jun-13,5.23,5.23,5.21,5.21,1313
26-Jun-13,5.34,5.42,5.12,5.22,6074
25-Jun-13,5.24,5.25,5.24,5.25,1200
21-Jun-13,5.07,5.23,5.01,5.19,4339
20-Jun-13,5.20,5.50,5.00,5.17,17937
19-Jun-13,5.46,5.46,5.11,5.16,42882
18-Jun-13,5.50,5.56,5.43,5.56,2068
17-Jun-13,5.30,5.57,5.30,5.42,4602
14-Jun-13,5.34,5.34,5.31,5.31,600
13-Jun-13,5.44,5.56,5.44,5.52,5200
12-Jun-13,5.49,5.55,5.43,5.43,5030
11-Jun-13,5.40,5.50,5.40,5.49,3650
10-Jun-13,5.47,5.47,5.34,5.34,2100
7-Jun-13,5.48,5.59,5.45,5.46,2912
6-Jun-13,5.41,5.56,5.30,5.43,1000
5-Jun-13,5.43,5.47,5.33,5.47,4801
4-Jun-13,5.47,5.54,5.43,5.48,4202
