Date,Open,High,Low,Close,Volume
23-Oct-14,15.34,15.58,14.65,15.48,24864
22-Oct-14,15.66,15.69,15.21,15.26,12334
21-Oct-14,15.39,15.70,15.16,15.58,12553
20-Oct-14,15.08,15.48,14.66,15.34,13374
17-Oct-14,15.59,15.59,15.20,15.20,20842
16-Oct-14,15.04,15.61,15.01,15.35,21864
15-Oct-14,15.17,15.30,14.56,15.28,30401
14-Oct-14,14.70,15.25,14.48,15.25,33418
13-Oct-14,14.45,14.70,14.33,14.64,25381
10-Oct-14,14.13,14.72,14.13,14.45,20408
9-Oct-14,14.65,14.70,14.20,14.22,18887
8-Oct-14,14.21,14.79,14.20,14.65,20875
7-Oct-14,14.22,14.47,14.20,14.21,15458
6-Oct-14,14.56,14.69,14.22,14.25,17800
3-Oct-14,14.60,14.69,14.16,14.54,15435
2-Oct-14,14.60,14.60,14.17,14.40,16551
1-Oct-14,14.11,14.31,14.00,14.04,35990
30-Sep-14,14.70,14.84,14.01,14.13,39647
29-Sep-14,14.33,14.75,14.33,14.70,29645
26-Sep-14,14.39,14.66,14.38,14.56,10368
25-Sep-14,14.54,14.72,14.25,14.37,26278
24-Sep-14,14.69,14.80,14.50,14.57,17279
23-Sep-14,14.70,14.88,14.53,14.54,17622
22-Sep-14,14.64,14.93,14.64,14.70,18382
19-Sep-14,14.99,14.99,14.55,14.77,45030
18-Sep-14,14.93,15.02,14.74,14.93,13644
17-Sep-14,14.94,15.01,14.73,14.82,7260
16-Sep-14,14.97,15.02,14.82,14.89,12966
15-Sep-14,15.07,15.13,14.95,14.96,14280
12-Sep-14,15.30,15.30,15.02,15.04,28695
11-Sep-14,15.03,15.31,15.03,15.31,22305
10-Sep-14,15.27,15.27,15.03,15.16,11574
9-Sep-14,15.21,15.25,14.95,14.97,13488
8-Sep-14,15.19,15.29,15.03,15.29,18784
5-Sep-14,15.00,15.39,15.00,15.16,16744
4-Sep-14,15.13,15.21,15.00,15.07,14491
3-Sep-14,15.07,15.23,14.95,14.99,16629
2-Sep-14,15.10,15.22,14.88,15.22,10221
29-Aug-14,14.92,15.10,14.92,15.05,12930
28-Aug-14,14.99,15.10,14.91,14.92,17491
27-Aug-14,15.00,15.08,14.87,15.03,11193
26-Aug-14,14.94,15.09,14.76,15.04,30732
25-Aug-14,14.90,15.08,14.82,14.97,9737
22-Aug-14,14.94,15.02,14.75,14.83,15274
21-Aug-14,14.82,15.20,14.70,14.92,18405
20-Aug-14,15.14,15.20,14.82,14.89,10466
19-Aug-14,14.86,15.22,14.86,15.16,15328
18-Aug-14,14.84,14.99,14.71,14.94,20372
15-Aug-14,15.00,15.00,14.60,14.65,33363
14-Aug-14,14.87,15.00,14.87,14.88,5853
13-Aug-14,14.78,15.00,14.71,14.90,19549
12-Aug-14,14.69,14.88,14.61,14.74,12292
11-Aug-14,14.64,14.89,14.38,14.81,12365
8-Aug-14,14.46,14.71,14.36,14.56,10267
7-Aug-14,14.57,14.71,14.38,14.49,8427
6-Aug-14,14.34,14.79,14.34,14.59,15165
5-Aug-14,14.57,14.79,14.20,14.38,27090
4-Aug-14,14.58,14.69,14.36,14.60,26242
1-Aug-14,14.63,14.76,14.55,14.57,24436
31-Jul-14,14.56,14.88,14.37,14.56,27955
30-Jul-14,14.71,14.98,14.71,14.74,13813
29-Jul-14,14.73,14.85,14.64,14.66,14170
28-Jul-14,14.66,15.00,14.55,14.62,31239
25-Jul-14,14.15,14.83,14.15,14.57,34948
24-Jul-14,14.46,14.52,14.17,14.22,21527
23-Jul-14,14.19,14.42,14.19,14.37,9507
22-Jul-14,14.23,14.50,14.13,14.17,13943
21-Jul-14,14.40,14.46,14.11,14.21,13149
18-Jul-14,14.13,14.67,14.05,14.51,33664
17-Jul-14,14.55,14.63,14.10,14.19,34787
16-Jul-14,14.97,15.04,14.57,14.61,16530
15-Jul-14,15.12,15.24,14.80,14.82,22423
14-Jul-14,15.04,15.24,14.84,15.07,23878
11-Jul-14,14.73,14.91,14.64,14.83,14434
10-Jul-14,14.88,14.96,14.73,14.75,17352
9-Jul-14,15.25,15.38,15.13,15.16,11670
8-Jul-14,15.40,15.40,15.01,15.19,23129
7-Jul-14,15.49,15.58,15.30,15.36,14496
3-Jul-14,15.38,15.59,15.38,15.54,11566
2-Jul-14,15.51,15.59,15.26,15.38,19030
1-Jul-14,15.33,15.68,15.33,15.45,36754
30-Jun-14,15.48,15.58,15.13,15.23,33067
27-Jun-14,15.74,16.00,15.35,15.47,142091
26-Jun-14,15.72,15.97,15.53,15.90,20842
25-Jun-14,15.47,15.99,15.43,15.78,24787
24-Jun-14,15.55,16.45,15.47,15.62,38453
23-Jun-14,15.75,15.75,15.40,15.65,27384
20-Jun-14,15.40,15.82,15.33,15.81,115616
19-Jun-14,15.35,15.35,15.09,15.27,10057
18-Jun-14,15.40,15.40,15.00,15.35,15324
17-Jun-14,15.38,15.40,15.13,15.36,22266
16-Jun-14,14.77,15.35,14.75,15.33,23609
13-Jun-14,14.95,15.10,14.75,14.83,9829
12-Jun-14,14.98,15.04,14.80,14.84,10544
11-Jun-14,15.24,15.24,14.90,15.06,14926
10-Jun-14,15.29,15.29,14.87,15.27,6739
9-Jun-14,15.15,15.45,14.87,15.26,17385
6-Jun-14,14.75,15.12,14.75,15.12,21353
5-Jun-14,14.12,14.75,14.12,14.74,21620
4-Jun-14,14.29,14.47,14.19,14.20,14188
3-Jun-14,14.10,14.50,14.10,14.35,23734
2-Jun-14,14.50,14.50,14.06,14.19,26193
30-May-14,14.36,14.49,14.22,14.41,22105
29-May-14,14.50,14.50,14.22,14.29,9819
28-May-14,14.30,14.50,14.26,14.44,21656
27-May-14,14.15,14.40,14.15,14.37,32160
23-May-14,13.95,14.10,13.93,14.06,19225
22-May-14,13.81,13.98,13.73,13.89,15123
21-May-14,13.96,14.11,13.67,13.82,16932
20-May-14,14.18,14.28,13.59,13.82,40538
19-May-14,13.89,14.43,13.77,14.29,17892
16-May-14,13.72,13.92,13.60,13.90,22090
15-May-14,13.82,14.14,13.54,13.75,29653
14-May-14,14.40,14.40,13.73,13.81,31604
13-May-14,14.80,14.90,14.45,14.48,32709
12-May-14,14.39,15.00,14.39,14.88,40435
9-May-14,13.77,14.40,13.77,14.36,12327
8-May-14,13.95,14.21,13.78,13.88,25559
7-May-14,13.70,13.97,13.53,13.91,21617
6-May-14,14.05,14.35,13.60,13.63,38334
5-May-14,14.16,14.51,13.94,14.06,22072
2-May-14,14.32,14.61,14.28,14.34,26273
1-May-14,14.50,14.58,14.20,14.31,37076
30-Apr-14,14.60,14.93,14.50,14.51,29148
29-Apr-14,14.99,15.00,14.60,14.60,15254
28-Apr-14,14.95,15.00,14.75,14.86,16081
25-Apr-14,14.80,15.08,14.75,14.85,53125
24-Apr-14,14.90,15.12,14.68,14.93,22822
23-Apr-14,14.95,15.18,14.81,14.88,28577
22-Apr-14,14.71,15.12,14.70,15.07,26752
21-Apr-14,14.76,14.89,14.55,14.80,9109
17-Apr-14,14.34,14.70,14.34,14.58,15459
16-Apr-14,14.65,14.65,14.33,14.43,13056
15-Apr-14,14.56,14.69,14.25,14.58,14499
14-Apr-14,14.49,14.73,14.26,14.46,16713
11-Apr-14,14.33,14.68,14.25,14.29,17479
10-Apr-14,14.64,14.77,14.33,14.44,32562
9-Apr-14,14.80,14.84,14.53,14.61,13342
8-Apr-14,14.72,15.06,14.52,14.71,19666
7-Apr-14,14.49,14.88,14.33,14.77,18940
4-Apr-14,15.45,15.53,14.45,14.50,27117
3-Apr-14,15.37,15.40,15.30,15.31,5600
2-Apr-14,15.40,15.55,15.24,15.54,10422
1-Apr-14,15.16,15.40,15.03,15.39,11956
31-Mar-14,14.76,15.25,14.76,15.19,20487
28-Mar-14,14.90,15.08,14.60,14.63,12736
27-Mar-14,15.01,15.05,14.77,14.91,7877
26-Mar-14,15.55,15.55,15.01,15.02,17551
25-Mar-14,15.14,15.45,15.14,15.44,11439
24-Mar-14,15.37,15.58,15.23,15.38,14765
21-Mar-14,15.58,15.58,15.08,15.30,75770
20-Mar-14,15.39,15.60,15.25,15.54,10242
19-Mar-14,15.11,15.35,15.10,15.16,6118
18-Mar-14,15.32,15.41,15.28,15.38,12517
17-Mar-14,15.22,15.40,15.05,15.27,12282
14-Mar-14,15.19,15.52,15.08,15.15,11666
13-Mar-14,15.07,15.41,15.07,15.23,13991
12-Mar-14,15.12,15.45,15.05,15.31,12422
11-Mar-14,15.40,15.63,15.06,15.19,11288
10-Mar-14,15.36,15.69,15.16,15.38,26308
7-Mar-14,15.52,15.52,15.29,15.48,6972
6-Mar-14,15.50,15.60,15.16,15.44,17416
5-Mar-14,15.80,15.82,15.45,15.51,23801
4-Mar-14,15.06,15.98,15.06,15.92,61678
3-Mar-14,14.66,15.00,14.66,14.97,10700
28-Feb-14,14.77,15.00,14.58,14.85,26588
27-Feb-14,14.53,14.75,14.51,14.73,12127
26-Feb-14,14.69,14.80,14.51,14.53,6457
25-Feb-14,14.79,14.79,14.61,14.63,8352
24-Feb-14,14.72,14.80,14.26,14.74,18246
21-Feb-14,14.71,14.94,14.28,14.42,23903
20-Feb-14,14.35,14.70,14.28,14.60,15210
19-Feb-14,14.90,14.93,14.26,14.28,14539
18-Feb-14,14.31,14.99,14.20,14.93,17691
14-Feb-14,14.00,14.46,13.97,14.20,18343
13-Feb-14,13.85,14.00,13.85,13.98,8678
12-Feb-14,14.04,14.21,13.85,13.91,9149
11-Feb-14,13.79,14.10,13.75,13.82,14326
10-Feb-14,13.97,14.15,13.64,13.81,24332
7-Feb-14,14.15,14.25,13.78,13.90,25686
6-Feb-14,14.35,14.35,14.02,14.14,15452
5-Feb-14,14.19,14.55,13.89,14.08,21720
4-Feb-14,14.17,15.14,14.17,14.22,21510
3-Feb-14,14.59,15.36,13.90,14.04,35664
31-Jan-14,14.91,15.08,14.70,14.79,19787
30-Jan-14,14.66,15.44,14.66,15.26,30501
29-Jan-14,14.53,14.88,13.79,14.51,31322
28-Jan-14,15.21,15.45,14.68,14.76,29453
27-Jan-14,14.62,15.30,14.62,15.15,14799
24-Jan-14,14.69,15.42,14.69,14.69,16927
23-Jan-14,15.96,15.96,14.69,14.81,24635
22-Jan-14,15.11,15.25,14.95,14.99,8895
21-Jan-14,14.95,15.37,14.95,15.08,8307
17-Jan-14,14.94,15.02,14.76,14.83,9076
16-Jan-14,14.94,15.26,14.77,14.92,6966
15-Jan-14,15.18,15.43,14.90,15.04,11956
14-Jan-14,15.06,15.29,14.74,15.12,17822
13-Jan-14,15.47,15.48,14.75,15.03,16539
10-Jan-14,15.58,15.67,15.32,15.48,21049
9-Jan-14,15.71,15.75,15.50,15.53,10522
8-Jan-14,15.98,15.98,15.53,15.61,7017
7-Jan-14,15.83,15.97,15.68,15.83,5520
6-Jan-14,15.98,15.98,15.75,15.81,18076
3-Jan-14,15.73,15.97,15.44,15.86,10506
2-Jan-14,15.81,15.93,15.73,15.73,8280
31-Dec-13,15.71,16.00,15.67,15.82,9321
30-Dec-13,15.74,15.74,15.44,15.70,8459
27-Dec-13,16.51,16.51,15.31,15.74,11810
26-Dec-13,16.64,16.64,16.11,16.43,19148
24-Dec-13,16.63,16.63,16.35,16.47,8604
23-Dec-13,15.68,16.40,15.68,16.29,24142
20-Dec-13,14.98,15.89,14.98,15.42,137007
19-Dec-13,15.59,15.84,14.72,14.90,17613
18-Dec-13,14.57,15.79,14.57,15.69,18797
17-Dec-13,14.79,14.79,14.48,14.50,3311
16-Dec-13,14.81,15.03,14.60,14.84,10147
13-Dec-13,14.58,14.75,14.27,14.70,11290
12-Dec-13,14.66,14.67,14.38,14.52,11436
11-Dec-13,14.63,14.70,14.27,14.36,17353
10-Dec-13,14.68,15.07,14.51,14.61,20886
9-Dec-13,15.16,15.16,14.69,14.78,12366
6-Dec-13,14.96,15.44,14.91,15.10,9102
5-Dec-13,15.03,15.12,14.66,14.77,7296
4-Dec-13,15.07,15.46,14.53,15.07,15268
3-Dec-13,15.13,15.30,15.04,15.18,14149
2-Dec-13,16.08,16.08,14.83,15.10,19390
29-Nov-13,16.25,16.25,15.55,16.12,13169
27-Nov-13,15.58,16.35,15.55,16.34,23114
26-Nov-13,15.41,15.74,15.15,15.62,19179
25-Nov-13,14.36,15.67,14.36,15.34,21711
22-Nov-13,13.94,14.28,13.93,14.27,25292
21-Nov-13,13.78,13.90,13.78,13.89,13063
20-Nov-13,13.57,13.86,13.56,13.67,6255
19-Nov-13,13.62,13.81,13.55,13.75,7902
18-Nov-13,13.80,13.80,13.51,13.57,14215
15-Nov-13,13.71,13.92,13.50,13.79,12358
14-Nov-13,13.79,13.79,13.64,13.73,16349
13-Nov-13,13.85,13.98,13.73,13.95,11075
12-Nov-13,13.86,14.05,13.70,13.93,10296
11-Nov-13,14.05,14.20,13.93,13.96,13490
8-Nov-13,13.71,14.19,13.71,14.07,24124
7-Nov-13,13.83,13.89,13.70,13.71,23804
6-Nov-13,13.73,13.89,13.70,13.74,7400
5-Nov-13,13.62,13.95,13.51,13.68,11657
4-Nov-13,13.72,14.07,13.48,13.65,33321
1-Nov-13,13.79,14.10,13.56,13.76,41608
31-Oct-13,14.15,14.17,13.78,13.82,21719
30-Oct-13,14.24,14.24,14.10,14.10,15181
29-Oct-13,14.25,14.25,14.14,14.19,16199
28-Oct-13,14.20,14.25,14.12,14.25,14158
25-Oct-13,14.22,14.24,14.03,14.16,9109
24-Oct-13,14.05,14.24,14.05,14.07,13357
23-Oct-13,14.07,14.24,14.03,14.05,18532
22-Oct-13,14.13,14.25,14.04,14.17,19886
21-Oct-13,14.21,14.25,14.03,14.11,17377
18-Oct-13,14.21,14.25,14.03,14.19,35391
17-Oct-13,14.07,14.13,14.06,14.07,14545
16-Oct-13,14.07,14.23,14.05,14.11,8624
15-Oct-13,14.01,14.17,13.99,14.05,27472
14-Oct-13,13.98,14.21,13.96,14.09,18977
11-Oct-13,14.08,14.10,13.95,14.10,21041
10-Oct-13,13.60,14.20,13.59,14.16,22950
9-Oct-13,13.47,13.63,13.45,13.46,12136
8-Oct-13,13.60,13.62,13.34,13.46,19010
7-Oct-13,13.55,13.81,13.55,13.61,10406
4-Oct-13,13.50,13.79,13.50,13.66,10544
3-Oct-13,13.47,13.70,13.40,13.54,11026
2-Oct-13,13.82,13.83,13.40,13.45,29585
1-Oct-13,13.80,14.13,13.57,13.98,14019
30-Sep-13,13.61,13.95,13.58,13.80,42093
27-Sep-13,13.80,14.15,13.80,13.97,7086
