Date,Open,High,Low,Close,Volume
23-Oct-14,0.44,0.46,0.43,0.45,314317
22-Oct-14,0.44,0.48,0.43,0.44,694972
21-Oct-14,0.44,0.47,0.42,0.44,350862
20-Oct-14,0.42,0.47,0.40,0.44,482384
17-Oct-14,0.48,0.48,0.42,0.42,812777
16-Oct-14,0.45,0.50,0.43,0.44,808502
15-Oct-14,0.47,0.48,0.42,0.43,1069366
14-Oct-14,0.47,0.53,0.45,0.48,750369
13-Oct-14,0.50,0.56,0.46,0.46,509667
10-Oct-14,0.43,0.50,0.40,0.50,1333603
9-Oct-14,0.50,0.53,0.37,0.41,2049655
8-Oct-14,0.53,0.56,0.48,0.53,1183741
7-Oct-14,0.58,0.59,0.52,0.53,832265
6-Oct-14,0.60,0.62,0.55,0.57,302133
3-Oct-14,0.61,0.61,0.58,0.58,835324
2-Oct-14,0.62,0.64,0.58,0.62,1177023
1-Oct-14,0.54,0.60,0.53,0.59,950415
30-Sep-14,0.55,0.56,0.50,0.53,978527
29-Sep-14,0.57,0.58,0.55,0.56,532932
26-Sep-14,0.55,0.59,0.55,0.57,1317025
25-Sep-14,0.57,0.58,0.50,0.54,1877352
24-Sep-14,0.56,0.58,0.54,0.54,1480094
23-Sep-14,0.59,0.59,0.56,0.58,1259954
22-Sep-14,0.60,0.61,0.58,0.58,829495
19-Sep-14,0.62,0.64,0.56,0.60,1579946
18-Sep-14,0.65,0.65,0.60,0.61,2353229
17-Sep-14,0.65,0.68,0.63,0.63,1041898
16-Sep-14,0.70,0.71,0.62,0.63,1637304
15-Sep-14,0.75,0.75,0.68,0.68,1729389
12-Sep-14,0.75,0.77,0.71,0.72,1450561
11-Sep-14,0.67,0.78,0.67,0.72,5157118
10-Sep-14,0.67,0.70,0.66,0.68,1166780
9-Sep-14,0.68,0.70,0.65,0.68,973243
8-Sep-14,0.74,0.74,0.66,0.67,1720897
5-Sep-14,0.72,0.75,0.69,0.73,1655400
4-Sep-14,0.78,0.79,0.66,0.70,5134012
3-Sep-14,0.89,0.91,0.70,0.75,6749811
2-Sep-14,1.00,1.09,0.99,1.05,1929849
29-Aug-14,1.02,1.04,1.00,1.01,777581
28-Aug-14,0.98,1.03,0.96,1.03,814532
27-Aug-14,1.01,1.05,0.95,0.98,1024620
26-Aug-14,0.92,1.09,0.92,1.02,4211773
25-Aug-14,0.90,0.95,0.90,0.92,759160
22-Aug-14,0.93,0.94,0.90,0.90,332608
21-Aug-14,0.89,0.94,0.88,0.92,675940
20-Aug-14,0.86,0.90,0.85,0.88,495156
19-Aug-14,0.86,0.89,0.85,0.85,849170
18-Aug-14,0.86,0.87,0.84,0.86,292534
15-Aug-14,0.87,0.87,0.81,0.85,632690
14-Aug-14,0.89,0.89,0.82,0.86,467513
13-Aug-14,0.90,0.90,0.83,0.84,1471962
12-Aug-14,0.89,0.92,0.87,0.89,399391
11-Aug-14,0.83,0.89,0.81,0.87,621256
8-Aug-14,0.84,0.85,0.80,0.82,1407673
7-Aug-14,0.84,0.87,0.84,0.84,447894
6-Aug-14,0.88,0.89,0.84,0.84,981538
5-Aug-14,0.88,0.92,0.86,0.87,1419400
4-Aug-14,0.92,0.94,0.88,0.88,438542
1-Aug-14,0.92,0.95,0.90,0.90,672356
31-Jul-14,0.93,0.94,0.91,0.92,467516
30-Jul-14,0.95,0.96,0.92,0.94,494157
29-Jul-14,0.95,0.97,0.92,0.93,563414
28-Jul-14,0.98,0.98,0.92,0.94,676872
25-Jul-14,0.96,0.98,0.92,0.97,539654
24-Jul-14,0.98,1.01,0.95,0.97,737523
23-Jul-14,0.94,1.00,0.94,0.97,1236369
22-Jul-14,0.94,0.95,0.91,0.94,469161
21-Jul-14,0.93,0.93,0.91,0.92,362825
18-Jul-14,0.92,0.93,0.88,0.92,615610
17-Jul-14,0.93,0.93,0.86,0.91,818482
16-Jul-14,0.90,0.97,0.90,0.92,865631
15-Jul-14,0.95,0.97,0.90,0.90,740918
14-Jul-14,0.99,0.99,0.94,0.95,763612
11-Jul-14,0.95,1.01,0.91,0.95,2165522
