Date,Open,High,Low,Close,Volume
23-Oct-14,8.36,8.54,8.33,8.43,291389
22-Oct-14,8.41,8.52,8.27,8.28,353877
21-Oct-14,8.22,8.38,8.09,8.35,445112
20-Oct-14,8.05,8.25,8.02,8.15,344807
17-Oct-14,8.15,8.29,8.05,8.07,548226
16-Oct-14,7.66,8.04,7.65,8.02,555962
15-Oct-14,7.60,7.93,7.50,7.81,643916
14-Oct-14,7.63,7.82,7.53,7.60,579376
13-Oct-14,7.78,7.80,7.46,7.55,617159
10-Oct-14,8.20,8.33,7.72,7.74,995090
9-Oct-14,8.40,8.44,8.01,8.26,809619
8-Oct-14,8.67,8.68,8.10,8.40,953278
7-Oct-14,9.08,9.11,8.55,8.63,722563
6-Oct-14,9.37,9.46,9.14,9.17,254234
3-Oct-14,9.50,9.57,9.25,9.35,415070
2-Oct-14,9.44,9.50,8.99,9.46,344247
1-Oct-14,9.89,9.89,9.43,9.45,480408
30-Sep-14,9.65,9.94,9.51,9.79,1245460
29-Sep-14,9.55,9.70,9.40,9.67,388749
26-Sep-14,9.71,9.76,9.51,9.66,419976
25-Sep-14,10.19,10.23,9.41,9.59,761702
24-Sep-14,10.20,10.30,10.07,10.25,321974
23-Sep-14,10.08,10.23,9.97,10.18,461696
22-Sep-14,10.34,10.34,10.10,10.17,364059
19-Sep-14,10.74,10.76,10.33,10.39,662566
18-Sep-14,10.51,10.81,10.45,10.74,479637
17-Sep-14,10.45,10.62,10.37,10.58,466265
16-Sep-14,10.35,10.43,10.24,10.41,573632
15-Sep-14,10.32,10.49,10.27,10.38,578377
12-Sep-14,10.55,10.75,10.25,10.35,3474255
11-Sep-14,10.27,10.92,10.27,10.86,842304
10-Sep-14,10.34,10.46,10.08,10.42,407157
9-Sep-14,10.05,10.46,9.88,10.42,793248
8-Sep-14,10.70,10.90,9.82,9.92,1180949
5-Sep-14,10.61,10.75,10.21,10.68,434849
4-Sep-14,10.73,10.79,10.51,10.59,205150
3-Sep-14,10.58,10.90,10.53,10.67,308092
2-Sep-14,10.50,10.54,10.39,10.50,335820
29-Aug-14,10.39,10.47,10.35,10.45,196112
28-Aug-14,10.32,10.45,10.27,10.36,118694
27-Aug-14,10.38,10.50,10.23,10.40,214601
26-Aug-14,10.26,10.38,10.21,10.31,182651
25-Aug-14,10.21,10.38,10.02,10.30,263408
22-Aug-14,10.16,10.25,10.06,10.15,236147
21-Aug-14,10.19,10.24,10.04,10.16,191884
20-Aug-14,10.15,10.25,10.00,10.17,106529
19-Aug-14,10.05,10.39,10.05,10.18,340972
18-Aug-14,10.02,10.06,9.94,10.03,121461
15-Aug-14,9.99,10.10,9.68,9.88,155511
14-Aug-14,9.79,9.97,9.76,9.88,109871
13-Aug-14,9.60,9.89,9.60,9.80,209413
12-Aug-14,9.69,9.77,9.48,9.56,104155
11-Aug-14,9.62,9.90,9.57,9.76,84424
