Date,Open,High,Low,Close,Volume
23-Oct-14,20.55,21.82,20.55,20.98,324229
22-Oct-14,20.95,22.40,20.37,20.52,507376
21-Oct-14,22.50,22.57,21.28,21.56,511693
20-Oct-14,23.80,23.89,21.79,21.97,705835
17-Oct-14,24.00,25.25,20.85,23.97,1542010
16-Oct-14,20.26,24.87,20.10,23.89,949264
15-Oct-14,19.05,20.53,19.00,20.52,620492
14-Oct-14,19.10,19.95,19.00,19.39,360017
13-Oct-14,19.87,20.28,18.81,18.88,268089
10-Oct-14,18.11,20.75,17.81,19.78,941813
9-Oct-14,17.90,19.04,16.72,18.21,1372466
8-Oct-14,17.27,18.30,16.00,17.85,897449
7-Oct-14,18.00,18.31,17.33,17.43,399181
6-Oct-14,17.98,18.54,17.81,18.02,432833
3-Oct-14,19.20,19.65,17.78,17.91,787639
2-Oct-14,19.09,20.20,18.02,19.00,1169973
1-Oct-14,20.81,20.88,17.89,18.96,1522195
30-Sep-14,21.96,22.07,20.35,20.89,662698
29-Sep-14,22.25,22.90,21.63,22.00,550799
26-Sep-14,23.49,23.75,22.60,22.71,347890
25-Sep-14,24.70,25.19,22.45,23.27,891814
24-Sep-14,25.51,25.78,24.53,24.82,741920
23-Sep-14,25.62,26.59,25.26,25.53,464757
22-Sep-14,25.25,26.39,25.25,25.74,335133
19-Sep-14,26.36,27.20,25.16,26.32,523867
18-Sep-14,26.76,26.86,26.08,26.29,233480
17-Sep-14,26.23,27.00,26.23,26.51,308865
16-Sep-14,26.07,26.81,26.01,26.29,279862
15-Sep-14,28.20,28.22,25.90,26.21,852111
12-Sep-14,29.19,29.51,28.15,28.29,546541
11-Sep-14,28.67,29.21,27.93,29.16,477618
10-Sep-14,27.43,28.99,27.02,28.81,650545
9-Sep-14,28.04,28.61,27.24,27.43,390431
8-Sep-14,27.05,28.30,27.02,28.17,428751
5-Sep-14,26.92,27.59,26.68,27.24,492792
4-Sep-14,27.16,27.93,26.82,27.03,451232
3-Sep-14,28.19,28.60,27.10,27.23,597394
2-Sep-14,29.27,29.49,28.09,28.19,464065
29-Aug-14,29.80,30.47,28.32,29.27,796903
28-Aug-14,28.70,30.30,28.35,29.88,592822
27-Aug-14,28.60,29.19,28.11,28.85,359520
26-Aug-14,28.85,29.24,28.25,28.66,336323
25-Aug-14,28.92,29.48,28.11,28.90,515573
22-Aug-14,27.00,28.68,26.82,28.06,744647
21-Aug-14,27.03,27.42,26.37,27.07,680513
20-Aug-14,27.47,27.66,26.75,27.10,575373
19-Aug-14,27.44,28.30,26.95,27.47,818282
18-Aug-14,27.83,28.41,26.85,27.42,652749
15-Aug-14,29.38,29.63,27.33,27.61,706891
14-Aug-14,27.19,30.25,26.43,28.66,1687687
13-Aug-14,30.42,30.80,28.67,29.55,795560
12-Aug-14,31.71,31.85,30.12,30.26,549786
11-Aug-14,30.57,31.88,29.80,31.32,531668
8-Aug-14,32.16,32.16,29.69,30.44,564096
