Date,Open,High,Low,Close,Volume
23-Oct-14,9.40,9.40,8.90,9.40,1910
22-Oct-14,8.20,9.15,8.20,9.05,526
21-Oct-14,7.85,8.60,7.85,8.45,4384
20-Oct-14,8.10,8.25,7.90,7.94,3099
17-Oct-14,9.05,9.15,8.25,8.25,2498
16-Oct-14,8.60,8.65,8.10,8.55,851
15-Oct-14,8.60,8.75,8.05,8.60,1822
14-Oct-14,8.55,9.70,8.55,8.60,2176
13-Oct-14,10.35,10.35,8.56,8.60,7180
10-Oct-14,9.95,10.65,9.85,9.90,1924
9-Oct-14,9.60,10.70,9.60,9.85,5509
8-Oct-14,11.00,11.50,8.96,9.80,6769
7-Oct-14,11.75,11.85,10.65,10.75,7697
6-Oct-14,12.50,15.80,11.65,11.85,31859
3-Oct-14,16.85,16.85,14.05,14.50,72342
2-Oct-14,8.35,25.00,8.35,16.90,285766
1-Oct-14,8.40,8.40,8.05,8.25,4324
30-Sep-14,8.60,8.70,8.50,8.50,1458
29-Sep-14,10.05,10.50,8.50,8.75,9885
26-Sep-14,10.35,10.35,10.05,10.10,151
25-Sep-14,9.90,9.91,9.90,9.91,200
23-Sep-14,10.50,10.50,10.50,10.50,100
22-Sep-14,10.74,10.74,10.74,10.74,100
19-Sep-14,10.20,10.20,10.20,10.20,118
18-Sep-14,10.75,10.75,10.75,10.75,20
17-Sep-14,10.55,10.75,10.55,10.75,416
16-Sep-14,10.70,10.80,10.25,10.25,458
15-Sep-14,10.05,10.50,10.05,10.05,260
12-Sep-14,10.20,10.70,10.20,10.70,590
11-Sep-14,10.75,10.75,10.75,10.75,100
10-Sep-14,10.95,11.15,10.75,10.75,920
8-Sep-14,11.25,11.25,11.25,11.25,54
5-Sep-14,11.24,11.24,11.24,11.24,20
3-Sep-14,10.80,10.80,10.80,10.80,40
2-Sep-14,11.50,11.90,10.80,10.80,1172
29-Aug-14,11.40,12.00,11.40,11.55,717
28-Aug-14,11.21,11.30,11.21,11.30,67
27-Aug-14,10.65,10.75,10.65,10.75,40
26-Aug-14,10.70,11.00,10.45,10.75,820
25-Aug-14,11.10,11.10,10.45,11.10,640
22-Aug-14,11.90,11.90,10.80,11.25,1336
21-Aug-14,11.90,11.90,11.05,11.83,816
20-Aug-14,10.45,10.45,10.45,10.45,20
19-Aug-14,10.70,11.70,10.60,11.60,240
18-Aug-14,10.30,11.87,10.30,11.87,240
15-Aug-14,12.00,12.00,11.75,11.77,565
14-Aug-14,11.45,12.00,11.45,12.00,481
13-Aug-14,12.35,12.35,11.00,12.00,513
12-Aug-14,12.70,12.70,12.35,12.35,620
11-Aug-14,12.45,13.35,12.35,12.80,3407
7-Aug-14,12.64,14.46,12.64,14.46,80
6-Aug-14,13.00,15.00,12.35,14.80,454
5-Aug-14,15.15,15.90,15.15,15.80,292
1-Aug-14,14.05,16.40,13.95,16.40,540
31-Jul-14,16.15,16.20,16.10,16.20,127
30-Jul-14,15.70,16.80,15.20,16.30,1050
29-Jul-14,15.72,16.85,15.70,16.30,83
24-Jul-14,16.25,16.85,15.47,16.60,3744
23-Jul-14,16.55,16.65,15.75,15.80,835
22-Jul-14,15.85,16.50,15.85,16.44,2556
21-Jul-14,16.25,16.90,15.50,16.25,2327
18-Jul-14,15.65,17.60,15.65,17.50,540
17-Jul-14,17.30,17.30,17.30,17.30,80
16-Jul-14,17.10,17.41,16.55,17.30,658
15-Jul-14,16.55,16.55,16.55,16.55,100
14-Jul-14,15.40,16.05,15.40,16.05,280
11-Jul-14,17.40,17.40,15.45,15.45,3144
10-Jul-14,15.38,16.45,15.38,16.45,5477
9-Jul-14,15.50,15.55,15.05,15.15,1800
8-Jul-14,14.35,15.25,14.30,14.65,2151
7-Jul-14,14.30,15.45,14.30,14.65,540
3-Jul-14,15.65,15.85,14.20,15.05,2822
2-Jul-14,15.25,15.75,15.20,15.25,1398
1-Jul-14,13.85,15.25,13.85,15.25,847
30-Jun-14,14.30,15.30,14.30,15.30,441
27-Jun-14,15.55,15.55,14.35,14.35,105
26-Jun-14,13.55,13.55,13.55,13.55,20
25-Jun-14,16.25,16.25,13.70,14.05,139
24-Jun-14,14.60,14.60,14.60,14.60,20
23-Jun-14,16.00,16.00,15.50,15.50,154
20-Jun-14,16.20,16.20,16.00,16.00,107
19-Jun-14,14.60,15.55,14.60,15.55,120
17-Jun-14,16.05,16.60,15.00,15.60,310
16-Jun-14,17.25,18.00,15.40,16.20,3909
13-Jun-14,18.45,18.45,17.75,17.75,80
12-Jun-14,16.95,18.80,16.95,18.75,1500
11-Jun-14,15.40,17.45,15.40,15.60,4974
10-Jun-14,14.10,17.05,14.10,16.10,2133
6-Jun-14,12.86,14.10,12.86,14.10,516
5-Jun-14,12.40,12.40,12.35,12.40,260
4-Jun-14,12.45,14.75,12.45,13.85,1221
30-May-14,12.80,14.50,12.80,14.00,60
29-May-14,12.05,14.32,9.65,14.32,1045
28-May-14,14.51,14.55,14.50,14.50,82
27-May-14,14.45,14.50,14.45,14.50,360
23-May-14,15.50,15.50,14.50,14.50,270
22-May-14,16.00,16.00,16.00,16.00,50
21-May-14,15.50,15.50,15.50,15.50,90
20-May-14,15.75,15.75,15.75,15.75,420
19-May-14,15.50,16.70,15.06,16.20,750
16-May-14,16.55,16.55,16.55,16.55,20
15-May-14,16.00,18.00,15.65,17.30,1094
14-May-14,17.00,17.35,16.20,16.25,1600
13-May-14,16.35,16.45,16.00,16.00,714
12-May-14,15.80,15.80,15.05,15.25,400
9-May-14,16.25,19.65,14.00,14.54,15324
7-May-14,16.80,17.34,16.75,16.88,2200
6-May-14,16.25,17.00,16.25,17.00,1235
5-May-14,16.50,16.80,16.25,16.25,401
2-May-14,16.55,16.55,16.55,16.55,60
30-Apr-14,16.60,16.60,16.60,16.60,24
28-Apr-14,17.80,17.90,17.00,17.15,833
25-Apr-14,17.65,18.10,17.65,18.10,400
24-Apr-14,19.20,19.25,19.11,19.25,268
23-Apr-14,16.90,19.25,16.90,19.25,2375
22-Apr-14,17.05,17.05,17.05,17.05,75
21-Apr-14,16.50,16.50,16.46,16.46,160
16-Apr-14,16.40,16.85,16.40,16.80,375
15-Apr-14,16.50,18.15,16.35,16.35,482
14-Apr-14,17.95,18.10,17.50,17.50,1540
11-Apr-14,17.20,17.50,17.20,17.50,1140
10-Apr-14,18.25,18.25,17.50,18.10,540
9-Apr-14,18.60,18.60,18.60,18.60,58
8-Apr-14,18.25,18.25,17.50,17.85,763
7-Apr-14,19.40,19.40,18.25,18.58,2161
4-Apr-14,20.15,21.54,19.60,20.40,2550
3-Apr-14,23.05,23.05,21.55,21.60,8183
2-Apr-14,20.45,25.20,20.40,24.75,41017
1-Apr-14,18.20,21.25,18.15,20.25,11603
31-Mar-14,17.05,20.30,17.05,18.20,6144
26-Mar-14,17.80,17.85,17.80,17.80,275
25-Mar-14,18.00,18.13,17.30,18.13,711
24-Mar-14,17.60,18.25,17.05,18.20,1462
21-Mar-14,18.50,18.65,17.80,17.80,508
20-Mar-14,17.80,17.99,17.80,17.90,420
19-Mar-14,18.75,18.75,17.90,18.00,452
17-Mar-14,18.75,19.05,18.75,18.95,3337
14-Mar-14,19.05,19.05,17.76,17.76,1540
13-Mar-14,18.45,19.25,18.05,18.16,1980
10-Mar-14,20.00,20.00,19.30,19.30,251
7-Mar-14,18.80,19.05,18.80,19.05,180
6-Mar-14,18.80,20.05,18.75,20.05,207
4-Mar-14,19.40,19.54,19.40,19.54,75
3-Mar-14,19.90,20.00,19.88,19.88,265
28-Feb-14,20.00,20.19,18.75,20.19,443
27-Feb-14,18.50,20.07,18.50,19.95,3066
26-Feb-14,18.75,18.75,18.50,18.50,260
25-Feb-14,18.05,18.90,18.05,18.90,1430
24-Feb-14,18.50,19.25,17.77,17.77,1010
21-Feb-14,18.15,19.54,17.50,19.40,452
20-Feb-14,18.35,18.35,18.35,18.35,200
19-Feb-14,19.10,19.10,18.20,18.20,2124
18-Feb-14,19.25,19.30,18.50,18.69,725
14-Feb-14,19.95,19.95,18.50,18.90,937
13-Feb-14,20.00,20.00,19.64,19.64,410
12-Feb-14,19.50,20.00,19.50,20.00,569
11-Feb-14,19.75,19.75,19.75,19.75,400
10-Feb-14,21.90,22.90,20.50,20.75,4775
7-Feb-14,19.30,23.50,18.68,21.50,14269
6-Feb-14,17.89,19.85,17.89,19.75,7802
5-Feb-14,17.20,19.15,17.20,18.30,5519
4-Feb-14,17.50,17.50,17.20,17.20,428
3-Feb-14,17.14,17.14,17.14,17.14,20
31-Jan-14,18.45,18.50,18.40,18.40,2660
30-Jan-14,17.40,19.75,17.00,18.46,2267
29-Jan-14,17.95,18.25,16.68,18.00,555
28-Jan-14,16.30,18.45,16.30,18.40,649
27-Jan-14,16.50,18.05,15.50,17.90,4152
24-Jan-14,18.70,18.95,18.10,18.10,1789
23-Jan-14,18.75,18.95,18.06,18.80,1227
22-Jan-14,17.55,19.25,17.55,19.00,7751
21-Jan-14,18.80,19.40,17.86,18.95,5067
17-Jan-14,18.25,19.00,18.05,19.00,11260
16-Jan-14,15.95,18.50,15.60,18.05,5751
15-Jan-14,14.65,16.30,14.65,14.95,6459
14-Jan-14,15.70,15.70,14.08,15.21,304
13-Jan-14,15.50,15.75,13.95,14.55,2339
10-Jan-14,15.16,16.15,15.16,15.50,1904
9-Jan-14,14.15,15.50,14.05,15.30,1041
8-Jan-14,15.75,16.80,15.00,15.75,10799
7-Jan-14,13.64,13.64,13.64,13.64,39
6-Jan-14,13.95,14.35,13.50,14.19,1470
3-Jan-14,14.55,15.40,14.55,15.35,518
2-Jan-14,14.50,17.25,13.55,15.60,3073
31-Dec-13,14.56,15.00,14.50,14.50,984
30-Dec-13,15.00,15.55,14.50,14.70,2393
27-Dec-13,15.70,15.73,14.75,15.40,640
26-Dec-13,14.75,15.90,14.75,15.20,1148
24-Dec-13,15.25,16.75,15.25,16.75,1343
23-Dec-13,16.45,16.45,15.15,15.65,2042
20-Dec-13,16.90,17.94,15.14,16.70,5088
19-Dec-13,15.70,17.00,15.70,16.25,5964
18-Dec-13,14.60,15.25,14.15,14.15,3175
