Date,Open,High,Low,Close,Volume
23-Oct-14,20.79,20.98,20.72,20.85,18861
22-Oct-14,21.00,21.18,20.68,20.73,35575
21-Oct-14,21.19,21.24,20.55,20.94,43368
20-Oct-14,20.68,21.24,20.33,21.23,23260
17-Oct-14,21.28,21.28,20.62,20.63,21796
16-Oct-14,20.87,21.22,20.40,21.09,37135
15-Oct-14,20.85,21.07,20.06,21.06,51844
14-Oct-14,20.50,20.97,20.35,20.83,43747
13-Oct-14,19.92,20.49,19.92,20.39,29797
10-Oct-14,19.80,20.05,19.75,19.87,59415
9-Oct-14,20.31,20.31,19.80,19.85,38977
8-Oct-14,19.96,20.29,19.96,20.27,29573
7-Oct-14,20.01,20.17,19.91,19.95,14207
6-Oct-14,20.17,20.28,20.13,20.13,9786
3-Oct-14,20.26,20.28,20.02,20.22,11447
2-Oct-14,19.90,20.20,19.90,20.12,15995
1-Oct-14,20.07,20.12,19.82,19.83,33805
30-Sep-14,20.27,20.27,19.92,20.00,30565
29-Sep-14,19.97,20.25,19.95,20.22,16008
26-Sep-14,20.08,20.21,20.08,20.19,12208
25-Sep-14,20.34,20.37,20.07,20.20,26227
24-Sep-14,20.19,20.38,20.08,20.30,17711
23-Sep-14,20.20,20.29,20.07,20.13,23341
22-Sep-14,20.14,20.29,20.07,20.19,23172
19-Sep-14,20.20,20.32,20.00,20.21,66913
18-Sep-14,20.26,20.32,20.04,20.18,14051
17-Sep-14,20.10,20.29,20.04,20.15,25014
16-Sep-14,20.03,20.27,20.03,20.16,14906
15-Sep-14,20.08,20.15,19.91,20.05,19477
12-Sep-14,20.30,20.30,20.00,20.08,24372
11-Sep-14,20.05,20.32,20.00,20.27,15750
10-Sep-14,20.09,20.31,19.99,20.18,20730
9-Sep-14,20.15,20.29,19.93,20.12,40825
8-Sep-14,20.21,20.32,20.09,20.22,24632
5-Sep-14,20.17,20.36,20.05,20.32,20695
4-Sep-14,20.09,20.43,20.09,20.22,13032
3-Sep-14,20.38,20.44,20.15,20.32,29110
2-Sep-14,20.24,20.39,20.11,20.36,18948
29-Aug-14,20.23,20.23,19.95,20.18,13481
28-Aug-14,20.18,20.22,19.89,20.15,14986
27-Aug-14,20.03,20.21,19.99,20.20,10926
26-Aug-14,20.01,20.18,19.98,20.10,27819
25-Aug-14,19.95,20.05,19.93,20.00,30735
22-Aug-14,19.61,19.92,19.50,19.83,48036
21-Aug-14,19.51,19.67,19.50,19.57,16761
20-Aug-14,19.77,19.80,19.50,19.52,14463
19-Aug-14,19.72,19.81,19.52,19.77,9781
18-Aug-14,19.51,19.78,19.31,19.72,17721
15-Aug-14,19.67,19.67,19.29,19.52,19725
14-Aug-14,19.43,19.51,19.40,19.48,16925
13-Aug-14,19.37,19.46,19.25,19.42,11918
12-Aug-14,19.42,19.52,19.28,19.30,10608
11-Aug-14,19.47,19.55,19.45,19.49,11644
8-Aug-14,19.22,19.49,19.20,19.43,12907
7-Aug-14,19.19,19.39,19.11,19.21,26245
6-Aug-14,18.90,19.24,18.85,19.16,12209
5-Aug-14,19.04,19.29,18.90,18.92,19813
4-Aug-14,19.09,19.18,18.89,19.05,36444
1-Aug-14,19.10,19.23,19.00,19.02,22681
31-Jul-14,19.09,19.24,19.02,19.03,31112
30-Jul-14,19.15,19.15,19.02,19.12,20867
29-Jul-14,19.40,19.41,19.06,19.07,26577
28-Jul-14,19.21,19.45,19.10,19.26,21633
25-Jul-14,19.35,19.43,19.20,19.22,21319
24-Jul-14,19.69,19.79,19.39,19.43,35085
23-Jul-14,19.63,19.64,19.52,19.59,17691
22-Jul-14,19.58,19.73,19.47,19.62,30038
21-Jul-14,19.46,19.58,19.40,19.51,21925
18-Jul-14,19.48,19.63,19.36,19.60,58124
17-Jul-14,19.61,19.80,19.46,19.55,33231
16-Jul-14,19.79,19.89,19.66,19.69,25940
15-Jul-14,20.08,20.08,19.66,19.72,25424
14-Jul-14,20.23,20.23,19.87,19.99,30572
11-Jul-14,20.01,20.24,19.96,20.01,21476
10-Jul-14,20.00,20.39,20.00,20.00,21160
9-Jul-14,20.32,20.44,20.15,20.16,11361
8-Jul-14,20.22,20.38,20.06,20.19,24015
7-Jul-14,20.43,20.60,20.20,20.20,30230
3-Jul-14,20.81,20.81,20.41,20.59,14655
2-Jul-14,20.91,21.00,20.65,20.81,15562
1-Jul-14,20.79,21.20,20.69,21.03,33016
30-Jun-14,20.94,20.94,20.66,20.82,19134
27-Jun-14,20.25,20.98,20.21,20.96,93966
26-Jun-14,20.50,20.72,20.26,20.41,18591
25-Jun-14,20.52,20.71,20.41,20.67,17069
24-Jun-14,20.54,20.77,20.54,20.55,14181
23-Jun-14,20.71,20.73,20.52,20.63,10338
20-Jun-14,20.80,20.80,20.67,20.75,50419
19-Jun-14,20.80,20.80,20.51,20.77,8826
18-Jun-14,20.75,20.94,20.51,20.75,14478
17-Jun-14,20.39,20.88,20.36,20.76,21171
16-Jun-14,20.38,20.68,20.36,20.40,15525
13-Jun-14,20.59,20.72,20.44,20.50,10127
12-Jun-14,20.58,20.65,20.40,20.48,15606
11-Jun-14,20.45,20.69,20.38,20.55,19616
10-Jun-14,20.80,20.80,20.50,20.58,16857
9-Jun-14,20.73,20.94,20.61,20.85,25003
6-Jun-14,20.79,20.88,20.64,20.74,22771
5-Jun-14,20.16,20.69,20.00,20.61,31933
4-Jun-14,20.06,20.23,20.02,20.13,25271
