Date,Open,High,Low,Close,Volume
23-Oct-14,76.80,79.25,76.01,78.75,1079260
22-Oct-14,78.40,78.42,75.36,75.50,763152
21-Oct-14,77.25,79.39,76.00,78.33,1207631
20-Oct-14,75.55,77.92,75.02,76.34,906416
17-Oct-14,77.57,80.17,75.34,75.49,1546076
16-Oct-14,69.60,76.90,69.42,76.37,2142339
15-Oct-14,68.00,73.04,67.10,72.40,1454160
14-Oct-14,70.08,71.23,68.24,69.47,2154571
13-Oct-14,73.00,75.00,69.07,69.41,1976947
10-Oct-14,75.26,76.99,72.44,73.08,1344161
9-Oct-14,77.86,79.10,75.90,76.63,1122468
8-Oct-14,75.12,77.94,73.36,77.81,1185029
7-Oct-14,75.38,77.88,75.01,75.06,680570
6-Oct-14,78.30,79.43,76.28,76.63,964944
3-Oct-14,74.08,79.36,74.08,77.08,1875757
2-Oct-14,72.72,74.50,71.04,73.41,2089376
1-Oct-14,74.90,75.22,71.90,72.77,1382354
30-Sep-14,78.50,78.94,74.82,74.89,1241930
29-Sep-14,76.26,78.61,75.68,77.82,741679
26-Sep-14,78.30,78.85,77.61,77.94,676399
25-Sep-14,80.00,80.21,76.67,77.24,1343427
24-Sep-14,78.99,81.04,78.41,79.58,1742249
23-Sep-14,75.85,79.48,75.50,78.33,1688205
22-Sep-14,78.03,79.05,74.60,75.94,1936945
19-Sep-14,79.25,80.35,76.09,77.89,2352944
18-Sep-14,81.62,81.88,77.67,78.53,2770118
17-Sep-14,84.00,84.49,80.84,80.95,1768988
16-Sep-14,80.70,84.91,79.98,83.19,3369546
15-Sep-14,88.07,89.00,79.71,80.74,3072567
12-Sep-14,90.11,91.20,88.42,88.57,1268036
11-Sep-14,90.55,92.20,88.82,89.99,1286299
10-Sep-14,92.36,93.84,89.16,91.03,2028579
9-Sep-14,95.87,96.39,92.51,93.00,1899879
8-Sep-14,92.18,96.33,92.00,95.89,2272141
5-Sep-14,92.37,94.05,90.68,91.42,1535309
4-Sep-14,89.05,93.88,88.76,92.12,3313858
3-Sep-14,88.53,90.23,87.90,88.75,1484990
2-Sep-14,85.18,88.00,85.11,87.92,1042743
29-Aug-14,84.73,85.54,83.56,84.89,931427
28-Aug-14,86.82,86.82,84.70,84.80,1114052
27-Aug-14,90.00,90.84,86.60,87.14,1402642
26-Aug-14,89.00,90.88,88.13,89.98,1283499
25-Aug-14,88.01,89.85,87.70,88.42,1327188
22-Aug-14,85.57,87.92,84.12,87.51,936319
21-Aug-14,86.18,86.82,84.74,85.75,878517
20-Aug-14,86.29,88.50,84.61,86.31,1046081
19-Aug-14,89.00,90.85,85.23,86.62,1914453
18-Aug-14,88.00,88.83,86.66,88.64,1227420
15-Aug-14,88.00,88.49,86.51,87.40,1265618
14-Aug-14,88.85,89.12,86.55,87.41,1336307
13-Aug-14,90.38,90.49,88.25,89.12,1305172
12-Aug-14,88.90,89.89,86.57,89.60,1389055
11-Aug-14,87.29,89.49,86.17,89.02,1259240
8-Aug-14,85.00,88.20,84.77,85.95,2090629
7-Aug-14,81.27,86.00,78.82,85.80,4496068
6-Aug-14,78.42,83.49,77.99,82.75,2792467
5-Aug-14,80.87,82.50,78.10,79.34,1894376
4-Aug-14,77.07,81.46,76.92,80.96,1871618
1-Aug-14,75.65,78.00,74.21,76.70,1376428
31-Jul-14,77.98,79.25,75.52,77.32,1588789
30-Jul-14,79.36,80.20,78.63,79.54,992454
29-Jul-14,79.47,79.70,77.72,78.95,1282565
28-Jul-14,78.79,81.84,77.90,79.07,1820965
25-Jul-14,74.53,79.89,74.30,79.25,2274687
24-Jul-14,74.78,75.00,73.02,74.15,875602
23-Jul-14,76.85,76.98,74.00,74.02,1084783
22-Jul-14,74.52,76.75,74.41,76.11,1141031
21-Jul-14,72.08,74.25,71.14,73.98,880709
18-Jul-14,71.88,72.83,70.76,72.40,945778
17-Jul-14,72.57,74.35,71.18,71.78,890782
16-Jul-14,73.78,74.95,72.52,73.56,1211233
15-Jul-14,72.97,74.51,71.91,73.04,1158564
14-Jul-14,72.20,74.71,72.00,72.34,1185916
11-Jul-14,70.42,72.67,70.35,71.57,614235
10-Jul-14,68.59,71.66,67.50,70.53,1243854
9-Jul-14,71.45,72.77,70.72,71.83,1066990
8-Jul-14,74.23,74.99,70.35,71.05,1901621
7-Jul-14,75.68,76.65,74.65,75.10,885124
3-Jul-14,76.57,77.06,74.17,75.88,989440
2-Jul-14,77.41,78.73,75.82,76.60,1206549
1-Jul-14,76.50,77.99,75.05,77.41,1334840
30-Jun-14,74.55,77.45,74.55,75.50,1344990
27-Jun-14,74.04,75.53,73.83,74.65,624788
26-Jun-14,74.30,76.47,73.71,74.49,1316775
25-Jun-14,72.60,74.24,71.05,74.03,1129437
24-Jun-14,72.23,74.50,71.80,72.47,1332030
23-Jun-14,70.99,72.86,70.21,72.33,936313
20-Jun-14,70.82,71.79,69.80,71.12,1471531
19-Jun-14,73.57,73.96,69.85,70.91,2029817
18-Jun-14,75.97,76.00,71.68,73.39,2890765
17-Jun-14,70.50,76.50,70.21,75.17,3907955
16-Jun-14,69.30,70.54,67.91,70.07,1587166
13-Jun-14,69.66,70.46,68.11,69.76,1235141
12-Jun-14,68.16,71.68,67.49,69.52,2832571
11-Jun-14,66.24,68.37,64.71,67.72,2215419
10-Jun-14,67.28,68.50,65.33,65.96,2092343
9-Jun-14,65.18,69.00,65.18,67.25,2405814
6-Jun-14,65.42,66.00,64.23,65.22,869830
5-Jun-14,65.25,66.00,64.00,65.41,1289372
4-Jun-14,62.81,65.20,62.30,64.60,1586769
3-Jun-14,63.00,64.90,62.21,63.44,1256812
2-Jun-14,65.79,66.05,62.77,63.64,1475024
30-May-14,65.70,66.85,64.06,65.11,2756392
29-May-14,64.00,66.54,63.60,65.15,2157197
28-May-14,61.84,64.49,61.25,63.69,3356294
27-May-14,62.40,64.95,60.27,61.62,3425249
23-May-14,62.93,63.65,60.02,63.37,2255849
22-May-14,56.12,62.50,56.12,62.23,4482596
21-May-14,56.48,57.16,55.59,56.00,1860939
20-May-14,56.59,57.90,54.90,55.95,2227361
19-May-14,53.18,56.60,53.00,56.44,1671298
16-May-14,53.89,54.80,53.00,53.98,1495814
15-May-14,55.59,55.76,52.52,54.69,2811224
14-May-14,54.34,57.44,54.34,55.43,2809523
13-May-14,56.86,57.72,54.20,54.59,2348631
12-May-14,54.25,57.77,53.80,56.67,3131826
9-May-14,51.90,54.83,51.52,52.85,2915752
8-May-14,52.84,55.40,51.08,52.05,4188252
7-May-14,57.81,57.81,51.74,53.33,5710227
6-May-14,59.16,60.75,56.11,56.78,6091066
5-May-14,59.10,63.65,59.08,61.96,4860479
2-May-14,60.54,62.00,59.25,60.62,2093153
1-May-14,58.50,62.45,58.23,60.22,2685763
30-Apr-14,58.30,59.05,55.06,57.36,3367540
29-Apr-14,59.26,60.00,55.25,59.78,4103323
28-Apr-14,63.69,63.69,56.55,58.37,4017791
25-Apr-14,62.58,65.58,62.58,63.21,1455652
24-Apr-14,66.34,67.21,61.31,64.80,4030503
23-Apr-14,70.73,71.10,67.76,68.57,1866575
22-Apr-14,69.18,72.00,68.80,71.49,2910737
21-Apr-14,67.32,68.98,65.33,68.88,1598225
17-Apr-14,64.85,68.20,64.42,67.15,2394738
16-Apr-14,65.97,67.35,62.91,64.97,2706966
15-Apr-14,65.39,66.59,57.53,63.64,4951325
14-Apr-14,66.71,68.00,64.24,66.60,1892500
11-Apr-14,65.41,69.83,63.80,65.16,2597935
10-Apr-14,73.13,73.53,67.13,68.11,2125349
9-Apr-14,70.32,73.66,67.81,73.56,2675868
8-Apr-14,65.43,71.87,65.00,69.15,3802373
7-Apr-14,67.46,69.48,62.75,64.52,4078131
4-Apr-14,75.61,75.61,67.23,68.65,3002313
3-Apr-14,79.02,80.00,72.60,73.56,2474534
2-Apr-14,82.00,82.54,77.19,79.19,2459661
1-Apr-14,77.30,82.26,77.16,81.84,2619613
31-Mar-14,75.19,76.60,74.63,76.36,1169736
28-Mar-14,72.30,75.43,72.00,73.60,1490148
27-Mar-14,73.05,75.48,70.07,71.01,3092983
26-Mar-14,78.99,79.94,73.52,73.81,1993112
25-Mar-14,74.90,78.74,74.05,77.02,1975051
24-Mar-14,78.00,78.40,71.74,74.35,2461465
21-Mar-14,78.97,80.49,77.03,77.66,2154162
20-Mar-14,78.71,79.56,75.80,77.02,2326349
19-Mar-14,81.28,81.50,78.50,79.69,2527425
18-Mar-14,79.90,84.07,78.80,82.00,3475082
17-Mar-14,83.01,83.50,79.05,81.49,1431036
14-Mar-14,80.38,84.00,79.50,81.41,1222807
13-Mar-14,85.92,85.98,80.34,81.20,1592465
12-Mar-14,79.78,84.48,77.15,82.28,2269801
11-Mar-14,85.81,85.96,80.25,81.41,1693499
10-Mar-14,84.33,86.99,82.50,84.46,2164922
7-Mar-14,90.85,90.85,87.02,88.27,2194656
6-Mar-14,85.98,90.93,85.11,89.70,4905631
5-Mar-14,85.28,89.17,80.63,84.39,6765193
4-Mar-14,79.39,87.32,78.25,87.18,5184159
3-Mar-14,72.64,77.12,72.30,75.89,1596722
28-Feb-14,75.65,77.90,73.51,75.29,2057084
27-Feb-14,75.83,76.89,74.01,75.00,1413162
26-Feb-14,71.30,77.57,71.08,74.83,2844250
25-Feb-14,69.20,72.70,67.00,70.83,2558314
24-Feb-14,68.33,68.95,67.12,67.91,859066
21-Feb-14,68.76,69.30,66.50,67.99,1104698
20-Feb-14,68.59,69.50,66.95,68.66,1294099
19-Feb-14,70.00,71.83,67.76,68.03,1550010
18-Feb-14,71.31,71.31,68.51,70.32,1779558
14-Feb-14,68.95,68.95,66.17,67.14,1037166
13-Feb-14,65.10,69.25,64.61,68.29,1707871
12-Feb-14,63.75,66.59,63.01,66.10,1257779
11-Feb-14,66.25,66.80,63.30,64.25,916067
10-Feb-14,65.00,67.23,64.26,64.96,1569498
7-Feb-14,61.32,65.50,60.53,65.03,2023022
6-Feb-14,60.00,62.00,59.15,59.87,1151824
5-Feb-14,59.68,60.33,56.88,58.90,2178547
4-Feb-14,62.11,63.67,59.66,61.35,1801301
3-Feb-14,63.00,65.47,61.14,62.46,1641195
31-Jan-14,62.94,64.48,62.18,63.30,1049762
30-Jan-14,65.87,67.32,64.13,64.28,1313946
29-Jan-14,64.10,67.27,61.71,63.78,2593793
28-Jan-14,59.78,65.50,59.27,65.28,3183217
27-Jan-14,59.70,61.90,55.36,56.99,3190995
24-Jan-14,61.54,63.48,58.15,59.79,2951754
23-Jan-14,65.00,65.97,60.92,63.77,3518409
22-Jan-14,68.00,69.00,65.00,68.89,2029063
21-Jan-14,72.01,72.50,66.40,67.54,2670761
17-Jan-14,72.78,72.78,69.80,71.40,1857050
16-Jan-14,70.40,72.47,67.62,71.45,2053337
15-Jan-14,66.80,72.20,65.81,70.44,2585161
14-Jan-14,63.50,67.21,63.27,67.00,2228453
13-Jan-14,64.47,67.27,61.56,62.77,3237362
10-Jan-14,61.56,64.70,61.16,64.40,1433430
9-Jan-14,63.61,64.28,60.51,60.96,1874913
8-Jan-14,63.27,64.50,61.70,63.38,2463778
7-Jan-14,57.91,62.95,57.90,62.18,3261849
6-Jan-14,58.18,58.48,55.18,57.34,2492804
3-Jan-14,53.05,58.35,53.01,58.02,5313648
2-Jan-14,50.00,52.51,50.00,52.46,2815034
31-Dec-13,49.87,50.63,49.32,50.28,597914
30-Dec-13,50.61,51.00,49.57,49.75,762659
27-Dec-13,48.95,51.22,48.80,50.45,1271281
26-Dec-13,49.71,50.10,48.88,48.96,294777
24-Dec-13,50.05,50.15,49.12,49.99,342865
23-Dec-13,49.09,50.22,48.54,50.05,701589
20-Dec-13,48.44,49.72,47.62,49.08,834764
19-Dec-13,47.22,48.38,47.21,48.19,425205
18-Dec-13,49.06,49.49,46.64,47.85,878907
17-Dec-13,48.01,49.32,47.25,49.11,604666
16-Dec-13,50.08,50.25,47.66,48.08,772523
13-Dec-13,50.02,50.35,49.69,49.90,353939
12-Dec-13,48.79,50.30,48.77,49.80,476568
11-Dec-13,50.49,51.15,48.78,49.01,802950
10-Dec-13,49.12,50.58,49.12,50.15,659542
9-Dec-13,49.89,50.30,49.15,50.06,950675
6-Dec-13,52.06,52.25,49.20,49.53,1271415
5-Dec-13,50.94,51.75,50.77,51.70,438586
4-Dec-13,50.80,51.78,50.50,51.39,502089
3-Dec-13,51.64,51.84,50.57,51.28,490724
2-Dec-13,50.71,52.05,49.98,51.98,1161424
29-Nov-13,50.07,51.15,50.00,50.38,589287
27-Nov-13,49.52,50.40,49.00,50.00,806640
26-Nov-13,47.30,49.39,46.32,49.30,1060042
25-Nov-13,50.35,50.69,47.00,47.31,1853690
22-Nov-13,52.60,52.60,49.75,50.28,850263
21-Nov-13,51.26,52.49,51.26,51.72,603787
20-Nov-13,50.27,52.17,49.68,51.01,1054744
19-Nov-13,52.12,52.87,49.61,50.07,1993196
18-Nov-13,55.15,56.75,50.56,52.06,2613213
15-Nov-13,53.50,54.98,53.05,54.14,2210960
14-Nov-13,52.31,53.46,50.80,52.68,1842079
13-Nov-13,48.47,54.01,48.00,54.00,2288949
12-Nov-13,49.06,50.67,49.06,49.28,1128287
11-Nov-13,47.91,49.80,47.38,49.03,1186257
8-Nov-13,47.67,49.50,46.06,47.47,1944138
7-Nov-13,49.89,50.50,47.21,47.73,1902061
6-Nov-13,55.54,56.16,47.66,48.01,5706624
5-Nov-13,53.85,54.00,52.08,53.89,1899332
4-Nov-13,50.00,54.75,49.83,54.55,3216219
1-Nov-13,49.25,49.93,48.00,49.75,1092942
31-Oct-13,46.81,50.00,45.55,49.17,1620534
30-Oct-13,50.41,50.79,46.81,47.50,2112618
29-Oct-13,44.56,49.88,43.50,49.78,3708668
28-Oct-13,45.96,48.32,42.60,43.10,3998199
25-Oct-13,49.20,50.47,45.23,46.22,2453669
24-Oct-13,49.01,51.98,48.63,49.18,2792046
23-Oct-13,49.49,50.40,47.58,48.13,1506055
22-Oct-13,53.63,54.70,47.49,50.94,2726447
21-Oct-13,55.08,55.35,51.78,53.39,2305396
18-Oct-13,54.50,55.28,53.50,54.98,1749078
17-Oct-13,52.61,54.09,52.02,53.33,1333982
16-Oct-13,50.68,53.18,50.67,52.61,2090193
15-Oct-13,50.26,52.69,49.00,50.44,1725102
14-Oct-13,48.41,50.55,47.63,50.08,1686972
11-Oct-13,47.67,50.30,46.51,50.00,2649462
10-Oct-13,45.38,47.31,44.52,47.01,1556679
9-Oct-13,42.90,44.93,41.60,43.93,2597430
8-Oct-13,48.81,49.60,41.28,41.71,3279619
7-Oct-13,50.10,50.31,47.01,49.09,1491426
4-Oct-13,49.20,50.45,48.76,49.72,911124
3-Oct-13,50.28,51.50,48.05,48.40,2019020
2-Oct-13,48.00,50.90,47.00,50.47,1882459
1-Oct-13,46.75,48.10,45.09,48.09,1162085
30-Sep-13,46.68,47.95,46.41,46.78,831252
27-Sep-13,48.88,48.88,47.00,48.22,724844
26-Sep-13,47.58,49.25,46.99,48.90,1297862
25-Sep-13,46.26,47.25,45.61,46.69,619668
24-Sep-13,46.74,48.00,45.60,46.07,1187235
23-Sep-13,48.93,48.94,44.77,46.59,2311047
20-Sep-13,50.70,51.38,48.75,48.94,1594827
19-Sep-13,49.04,50.94,48.45,50.07,2190132
18-Sep-13,47.40,48.58,46.71,48.10,1541676
17-Sep-13,45.27,47.51,45.27,47.05,934098
16-Sep-13,46.14,48.40,44.88,45.80,1907359
13-Sep-13,47.14,47.60,44.01,45.96,1570920
12-Sep-13,47.34,48.18,46.01,47.29,1297223
11-Sep-13,48.72,48.95,45.80,46.68,2237354
10-Sep-13,48.00,49.82,47.03,48.88,3580689
9-Sep-13,43.99,47.15,43.60,46.49,2663857
6-Sep-13,44.11,44.57,41.58,42.89,2194423
5-Sep-13,42.76,43.99,40.51,43.70,3313695
4-Sep-13,40.37,41.49,40.35,40.91,782239
3-Sep-13,40.64,42.90,39.75,40.30,1712643
30-Aug-13,40.76,41.24,39.30,39.46,1314679
29-Aug-13,39.83,40.49,39.01,39.71,471337
28-Aug-13,38.68,39.88,38.50,39.33,313318
27-Aug-13,40.20,41.12,38.59,39.19,798302
26-Aug-13,39.12,42.26,39.00,41.63,1138130
23-Aug-13,37.55,39.18,37.55,38.77,907914
22-Aug-13,39.50,39.64,36.19,37.18,1338142
21-Aug-13,40.31,40.69,39.30,39.43,493114
20-Aug-13,40.80,41.50,39.70,40.69,631150
19-Aug-13,39.40,42.42,39.40,40.64,1381025
16-Aug-13,38.30,40.26,38.01,39.37,671773
15-Aug-13,41.00,41.42,38.05,38.57,1509661
14-Aug-13,41.91,42.82,41.50,42.01,658464
13-Aug-13,41.08,42.13,40.25,41.74,722483
12-Aug-13,42.00,42.41,40.51,40.89,666753
9-Aug-13,43.00,43.00,40.63,41.60,642117
8-Aug-13,41.89,42.20,41.17,41.99,841372
7-Aug-13,42.10,42.40,40.03,40.67,1101458
6-Aug-13,44.07,44.67,41.80,42.31,1722619
5-Aug-13,42.73,44.64,40.75,44.29,1857862
2-Aug-13,47.56,48.00,41.20,41.80,4637706
1-Aug-13,43.92,43.92,40.00,41.84,2535814
31-Jul-13,41.26,44.09,39.50,43.69,1389935
30-Jul-13,42.05,42.15,40.00,40.36,745653
29-Jul-13,41.73,42.25,40.00,41.99,992518
26-Jul-13,39.26,42.80,38.67,41.39,1823296
25-Jul-13,35.57,39.82,35.07,39.35,1538574
24-Jul-13,35.50,36.18,34.80,35.42,891857
23-Jul-13,36.38,36.75,35.23,35.51,463700
22-Jul-13,37.42,37.42,34.91,36.27,1051539
19-Jul-13,35.50,36.94,34.62,36.18,1489519
18-Jul-13,34.69,35.73,33.90,35.10,1097686
17-Jul-13,35.43,35.58,33.39,34.02,1042219
