Date,Open,High,Low,Close,Volume
23-Oct-14,67.97,69.43,67.49,69.03,419655
22-Oct-14,68.27,68.36,67.03,67.13,440971
21-Oct-14,66.46,68.02,66.46,67.91,631665
20-Oct-14,65.45,66.94,65.37,66.28,528791
17-Oct-14,64.92,66.49,64.44,66.00,651618
16-Oct-14,61.36,64.24,61.36,63.97,960760
15-Oct-14,59.80,63.11,58.95,62.51,1211888
14-Oct-14,62.92,63.55,60.62,60.80,1018343
13-Oct-14,64.53,64.93,62.34,62.47,516121
10-Oct-14,66.35,66.42,64.55,64.61,464863
9-Oct-14,67.22,67.67,66.38,66.47,384205
8-Oct-14,67.87,68.39,66.56,67.57,941156
7-Oct-14,69.57,69.60,68.19,68.21,485664
6-Oct-14,71.00,71.32,69.99,70.01,398805
3-Oct-14,69.54,71.30,68.62,70.61,1176941
2-Oct-14,67.97,68.42,65.38,66.99,1096089
1-Oct-14,70.73,71.13,68.14,68.21,573754
30-Sep-14,71.69,71.91,70.28,70.97,600859
29-Sep-14,72.84,72.87,71.71,71.72,699118
26-Sep-14,72.73,73.80,72.46,73.77,343224
25-Sep-14,73.85,73.89,72.10,72.33,361615
24-Sep-14,73.52,74.21,73.21,73.90,400588
23-Sep-14,73.29,74.63,73.04,73.79,401440
22-Sep-14,73.76,74.30,73.14,73.56,374560
19-Sep-14,75.47,75.48,73.79,74.09,423876
18-Sep-14,74.86,75.84,74.53,75.41,282743
17-Sep-14,75.06,75.97,73.92,74.54,311505
16-Sep-14,73.50,75.12,73.27,74.77,380446
15-Sep-14,74.04,74.27,73.17,73.50,252819
12-Sep-14,74.67,75.05,73.83,74.19,269236
11-Sep-14,73.68,75.30,73.37,74.99,324737
10-Sep-14,74.09,74.70,73.64,74.27,253548
9-Sep-14,74.13,74.75,73.81,73.99,341958
8-Sep-14,74.83,75.06,73.15,74.04,513440
5-Sep-14,75.02,76.08,74.57,75.54,259969
4-Sep-14,76.51,77.30,74.73,75.01,372911
3-Sep-14,78.13,78.13,76.42,76.56,320121
2-Sep-14,77.93,78.44,76.82,77.71,744360
29-Aug-14,77.99,78.42,77.72,78.03,154221
28-Aug-14,77.20,77.97,76.76,77.72,245424
27-Aug-14,77.02,77.52,76.49,77.44,227826
26-Aug-14,77.27,77.57,75.76,77.05,210178
25-Aug-14,77.61,77.61,76.99,77.27,163610
22-Aug-14,77.48,77.48,76.42,77.00,243650
21-Aug-14,77.65,77.65,76.73,77.35,235837
20-Aug-14,77.83,78.22,77.23,77.50,226448
19-Aug-14,76.97,78.00,76.91,77.84,438305
18-Aug-14,75.28,76.76,75.28,76.71,344749
15-Aug-14,74.92,75.46,74.45,75.14,284084
14-Aug-14,75.04,75.50,74.36,74.47,408269
13-Aug-14,73.88,74.96,73.70,74.77,336520
12-Aug-14,74.10,74.73,72.90,73.90,475639
11-Aug-14,75.36,75.36,74.01,74.28,383484
8-Aug-14,74.68,75.30,74.29,75.15,315269
7-Aug-14,75.98,76.41,74.43,74.68,387806
6-Aug-14,76.53,76.69,75.37,75.90,444564
5-Aug-14,80.00,80.82,75.37,76.81,1542219
4-Aug-14,80.78,82.64,80.32,82.55,499255
1-Aug-14,80.02,81.01,79.02,80.31,480892
31-Jul-14,81.40,81.62,79.81,80.07,326396
30-Jul-14,82.11,82.62,81.72,82.04,305617
29-Jul-14,81.86,82.32,81.40,81.65,381543
28-Jul-14,81.80,82.07,81.24,81.50,260782
25-Jul-14,82.06,82.18,81.50,81.64,183696
24-Jul-14,82.32,83.06,81.82,82.31,199943
23-Jul-14,82.24,82.56,81.91,82.02,294045
