Date,Open,High,Low,Close,Volume
23-Oct-14,41.46,42.02,41.07,41.41,125146
22-Oct-14,41.88,42.00,40.14,40.33,115449
21-Oct-14,40.91,41.74,40.75,41.63,191274
20-Oct-14,39.35,40.32,39.16,40.25,250429
17-Oct-14,40.16,40.43,39.10,39.54,202983
16-Oct-14,36.63,38.74,36.55,38.18,272698
15-Oct-14,38.16,39.15,36.71,38.78,291557
14-Oct-14,39.56,40.39,38.57,39.09,150109
13-Oct-14,41.22,41.61,38.75,38.92,259155
10-Oct-14,43.10,43.47,41.09,41.15,448159
9-Oct-14,44.76,44.89,42.90,43.16,82477
8-Oct-14,42.78,45.06,42.68,45.00,275567
7-Oct-14,44.04,44.13,42.78,42.97,100564
6-Oct-14,45.63,45.73,44.34,44.39,98475
3-Oct-14,44.12,45.17,44.01,44.93,139045
2-Oct-14,43.03,43.95,42.75,43.50,219978
1-Oct-14,44.00,44.10,42.61,42.73,318945
30-Sep-14,44.54,44.81,43.84,43.97,192615
29-Sep-14,44.31,45.27,44.12,44.43,66892
26-Sep-14,45.17,45.94,44.96,45.67,131704
25-Sep-14,46.19,46.19,44.69,45.09,117533
24-Sep-14,45.86,46.45,45.79,46.33,45464
23-Sep-14,46.44,46.61,45.85,45.85,98553
22-Sep-14,47.25,47.28,46.55,46.71,55121
19-Sep-14,47.50,47.70,47.09,47.48,50823
18-Sep-14,47.52,47.61,47.28,47.35,78667
17-Sep-14,47.26,47.85,46.99,47.36,174997
16-Sep-14,46.00,47.37,46.00,47.20,72244
15-Sep-14,46.96,47.00,46.21,46.38,42120
12-Sep-14,47.14,47.37,46.63,47.00,112747
11-Sep-14,47.12,47.47,46.78,47.42,30796
10-Sep-14,47.23,47.76,46.89,47.58,50365
9-Sep-14,47.76,47.76,47.12,47.40,35242
8-Sep-14,47.58,47.83,47.27,47.83,57535
5-Sep-14,46.99,47.87,46.77,47.68,43006
4-Sep-14,47.25,47.65,46.80,47.13,73023
3-Sep-14,47.10,47.24,46.71,46.80,39202
2-Sep-14,46.97,47.27,46.74,46.78,112546
29-Aug-14,46.98,47.29,46.64,47.11,45351
28-Aug-14,46.20,47.19,46.20,46.65,56024
27-Aug-14,47.25,47.54,46.82,47.07,51906
26-Aug-14,48.13,48.25,47.34,47.35,75387
25-Aug-14,48.36,48.45,48.00,48.01,84356
22-Aug-14,47.77,48.15,47.44,47.83,73936
21-Aug-14,48.09,48.12,47.56,47.59,75713
20-Aug-14,48.04,48.54,47.58,48.37,122816
19-Aug-14,48.26,48.36,48.05,48.33,114505
18-Aug-14,47.64,48.03,47.55,47.92,135582
15-Aug-14,46.98,47.04,45.28,46.77,161984
